Reviewed_by,Title,extent_answer,extent_notes,nested_answer,nested_notes,aquatic?
GV,Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems,Macro-scale,,No,pretty sure county should be country in table of effects,
GV,"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape",Macro-scale,,No,,
GV,Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine,Local,,No,"area not used as predictor, but was meaured",
GV,"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",Local,single marsh within a larger estuary,No,,marsh
GV,Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand),Macro-scale,,Yes,flow length,floodplain/watershed
GV,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Macro-scale,golf courses in 3 cities in Florida,No,,
GV,Forest fragments modulate the provision of multiple ecosystem services,Local,,Yes,distance from forest,
GV,Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system,Local,,No,,
GV,Functional diversity increases ecological stability in a grazed grassland,Local,,No,,
GV,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Global,,Yes,water surface area,inland fisheries
GV,Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert,Macro-scale,grassland and shrubland included,No,,
GV,Habitat assessment of a restored oyster reef in South Texas,Macro-scale,,No,,
GV,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Macro-scale,,No,,
GV,How Do Biota Respond to Additional Physical Restoration of Restored Streams?,Macro-scale,,Yes,distance to lake,
GV,Hydrological controls of fisheries production in a major Amazonian tributary,Local,fish landings at a single fish market,No,,
GV,Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems,Local,,No,,
GV,Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Local,,No,,
GV,Incomplete recovery of ecosystem processes after two decades of riparian forest restoration,Macro-scale,,No,,
GV,Influence of land use on water quality in a tropical landscape: a multi-scale analysis,Macro-scale,,Yes,,
GV,Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests,Macro-scale,,Yes,,
GV,Intra- and interspecific differences in nutrient recycling by European freshwater fish,Macro-scale,,No,but did consider intra and inter specific variation - different type of scale,
GV,"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems",Macro-scale,,No,"*Shoreline change was included as a predictor in meters/year, but it doesn't really seem to be a distance/area based metric, rather a proxy for sediment",
GV,Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services,Macro-scale,,No,,
GV,Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Macro-scale,,No,,
GV,Landscape structure influences bee community and coffee pollination at different spatial scales,Macro-scale,,Yes,GOOD EXAMPLE,
GV,Landscape structure influences urban vegetation vertical structure,Local,"*subset of Brisbane chosen to minimize effects of elevation, etc on the results - shooting for homogeneity so I said local",Yes,GOOD EXAMPLE,
GV,Large- scale trade- off between agricultural intensification and crop pollination services,Macro-scale,,No,,
GV,"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China",Macro-scale,,No,,
GV,Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests,Macro-scale,,Yes,"wave fetch, depth",kelp forests
GV,Linking wind erosion to ecosystem services in drylands: a landscape ecological approach,Macro-scale,,Yes,*county and overall average considered,
GV,Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality,Global,5 continents - Nutrient Network,Yes,GOOD EXAMPLE,
GV,Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,Macro-scale,,No,,
GV,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Macro-scale,,No,"talked about lake size, but did not draw inferences from it",
GV,Mapping social-ecological vulnerability to inform local decision making,Macro-scale,,Yes,household and municipality scales of vulnerability,
GV,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,Macro-scale,,No,,
GV,"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China",Macro-scale,,No,"connectivity only, otherwise not multi-scale",
GV,"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China",Macro-scale,,No,"urban area measured and presented in table, but no inferences drawn",
GV,Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models,Macro-scale,,Yes,distance to boundary included,
GV,More is more? Forest management allocation at different spatial scales to mitigate conflicts between ecosystem services,Macro-scale,,Yes,GOOD EXAMPLE,
GV,Non-native fruit trees facilitate colonization of native forest on abandoned farmland,Macro-scale,,No,,
GV,Organic farming at local and landscape scales fosters biological pest control in vineyards,Macro-scale,,Yes,,
GV,Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,Macro-scale,only surveys though,No,,
GV,Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Macro-scale,,Yes,"legume area, inter-crop area",
GV,Predicting coral community recovery using multi-species population dynamics models,Macro-scale,,No,,coral reef
GV,"Pronounced species turnover, but no functional equivalence in leaf consumption of invasive amphipods in the river Rhine",Local,"experiment, specimens collected from local scale, organism",No,,
GV,"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",Macro-scale,,No,,
GV,Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Macro-scale,,No,,
GV,Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss,Macro-scale,,Yes,subbasins and overall average,
GV,Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management,Macro-scale,,No,,
GV,Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands,Macro-scale,,No,,
GV,Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system,Macro-scale,,Yes,"somewhat qualitative, but definitely comparisons",
GV,Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method,Macro-scale,,Yes,class and landscape levels,
GV,"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE",Macro-scale,single lake but dry/wet season water levels in different areas,No,,
GV,Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia,Local,single coal mine restoration,Yes,distance from forest,
GV,Restoration of ecosystem carbon and nitrogen storage and microbial biomass after grazing exclusion in semi-arid grasslands of Inner Mongolia,Macro-scale,"macro-management - grazing exclosures, also pretty large spatial extent across fairly uniform sites",Yes,site by site and overall average across treatments,
GV,Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function,Macro-scale,,Yes,"landscape and experimental scale, pretty good example",
GV,Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations,Macro-scale,"two parts, one part a national survey of birds as seed dispersers, then experimental manipulation (which likely occurred at a smaller scale, but not sure)",No,,
GV,"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Macro-scale,,Yes,watershed and riparian buffer scales,watershed
GV,Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses,Local,"simulations, but use simulated land use scenarios",Yes,"simulation, but used area of spare land in the system in their models",
GV,Seasonal complementary in pollinators of soft-fruit crops,Macro-scale,,No,,
GV,Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover,Macro-scale,,No,,watershed/streams
GV,Shadow conservation and the persistence of sacred church forests in northern Ethiopia,Macro-scale,,Yes,,
GV,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,Macro-scale,,Yes,,
GV,"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",Macro-scale,,No,"used area of different land use/land cover types, but only looked at the trends in area, didn't use it as predictor for a response (area was the proxy for services)",
GV,Stable nitrogen and carbon isotope ratios in wild native honeybees: the influence of land use and climate,Macro-scale,,Yes,multiple radii distances,
GV,Stream corridors as indicators of watershed land use: A case study in Istanbul,Macro-scale,,No,"if they did, it was very unclear",
GV,Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,Macro-scale,two macro-management groups,No,,
GV,The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Macro-scale,macro-management,Yes,distance to hedgerow,
GV,The spatial organization of ecosystem services in river-floodplains,Macro-scale,,No,"I did not count 'upstream position', it's more of a location than a scale metric",
GV,Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa,Macro-scale,,No,,
GV,Vegetation growth and sediment dynamics in a created freshwater wetland,Local,"maybe NA, all happened in greenhouse experiment, organism",No,,
GV,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,Macro-scale,,No,,
GV,Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem,Local,,No,,
JL/GV,Changes in ecological stability across realistic biodiversity gradients depend on spatial scale,Macro-scale,,Yes,,
JL/GV,Seed arrival and persistence at the tidal mudflat: identifying key processes for pioneer seedling establishment in salt marshes,Macro-scale,2 mudflats with different hydrologies,Yes,distance from marsh included as fixed effect,
JL/GV,Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems,Macro-scale,hard to find,No,"hard to tell, but doesn't seem like it",
JL/GV,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Macro-scale,"Could be local, but I'm sort of assuming that the basin has some heterogeneity, though it's hard to tell",No,,
JL/GV,Spatially explicit quantification of the interactions among ecosystem services,Macro-scale,,Yes,,
JL/GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Macro-scale,,No,,
JL/GV,Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Local,,No,,
JL/GV,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Macro-scale,differences between sites at different places in watershed,No,,
JL/GV,Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat,Local,multiple field plots as replicates I think,No,,
JL/GV,Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Macro-scale,"unfenced, narrow fenced differences among sites",Yes,buffer width,
JL/GV,Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index,Macro-scale,social survey study with participants in many US counties in multiple states,No,,
JL/GV,Large frugivorous birds facilitate functional connectivity of fragmented landscapes,Macro-scale,"study area has areas of suitable and non-suitable habitat, so multiple habitats makes it macro",Yes,distance between patches,
JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Macro-scale,,Yes,"different size buffer strips; may also have compared at different scales (sub-basin, basin)?",
JL,A trait-based ecology of the Los Angeles urban forest,Local,,No,,
JL,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Macro-scale,,No,"DOES consider scale, but only in terms of stakeholders (identifying when local, regional, global stakeholders are associated with different services), not the ecology of scale",
JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Local,"500km2 area, but authors explicitly mention a single ecosystem type chosen for homogeneity given the purpose of the study",No,"amount of distance covered by orangutans for dispersal was an analytical response, not explanatory factor",
JL,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Local,"single ecosystem/community, in my opinion",No,,
JL,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Macro-scale,,Yes,"they compared results for changing connectivity at short and long disance scales, which I believe incorporates both connectivity AND multiple scales (htye use the word 'multiscale' in their text)",
JL,Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities,Macro-scale,,No,,marine
JL,Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Macro-scale,,Yes,"a little tricky to pull out comparative the trends, but they explicitly conduct analyses at different scapes",
JL,Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,Macro-scale,,No,,
JL,Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Macro-scale,,No,,
JL,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Local,,No,,
JL,Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),Macro-scale,,No,,
JL,Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,Macro-scale,,No,"but does show mean response variables across all plots as well as within smaller subsets of plots belonging to a treatment.. techinically this means subsets of plots covering a larger and smaller spatial area, respectively, but spatial scales are not the emphasis here.",
JL,Climate and plant controls on soil organic matter in coastal wetlands,Macro-scale,,Yes,analyses done at regional (across-estuary) and estuary (within-estuary levels).,coastal wetlands
JL,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Macro-scale,across European continent,Yes,"at the least, looked at roles of land complexity at two scales (a landscape and a regional scale) around each site, but the study describes looking at role of scale in other ways.",
JL,"Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region",Macro-scale,,No,,
JL,"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Macro-scale,,No,"ANOVAs are said to include site, treatment and site*treatment effects, I think, which might fall into the category of: Studies that include nested, multiple spatial scales as fixed effects in an analysis.. but there's only ONE additional scale (overall effects or site-specific) and also it's iffy because you don't come away with a clear idea of overall treatment effects and whether they vary at smaller scales.",
JL,Context-dependent effects of freshwater mussels on stream benthic communities,Local,"""Our study site, a shallow, 200 m stream reachwith a gravel/cobble streambed and homogenousdepth and ﬂow, was chosen to minimise any effects ofhabitat heterogeneity""",No,but should be flagged as comparing results over shorter and longer time scales,freshwater
JL,Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment,Local,,No,but should be flagged as comparing results over shorter and longer time scales,
JL,Coral identity underpins architectural complexity on Caribbean reefs,Local,"Ran transects at 91 spots (>200m apart), and so covered >10km of coast, but no mention at all that this sampling was designed to capture and account for particular types of heterogeneity, and the 91 spots are treated as eqivalent replicates to look at ties between reef community structure other attributes",No,,reef
JL,Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau,Macro-scale,,No,"Models include site, treatment and site*treatment effects, I think, which might fall into Criteria 2.. but there's only ONE additional scale (overall effects or site-specific) and also it's iffy because you don't come away with a clear idea of overall treatment effects and whether they vary at smaller scales. The smaller scale analyses are tied to different specific treatments and not just spatial in nature",
JL,"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing",Macro-scale,,No,but should be flagged as comparing results over shorter and longer time scales,
JL,Detecting pest control services across spatial and temporal scales,Macro-scale,,Yes,,
JL,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,Macro-scale,,No,but may be flagged as comparing results over shorter and longer time scales,
JL,Ecological erosion of an Afrotropical forest and potential consequences for tree recruitment and forest biomass,Macro-scale,,No,"seed dispersal distance is used as a response variable, but no space-related metrics as explanatory variables",
JL,Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia,Macro-scale,,Yes,distance to water source is one example of a spatial explanatory variable used in models of sheep occupancy,
JL,"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications",Macro-scale,,No,,
JL,The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,NA,"simulation with bacteria with some information from lab experimen, but; no explicit spatial attributes in the simulation model",No,,
JL,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Macro-scale,simulation with explicit spatial definition: generated 1000 landscapes with 100m x 100m cells and patches within,Yes,distance between pest and prey patches is key explanatory variable (criteria 4)... but note that this overlaps with 'spatial connectivity' and we should also verify it is a yes for that,
JL,Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Macro-scale,,Yes,modeled carbon gain per area of reforestation in different scenarios,
JL,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,Macro-scale,,Yes,"technically, they estimate how stored carbon increases with area reforested (Table 3) - criteria 4",
JL,Ecological correlates of risk and incidence of West Nile virus in the United States,Macro-scale,,Yes,compared a similar analysis at a regional scale (st. louis) and national scale (whole US),
JL,Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Macro-scale,,Yes,considered outcomes of restoring small-area VS large-area heathlands,
JL,When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,NA,simulation,No,"They consider simulation results across ecological scales (individual, population, ecosystem) but not spatial scales",
JL,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Macro-scale,,No,,
JL,The impact of projected increases in urbanization on ecosystem services,Macro-scale,,No,,
JL,"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees",NA,"STEPS framework study associated with particular ESPs and not a designated, defined study area",No,,
JL,Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Macro-scale,,Yes,looked at some numbers across whole city and then within smaller indivdual precints; the focus was not hard on smaller scale as a concept vs potential precinct differences that lead to different site-specific outcomes... but there are whole sections of the results dedicated to parish-level vs global results,
JL,Assessing Resilience in Stressed Watersheds,Local,"study focuses on Platte River in Nebraska, which authors mention is diverse, but it seems like most responses were only assessed qualitatively at the whole ecosystem level - so they evaluated it as one system",No,,
JL,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Macro-scale,,Yes,considered how distance from a conservation area affected pollination in proximate meadows,
JL,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Macro-scale,,No,,
JL,"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation",Macro-scale,,Yes,"through figures, it appears they look at certain patterns at multiple scales... sub-basin, basin, and in one case across china",
JL,Pattern and scale in latitude-production relationships for freshwater fishes,Global,"but data come from lit review of studies across the globe... still, they look at 'global' patterns",Yes,gobal patterns compared to North American only,freshwater fisheries
JL,Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Macro-scale,"simulation-modelling paper that uses data from some real and some hypothetical sites; in any case, they draw inferences about different ecosystem types by comparing different models for different systems, which would make it macro-scale in terms of the inferences being drawn",Yes,they spend some time considering/discussing how the area (size) of a forest matters for inference,
JL,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,NA,model-simulation without explicit sptaial definition,No,,
JL,"Urban form, biodiversity potential and ecosystem services",Macro-scale,,Yes,informally look at how patterns change as you move from inner to mid and outer portions of cities (distances from city centers) and qualitatively compare results within cities as well as across cities,
JL,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Macro-scale,,No,,
JL,The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Macro-scale,,No,,
JL,Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem,Macro-scale,,No,,riparian
JL,Landscape structure regulates pest control provided by ants in sun coffee farms,Macro-scale,,Yes,criteria 4,
JL,Effects of coastal development on nearshore estuarine nekton communities,Macro-scale,,Yes,"criteria 4 - compared effect of surrounding land in three buffer zones: 100m, 200m or 200m",coastal/estuarine
JL,Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process,Local,"sampled trees in a single study, and mention that they covered an area of different land-use classes, but literally never talk about any of these land-use classes or how they are different beyond showing that there are different classes in a map; data analyzed as if collected from a single system",No,,
JL,Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities,Macro-scale,,No,,
JL,Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Macro-scale,,Yes,"majority of results come from direct sampling of 5 sites, but they then compare to an extended assessment of annual crop production across 8 watersheds",
