"Title","clean_answer_binned","clean_group"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","Service provider identity","LU_LC"
"Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient","Land use and land cover change","LU_LC"
"Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia","Service provider identity","Biotic"
"Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia","Management/restoration","Human"
"The impact of projected increases in urbanization on ecosystem services","Land use and land cover change","LU_LC"
"The impact of projected increases in urbanization on ecosystem services","Population growth and density","Human"
"The impact of projected increases in urbanization on ecosystem services","Service provider identity","LU_LC"
"Delivery of floral resources and pollination services on farmland under three different wildlife-friendly schemes","Management/restoration","Human"
"Delivery of floral resources and pollination services on farmland under three different wildlife-friendly schemes","Service provider identity","Biotic"
"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees","Management/restoration","Human"
"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees","Service provider identity","Biotic"
"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc","Management/restoration","Human"
"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc","Service provider identity","Biotic"
"Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables","Characteristics of human population","Human"
"Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems","Management/restoration","Human"
"Assessing Resilience in Stressed Watersheds","Land use and land cover change","LU_LC"
"Hydrological controls of fisheries production in a major Amazonian tributary","Abiotic characteristics of the landscape: aquatic","Environmental"
"Coral identity underpins architectural complexity on Caribbean reefs","Service provider identity","Biotic"
"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","Management/restoration","Human"
"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","Service provider identity","Biotic"
"Diverse pollinator communities enhance plant reproductive success","Service provider identity","Biotic"
"Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii","Climate","Environmental"
"Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii","Service provider identity","Biotic"
"Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands","Land use and land cover change","LU_LC"
"Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands","Management/restoration","Human"
"Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands","Service provider identity","Biotic"
"Changes in ecological stability across realistic biodiversity gradients depend on spatial scale","Service provider diversity/richness","Biotic"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Characteristics of human population","Human"
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Population growth and density","Human"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Extreme events","Environmental"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Service provider identity","Biotic"
"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Topography and position","Environmental"
"Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","Management/restoration","Human"
"Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities","Management/restoration","Human"
"Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities","Service provider identity","LU_LC"
"Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region","Management/restoration","Human"
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Climate","Environmental"
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Management/restoration","Human"
"Organic farming promotes biotic resistance to foodborne human pathogens","Management/restoration","Human"
"Organic farming promotes biotic resistance to foodborne human pathogens","Service provider identity","Biotic"
"Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","Climate","Environmental"
"Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","Biotic characteristics of the plot","LU_LC"
"Pattern and scale in latitude-production relationships for freshwater fishes","Topography and position","Environmental"
"Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","Land use and land cover change","LU_LC"
"Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","Management/restoration","Human"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","Climate","Environmental"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","Land use and land cover change","LU_LC"
"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","Management/restoration","Human"
"Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?","Service provider diversity/richness","Biotic"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Climate","Environmental"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Extreme events","Environmental"
"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","Service provider identity","Biotic"
"Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level","Management/restoration","Human"
"Urban form, biodiversity potential and ecosystem services","Population growth and density","Human"
"Influence of land use on water quality in a tropical landscape: a multi-scale analysis","Land use and land cover change","LU_LC"
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","Management/restoration","Human"
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","Service provider identity","Biotic"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","Land use and land cover change","LU_LC"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Climate","Environmental"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Land use and land cover change","LU_LC"
"Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region","Land use and land cover change","LU_LC"
"Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills","Management/restoration","Human"
"The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils","Service provider identity","Biotic"
"The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils","Soil characteristics","Environmental"
"Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands","Service provider identity","Biotic"
"Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands","Land use and land cover change","LU_LC"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Management/restoration","Human"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Exploitation/harvest","Human"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Service provider identity","Biotic"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Extreme events","Environmental"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Climate","Environmental"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Service provider identity","Biotic"
"Anthropogenic remediation of heavy metals selects against natural microbial remediation","Management/restoration","Human"
"Anthropogenic remediation of heavy metals selects against natural microbial remediation","Service provider identity","Biotic"
"Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem","Climate","Environmental"
"Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem","Land use and land cover change","LU_LC"
"Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem","Service provider identity","LU_LC"
"Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA)","Management/restoration","Human"
"Habitat assessment of a restored oyster reef in South Texas","Management/restoration","Human"
"Landscape structure regulates pest control provided by ants in sun coffee farms","Land use and land cover change","LU_LC"
"Landscape structure regulates pest control provided by ants in sun coffee farms","Service provider identity","Biotic"
"Landscape structure regulates pest control provided by ants in sun coffee farms","Service provider density","Biotic"
"Shadow conservation and the persistence of sacred church forests in northern Ethiopia","Management/restoration","Human"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","Land use and land cover change","LU_LC"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","Management/restoration","Human"
"Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process","Service provider identity","Biotic"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","Land use and land cover change","LU_LC"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","Service provider identity","LU_LC"
"Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities","Biotic characteristics of the plot","Biotic"
"Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities","Soil physiochemical characteristics","Environmental"
"Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities","Service provider density","Biotic"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Climate","Environmental"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Management/restoration","Human"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Biotic characteristics of the plot","LU_LC"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Management/restoration","Human"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Service provider identity","LU_LC"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Fertilization","Human"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Insecticides/fungicides/pesticides/herbicides","Human"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Biotic characteristics of the plot","Biotic"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Management/restoration","Human"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Fertilization","Human"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Exploitation/harvest","Human"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Service provider diversity/richness","Biotic"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Management/restoration","Human"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Land use and land cover change","LU_LC"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Index","Environmental"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Climate","Environmental"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Soil physiochemical characteristics","Environmental"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Aquatic biogeochemistry","Environmental"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Biotic characteristics of the plot","Biotic"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Climate","Environmental"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Land use and land cover change","LU_LC"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Management/restoration","Human"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Service provider identity","Biotic"
"Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition","Land use and land cover change","LU_LC"
"Agricultural practices for food safety threaten pest control services for fresh produce","Management/restoration","Human"
"Agricultural practices for food safety threaten pest control services for fresh produce","Biotic characteristics of the plot","Biotic"
"Agricultural practices for food safety threaten pest control services for fresh produce","Fertilization","Human"
"Agricultural practices for food safety threaten pest control services for fresh produce","Pathogens/natural enemies","Biotic"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","Management/restoration","Human"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","Land cover","LU_LC"
"Late flowering time enhances insect pollination of turnip rape","Land use and land cover change","LU_LC"
"Late flowering time enhances insect pollination of turnip rape","Management/restoration","Human"
"Late flowering time enhances insect pollination of turnip rape","Land cover","LU_LC"
"Late flowering time enhances insect pollination of turnip rape","Insecticides/fungicides/pesticides/herbicides","Human"
"Late flowering time enhances insect pollination of turnip rape","Service provider density","Biotic"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","Land use and land cover change","LU_LC"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","Management/restoration","Human"
"Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands","Service provider identity","Biotic"
"Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","Management/restoration","Human"
"Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","Service provider identity","Biotic"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Land use and land cover change","LU_LC"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Management/restoration","Human"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Service provider identity","Biotic"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Soil physiochemical characteristics","Environmental"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Index","Biotic"
"Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system","Management/restoration","Human"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","Land use and land cover change","LU_LC"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Climate","Environmental"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Land use and land cover change","LU_LC"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Management/restoration","Human"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Topography and position","Environmental"
"New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula","Biotic characteristics of the plot","Biotic"
"Ecosystem services returned through seagrass restoration","Management/restoration","Human"
"Ecosystem services returned through seagrass restoration","Service provider identity","Biotic"
"Can carbon credits fund riparian forest restoration?","Land use and land cover change","LU_LC"
"Can carbon credits fund riparian forest restoration?","Timing/seasonality","Human"
"Improving the application of vertebrate trait-based frameworks to the study of ecosystem services","Climate","Environmental"
"Improving the application of vertebrate trait-based frameworks to the study of ecosystem services","Land use and land cover change","LU_LC"
"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","Land use and land cover change","LU_LC"
"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","Service provider identity","Biotic"
"Incomplete recovery of ecosystem processes after two decades of riparian forest restoration","Land use and land cover change","LU_LC"
"Incomplete recovery of ecosystem processes after two decades of riparian forest restoration","Management/restoration","Human"
"Environmental Conservation and Social Benefits of Charcoal Production in Mozambique","Land use and land cover change","LU_LC"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","Exploitation/harvest","Human"
"High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","Land cover","LU_LC"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","Land use and land cover change","LU_LC"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","Service provider identity","Biotic"
"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest","Soil physiochemical characteristics","Environmental"
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Management/restoration","Human"
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Service provider identity","Biotic"
"Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures","Management/restoration","Human"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Management/restoration","Human"
"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","Plant soil feedbacks","Biotic"
"Vegetation growth and sediment dynamics in a created freshwater wetland","Service provider identity","Biotic"
"Vegetation growth and sediment dynamics in a created freshwater wetland","Soil characteristics","Environmental"
"Vegetation growth and sediment dynamics in a created freshwater wetland","Abiotic characteristics of the landscape: terrestrial","Environmental"
"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications","Climate","Environmental"
"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications","Management/restoration","Human"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Climate","Environmental"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Management/restoration","Human"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Index","Environmental"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Topography and position","Environmental"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Productivity","Biotic"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Biotic characteristics of the plot","Biotic"
"Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","Land cover","LU_LC"
"Conservation tillage mitigates the negative effect of landscape simplification on biological control","Management/restoration","Human"
"Conservation tillage mitigates the negative effect of landscape simplification on biological control","Service provider identity","Biotic"
"Conservation tillage mitigates the negative effect of landscape simplification on biological control","Land cover","LU_LC"
"Conservation tillage mitigates the negative effect of landscape simplification on biological control","Service provider abundance","Biotic"
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO","Land use and land cover change","LU_LC"
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO","Management/restoration","Human"
"Comparative Assessment of Mangrove Biomass and Fish Assemblages in an Urban and Rural Mangrove Wetlands in Ghana","Land use and land cover change","LU_LC"
"Diversity and invasion within a predator community: impacts on herbivore suppression","Service provider identity","Biotic"
"Large frugivorous birds facilitate functional connectivity of fragmented landscapes","Service provider identity","Biotic"
"Determinants of establishment survival for residential trees in Sacramento County, CA","Climate","Environmental"
"Determinants of establishment survival for residential trees in Sacramento County, CA","Management/restoration","Human"
"Determinants of establishment survival for residential trees in Sacramento County, CA","Service provider identity","Biotic"
"Determinants of establishment survival for residential trees in Sacramento County, CA","Characteristics of human population","Human"
"Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil","Topography and position","Environmental"
"Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Climate","Environmental"
"Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Topography and position","Environmental"
"Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Index","Environmental"
"Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Land cover","LU_LC"
"Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Proximity to development","Human"
"Mapping social-ecological vulnerability to inform local decision making","Exploitation/harvest","Human"
"Mapping social-ecological vulnerability to inform local decision making","Service provider identity","Biotic"
"Mapping social-ecological vulnerability to inform local decision making","Topography and position","Environmental"
"Mapping social-ecological vulnerability to inform local decision making","Characteristics of locality","Human"
"Mapping social-ecological vulnerability to inform local decision making","Index","Human"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Land use and land cover change","LU_LC"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Service provider identity","Biotic"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Topography and position","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Abiotic characteristics of the landscape: aquatic","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Hydrology","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Aquatic biogeochemistry","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Soil characteristics","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Climate","Environmental"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Human disturbance","Human"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Management/restoration","Human"
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","Management/restoration","Human"
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","Service provider identity","Biotic"
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","Soil physiochemical characteristics","Environmental"
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","Soil characteristics","Environmental"
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","Aquatic biogeochemistry","Environmental"
"Seed arrival and persistence at the tidal mudflat: identifying key processes for pioneer seedling establishment in salt marshes","Abiotic characteristics of the landscape: aquatic","Environmental"
"Seed arrival and persistence at the tidal mudflat: identifying key processes for pioneer seedling establishment in salt marshes","Pathogens/natural enemies","Biotic"
"Forest Fire Severity Affects Host Plant Quality and Insect Herbivore Damage","Extreme events","Environmental"
"Large- scale trade- off between agricultural intensification and crop pollination services","Management/restoration","Human"
"Large- scale trade- off between agricultural intensification and crop pollination services","Service provider identity","LU_LC"
"Large- scale trade- off between agricultural intensification and crop pollination services","Exploitation/harvest","Human"
"Large- scale trade- off between agricultural intensification and crop pollination services","Pollination","Biotic"
"Social-ecological outcomes in recreational fisheries: the interaction of lakeshore development and stocking","Population growth and density","Human"
"Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems","Management/restoration","Human"
"The relative importance of pollinator abundance and species richness for the temporal variance of pollination services","Service provider identity","Biotic"
"Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations","Network property","Biotic"
"Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations","Service provider diversity/richness","Biotic"
"Larger Area Facilitates Richness-Function Effects in Experimental Microcosms","Land cover","LU_LC"
"Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy","Management/restoration","Human"
"Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands","Management/restoration","Human"
"Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands","Exploitation/harvest","Human"
"Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles","Climate","Environmental"
"Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles","Land use and land cover change","LU_LC"
"Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles","Management/restoration","Human"
"Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management","Climate","Environmental"
"Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management","Land use and land cover change","LU_LC"
"Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management","Management/restoration","Human"
"Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems","Land use and land cover change","LU_LC"
"Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems","Management/restoration","Human"
"Avian functional responses to landscape recovery","Management/restoration","Human"
"Avian functional responses to landscape recovery","Land use and land cover change","LU_LC"
"Urban warming reduces aboveground carbon storage","Climate","Environmental"
"Urban warming reduces aboveground carbon storage","Land use and land cover change","LU_LC"
"Living shorelines enhance nitrogen removal capacity over time","Climate","Environmental"
"Living shorelines enhance nitrogen removal capacity over time","Land use and land cover change","LU_LC"
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE","Climate","Environmental"
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE","Land use and land cover change","LU_LC"
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE","Population growth and density","Human"
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE","Management/restoration","Human"
"Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity","Service provider identity","Biotic"
"Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity","Land cover","LU_LC"
"Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity","Service provider diversity/richness","Biotic"
"Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management","Land use and land cover change","LU_LC"
"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services","Land use and land cover change","LU_LC"
"Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps","Management/restoration","Human"
"Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps","Service provider identity","LU_LC"
"Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps","Land cover","LU_LC"
"Seasonal complementary in pollinators of soft-fruit crops","Land use and land cover change","LU_LC"
"Seasonal complementary in pollinators of soft-fruit crops","Management/restoration","Human"
"Seasonal complementary in pollinators of soft-fruit crops","Service provider identity","Biotic"
