"title","authors","pubyear","sourcepub","review_round","reviewer","doublerev","reviewer_notes","outsidereviewer","outsidereviewer_notes","exclusion_id","exclusion_reason","fullquestion"
"Effects of plant phylogenetic diversity on herbivory depend on herbivore specialization","Castagneyrol, Bastien; Jactel, Herve; Vacher, Corinne; Brockerhoff, Eckehard G.; Koricheva, Julia",2014,"JOURNAL OF APPLIED ECOLOGY",1,"R9",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Effects of wetland plants on denitrification rates: a meta-analysis","Alldred, Mary; Baines, Stephen B.",2016,"ECOLOGICAL APPLICATIONS",1,"R8",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Environmental factors driving the effectiveness of European agri-environmental measures in mitigating pollinator loss - a meta-analysis","Scheper, Jeroen; Holzschuh, Andrea; Kuussaari, Mikko; Potts, Simon G.; Rundlof, Maj; Smith, Henrik G.; Kleijn, David",2013,"ECOLOGY LETTERS",1,"R9",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"IDENTIFICATION OF KEY-TRENDS AND EVALUATION OF CONTEMPORARY RESEARCH REGARDING URBAN ECOSYSTEM SERVICES: A PATH TOWARDS SOCIO-ECOLOGICAL SUSTAINABILITY OF URBAN AREAS","Atif, S. B.; Saqib, Z.; Ali, A.; Zaman, M. H.; Akhtar, N.; Fatima, H.; Atif, M.; Farooqi, S. M.",2018,"APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH",1,"R6",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Impacts and adaptation options for estuarine vegetation in a large city","Rogers, Kerrylee; Mogensen, Laura A.; Davies, Peter; Kelleway, Jeffrey; Saintilan, Neil; Withycombe, Geoff",2019,"LANDSCAPE AND URBAN PLANNING",1,"R2",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Indicators of biodiversity and ecosystem services: a synthesis across ecosystems and spatial scales","Feld, Christian K.; da Silva, Pedro Martins; Sousa, Jose Paulo; de Bello, Francesco; Bugter, Rob; Grandin, Ulf; Hering, Daniel; Lavorel, Sandra; Mountford, Owen; Pardo, Isabel; Paertel, Meelis; Roembke, Joerg; Sandin, Leonard; Jones, K. Bruce; Harrison, Paula",2009,"OIKOS",1,"R11",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Integrating ecosystem services into conservation assessments: A review","Egoh, Benis; Rouget, Mathieu; Reyers, Belinda; Knight, Andrew T.; Cowling, Richard M.; van Jaarsveld, Albert S.; Welz, Adam",2007,"ECOLOGICAL ECONOMICS",1,"R11",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Integrating Human and Ecosystem Health Through Ecosystem Services Frameworks","Ford, Adriana E. S.; Graham, Hilary; White, Piran C. L.",2015,"ECOHEALTH",1,"R14",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Participatory scenario planning in place-based social-ecological research: insights and experiences from 23 case studies","Oteros-Rozas, Elisa; Martin-Lopez, Berta; Daw, Tim M.; Bohensky, Erin L.; Butler, James R. A.; Hill, Rosemary; Martin-Ortega, Julia; Quinlan, Allyson; Ravera, Federica; Ruiz-Mallen, Isabel; Thyresson, Matilda; Mistry, Jayalaxshmi; Palomo, Ignacio; Peterson, Garry D.; Plieninger, Tobias; Waylen, Kerry A.; Beach, Dylan M.; Bohnet, Iris C.; Hamann, Maike; Hanspach, Jan; Hubacek, Klaus; Lavorel, Sandra; Vilardy, Sandra P.",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,"R1: meta-analysis of participatory scenario planning",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Quantifying the impacts of ecological restoration on biodiversity and ecosystem services in agroecosystems: A global meta-analysis","Paula Barral, Maria; Rey Benayas, Jose Maria; Meli, Paula; Oscar Maceira, Nestor",2015,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",1,"R14",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Restoration Ecology's Silver Jubilee: big time questions for restoration ecology","Reid, J. Leighton",2018,"RESTORATION ECOLOGY",1,"R2",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The ecological importance of intraspecific variation","Des Roches, Simone; Post, David M.; Turley, Nash E.; Bailey, Joseph K.; Hendry, Andrew P.; Kinnison, Michael T.; Schweitzer, Jennifer A.; Palkovacs, Eric P.",2018,"NATURE ECOLOGY & EVOLUTION",1,"R6",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The effects of landscape patterns on ecosystem services: meta-analyses of landscape services","Duarte, Gabriela Teixeira; Santos, Paloma Marques; Cornelissen, Tatiana Garabini; Ribeiro, Milton Cezar; Paglia, Adriano Pereira",2018,"LANDSCAPE ECOLOGY",1,"R12",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The interplay of landscape composition and configuration: new pathways to manage functional biodiversity and agroecosystem services across Europe","Martin, Emily A.; Dainese, Matteo; Clough, Yann; Baldi, Andras; Bommarco, Riccardo; Gagic, Vesna; Garratt, Michael P. D.; Holzschuh, Andrea; Kleijn, David; Kovacs-Hostyanszki, Aniko; Marini, Lorenzo; Potts, Simon G.; Smith, Henrik G.; Al Hassan, Diab; Albrecht, Matthias; Andersson, Georg K. S.; Asis, Josep D.; Aviron, Stephanie; Balzan, Mario, V; Banos-Picon, Laura; Bartomeus, Ignasi; Batary, Peter; Bure, Francoise; Caballero-Lopez, Berta; Concepcion, Elena D.; Coudrain, Valerie; Danhardt, Juliana; Diaz, Mario; Diekoetter, Tim; Dormann, Carsten F.; Duflot, Remi; Entling, Martin H.; Farwig, Nina; Fischer, Christina; Frank, Thomas; Garibaldi, Lucas A.; Hermann, John; Herzog, Felix; Inclan, Diego; Jacot, Katja; Jauker, Frank; Jeanneret, Philippe; Kaiser, Marina; Krauss, Jochen; Le Feon, Violette; Marshal, Jon; Moonen, Anna-Camilla; Moreno, Gerardo; Riedinger, Verena; Rundloef, Maj; Rusch, Adrien; Scheper, Jeroen; Schneider, Gudrun; Schueepp, Christof; Stutz, Sonja; Sutter, Louis; Tamburini, Giovanni; Thies, Carsten; Tormos, Jose; Tscharntke, Teja; Tschumi, Matthias; Uzman, Deniz; Wagner, Christian; Zubair-Anjum, Muhammad; Steffan-Dewenter, Ingolf",2019,"ECOLOGY LETTERS",1,"R3",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The place of agricultural sciences in the literature on ecosystem services","Tancoigne, Elise; Barbier, Marc; Cointet, Jean-Philippe; Richard, Guy",2014,"ECOSYSTEM SERVICES",1,"R1",FALSE,"R1: similar to our paper but specific to agriculture",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The rise of research on futures in ecology: rebalancing scenarios and predictions","Coreau, Audrey; Pinay, Gilles; Thompson, John D.; Cheptou, Pierre-Olivier; Mermet, Laurent",2009,"ECOLOGY LETTERS",1,"R11",FALSE,"R11: THis paper does not fulfill our criteria, but could be interesting to use for other parts of the paper because they do something similar to what we want to do.",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"The unfolding water drama in the Anthropocene: towards a resilience-based perspective on water for global sustainability","Rockstrom, J.; Falkenmark, M.; Allan, T.; Folke, C.; Gordon, L.; Jagerskog, A.; Kummu, M.; Lannerstad, M.; Meybeck, M.; Molden, D.; Postel, S.; Savenije, H. H. G.; Svedin, U.; Turton, A.; Varis, O.",2014,"ECOHYDROLOGY",1,"R1",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Towards an assessment of multiple ecosystem processes and services via functional traits","de Bello, Francesco; Lavorel, Sandra; Diaz, Sandra; Harrington, Richard; Cornelissen, Johannes H. C.; Bardgett, Richard D.; Berg, Matty P.; Cipriotti, Pablo; Feld, Christian K.; Hering, Daniel; da Silva, Pedro Martins; Potts, Simon G.; Sandin, Leonard; Sousa, Jose Paulo; Storkey, Jonathan; Wardle, David A.; Harrison, Paula A.",2010,"BIODIVERSITY AND CONSERVATION",1,"R13",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Understanding complex links between fluvial ecosystems and social indicators in Spain: An ecosystem services approach","Vidal-Abarca, M. R.; Suarez-Alonso, M. L.; Santos-Martin, F.; Martin-Lopez, B.; Benayas, J.; Montes, C.",2014,"ECOLOGICAL COMPLEXITY",1,"R1",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Wetland Ecosystem Services and the Ramsar Convention: an Assessment of Needs","McInnes, Robert J.; Simpson, Matthew; Lopez, Beatriz; Hawkins, Robbie; Shore, Robert",2017,"WETLANDS",1,"R10",FALSE,"R10: useful review/meta-analysis on wetland ES. excluded because a review, but put in the useful other papers folder.",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Conservation relevance of bat caves for biodiversity and ecosystem services","Medellin, Rodrigo A.; Wiederholt, Ruscena; Lopez-Hoffman, Laura",2017,"BIOLOGICAL CONSERVATION",1,"R4/R10",TRUE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage","Marx, Jori M.; Rall, Bjoern C.; Phillips, Helen R. P.; Brose, Ulrich",2019,"OIKOS",1,"R3",FALSE,"R3: This paper is technically a meta-analysis, but they extract the data and use it for a new model, so maybe we should consider it?",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Interacting effects of change in climate, human population, land use, and water use on biodiversity and ecosystem services","Elmhagen, Bodil; Destouni, Georgia; Angerbjorn, Anders; Borgstrom, Sara; Boyd, Emily; Cousins, Sara A. O.; Dalen, Love; Ehrlen, Johan; Ermold, Matti; Hamback, Peter A.; Hedlund, Johanna; Hylander, Kristoffer; Jaramillo, Fernando; Lagerholm, Vendela K.; Lyon, Steve W.; Moor, Helen; Nykvist, Bjorn; Pasanen-Mortensen, Marianne; Plue, Jan; Prieto, Carmen; van der Velde, Ype; Lindborg, Regina",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,"R1: assessed as 'meets criteria"" in early December. Decided upon second read that it's a meta-analysis; Looks like a paper with similar goals to our own that dove into a case study",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"'Rage against the machine'? The opportunities and risks concerning the automation of urban green infrastructure","Gulsrud, Natalie Marie; Raymond, Christopher M.; Rutt, Rebecca L.; Olafsson, Anton Stahl; Plieninger, Tobias; Sandberg, Mattias; Beery, Thomas H.; Jonsson, K. Ingemar",2018,"LANDSCAPE AND URBAN PLANNING",1,"R2",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"'Stream Daylighting' as an approach for the renaturalization of riverine systems in urban areas: Istanbul-Ayamama Stream case","Delibas, Meltem; Tezer, Azime",2017,"ECOHYDROLOGY & HYDROBIOLOGY",1,"R7",FALSE,"R7: Review which also develops a tool and assesses current state of stream health but doesn't use tool to quantify drivers or advance ecological understanding of ES/EF",NA,NA,2,"Review only","Is this a review?"
"A complex systems approach for multiobjective water quality regulation on managed wetland landscapes","Parrott, Lael; Quinn, Nigel",2016,"ECOSPHERE",1,"R8",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A constructed treatment wetland as an opportunity to enhance biodiversity and ecosystem services","Semeraro, Teodoro; Giannuzzi, Cosimo; Beccarisi, Leonardo; Aretano, Roberta; De Marco, Antonella; Pasimeni, M. Rita; Zurlini, Giovanni; Petrosillo, Irene",2015,"ECOLOGICAL ENGINEERING",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A critique of 'countryside biogeography' as a guide to research in human-dominated landscapes","Driscoll, Don A.; Balouch, Sara; Burns, Thomas J.; Garvey, Tim F.; Wevill, Tricia; Yokochi, Kaori; Doherty, Tim S.",2019,"JOURNAL OF BIOGEOGRAPHY",1,"R3",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A framework for assessing regional biodiversity condition under changing environments of the arid Australian rangelands","Smyth, A. K.; Brandle, R.; Chewings, V.; Read, J.; Brook, A.; Fleming, M.",2009,"RANGELAND JOURNAL",1,"R11",FALSE,"R11: Does not pass our criteria, but the paper mentions that if you are doing a study of biodiversity and want to link it to ecosystem services you have to be very explicit in how you give definitions, etc. so it actually fulfills your goals",NA,NA,2,"Review only","Is this a review?"
"A fungal perspective on conservation biology","Heilmann-Clausen, Jacob; Barron, Elizabeth S.; Boddy, Lynne; Dahlberg, Anders; Griffith, Gareth W.; Norden, Jenni; Ovaskainen, Otso; Perini, Claudia; Senn-Irlet, Beatrice; Halme, Panu",2015,"CONSERVATION BIOLOGY",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A global perspective on wetland salinization: ecological consequences of a growing threat to freshwater wetlands","Herbert, Ellen R.; Boon, Paul; Burgin, Amy J.; Neubauer, Scott C.; Franklin, Rima B.; Ardon, Marcelo; Hopfensperger, Kristine N.; Lamers, Leon P. M.; Gell, Peter",2015,"ECOSPHERE",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A global synthesis of the effects of biological invasions on greenhouse gas emissions","Qiu, Jiangxiao",2015,"GLOBAL ECOLOGY AND BIOGEOGRAPHY",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A history of hubris - Cautionary lessons in ecologically sustainable forest management","Lindenmayer, David B.; Laurance, William F.",2012,"BIOLOGICAL CONSERVATION",1,"R5",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A landscape approach towards ecological restoration and sustainable development of mining areas","Lei, Kai; Pan, Huiyun; Lin, Chunye",2016,"ECOLOGICAL ENGINEERING",1,"R8",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A niche for ecosystem multifunctionality in global change research","Giling, Darren P.; Beaumelle, Lea; Phillips, Helen R. P.; Cesarz, Simone; Eisenhauer, Nico; Ferlian, Olga; Gottschall, Felix; Guerra, Carlos; Hines, Jes; Sendek, Agnieszka; Siebert, Julia; Thakur, Madhav P.; Barnes, Andrew D.",2019,"GLOBAL CHANGE BIOLOGY",1,"R2",FALSE,"R2: could be a good paper to review?",NA,NA,2,"Review only","Is this a review?"
"A preview of perennial grain agriculture: knowledge gain from biotic interactions in natural and agricultural ecosystems","Rasche, Frank; Blagodatskaya, Evgenia; Emmerling, Christoph; Belz, Regina; Musyoki, Mary K.; Zimmermann, Judith; Martin, Konrad",2017,"ECOSPHERE",1,"R6",FALSE,"R6: preview' article that synthesizes other work",NA,NA,2,"Review only","Is this a review?"
"A site-based approach to delivering rangeland ecosystem services","Brown, Joel; MacLeod, Neil",2011,"RANGELAND JOURNAL",1,"R13",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A social-ecological framework for ""micromanaging"" microbial services","Peralta, Ariane L.; Stuart, Diana; Kent, Angela D.; Lennon, Jay T.",2014,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",1,"R1",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A template for publishing the ""conservation chain"" from problem identification to practical action, exemplified through the campaign for butterfly protection in Israel","Pe'er, Guy; Benyamini, Dubi",2008,"ISRAEL JOURNAL OF ECOLOGY & EVOLUTION",1,"R11",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"A wider view of assessments of ecosystem services in coastal areas: the perspective of social-ecological complexity","Sole, Liliana; Ariza, Eduard",2019,"ECOLOGY AND SOCIETY",1,"R3",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Actionable knowledge for ecological intensification of agriculture","Geertsema, Willemien; Rossing, Walter A. H.; Landis, Douglas A.; Bianchi, Felix J. J. A.; van Rijn, Paul C. J.; Schaminee, Joop H. J.; Tscharntke, Teja; van der Werf, Wopke",2016,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",1,"R8",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Advances in pollination ecology from tropical plantation crops","Klein, Alexandra-Maria; Cunningham, Saul A.; Bos, Merijn; Steffan-Dewenter, Ingolf",2008,"ECOLOGY",1,"R11",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Advancing landscape ecology as a science: the need for consistent reporting guidelines","Vetter, Daniela; Storch, Ilse; Bissonette, John A.",2016,"LANDSCAPE ECOLOGY",1,"R8",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Agricultural conservation practices and wetland ecosystem services in the wetland-rich Piedmont-Coastal Plain region","De Steven, Diane; Lowrance, Richard",2011,"ECOLOGICAL APPLICATIONS",1,"R13",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Agricultural landscape structure affects arthropod diversity and arthropod-derived ecosystem services","Mitchell, Matthew G. E.; Bennett, Elena M.; Gonzalez, Andrew",2014,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",1,"R1",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Agroforests as model systems for tropical ecology","Greenberg, Russell; Perfecto, Ivette; Philpott, Stacy M.",2008,"ECOLOGY",1,"R11",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Alien plants as mediators of ecosystem services and disservices in urban systems: a global review","Potgieter, Luke J.; Gaertner, Mirijam; Kueffer, Christoph; Larson, Brendon M. H.; Livingstone, Stuart W.; O'Farrell, Patrick J.; Richardson, David M.",2017,"BIOLOGICAL INVASIONS",1,"R6",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Allocating Untreated ""Controls"" in the National Wilderness Preservation System as a Climate Adaptation Strategy: A Case Study From the Flathead National Forest, Montana","Belote, R. Travis; Dietz, Matthew S.; Aplet, Gregory H.",2015,"NORTHWEST SCIENCE",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Amazonia revealed: forest degradation and loss of ecosystem goods and services in the Amazon Basin","Foley, Jonathan A.; Asner, Gregory P.; Costa, Marcos Heil; Coe, Michael T.; DeFries, Ruth; Gibbs, Holly K.; Howard, Erica A.; Olson, Sarah; Patz, Jonathan; Ramankutty, Navin; Snyder, Peter",2007,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",1,"R11",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"An ecosystem services filter for rangeland restoration","Brown, Joel R.; MacLeod, Neil D.",2017,"RANGELAND JOURNAL",1,"R7",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"An Indicator Framework for Assessing Agroecosystem Resilience","Cabell, Joshua F.; Oelofse, Myles",2012,"ECOLOGY AND SOCIETY",1,"R13",FALSE,"R13: A review that applies resilience theory to agro-ecosystems.",NA,NA,2,"Review only","Is this a review?"
"Anticipative management for coral reef ecosystem services in the 21st century","Rogers, Alice; Harborne, Alastair R.; Brown, Christopher J.; Bozec, Yves-Marie; Castro, Carolina; Chollett, Iliana; Hock, Karlo; Knowland, Cheryl A.; Marshell, Alyssa; Ortiz, Juan C.; Razak, Tries; Roff, George; Samper-Villarreal, Jimena; Saunders, Megan I.; Wolff, Nicholas H.; Mumby, Peter J.",2015,"GLOBAL CHANGE BIOLOGY",1,"R14",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Application of a geomorphic and temporal perspective to wetland management in North America","Smith, Loren M.; Euliss, Ned H., Jr.; Wilcox, Douglas A.; Brinson, Mark M.",2008,"WETLANDS",1,"R11",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Application of ecosystem-based analytic tools to evaluate natural resource damage and environmental impact assessments in the ROPME Sea Area","Reilly, Timothy J.; McCay, Deborah French; Grant, Jon R.; Rowe, Jill",2012,"AQUATIC ECOSYSTEM HEALTH & MANAGEMENT",1,"R13",FALSE,"R13: A review of various valuation methods for marine ecosystems impacted by oil spills.",NA,NA,2,"Review only","Is this a review?"
"Applied urban ecology for sustainable urban environment","Breuste, Juergen; Qureshi, Salman; Li, Junxiang",2013,"URBAN ECOSYSTEMS",1,"R9",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Applying resilience thinking to production ecosystems","Rist, L.; Felton, A.; Nystrom, M.; Troell, M.; Sponseller, R. A.; Bengtsson, J.; Osterblom, H.; Lindborg, R.; Tidaker, P.; Angeler, D. G.; Milestad, R.; Moen, J.",2014,"ECOSPHERE",1,"R1",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Approaches and mechanisms for ecologically based pest management across multiple scales","Zhao, Zi-Hua; Reddy, Gadi V. P.; Hui, Cang; Li, Bai-Lian",2016,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",1,"R7",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
"Assembling the pieces: a framework for the integration of multi-functional ecological main structure in the emerging urban region of Bogota, Colombia","Andrade, German I.; Remolina, Fernando; Wiesner, Diana",2013,"URBAN ECOSYSTEMS",1,"R9",FALSE,NA,NA,NA,2,"Review only","Is this a review?"
