Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q14_ESP_type,ESPcount,Q14_KremenNotes,biotic_driver_present,biotic_drivers,Q18_SurveyNotes,Round1_Comments,Q14_qa_note
Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,Aslan,RANGELAND ECOLOGY & MANAGEMENT,2009,GV,FALSE,final,,0,,FALSE,,"The measured percent of users who rated effectiveness as high, medium, low for various management techniques to control/remove yellow starthistle.",,
Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010,CW,FALSE,final,"Single species  [e.g. ESPs, single species]",1,ESP = nitrogen-fixing invasive tree (ask whether invader has positive effect on carbon sequestration),TRUE,Service Provider (Q17),"Study creates wall-to-wall map of estimated aboveground biomass (authors call carbon sequestration) on a precipitation gradients, spanning three ecotypes, and consider 3D canopy height (community structure) in invaded and uninvaded areas.",Above Ground Carbon Stock research,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012,NBD,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Service Provider (Q17),,,
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17); bird functional evenness,,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,,0,,FALSE,,,,
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,Examined overall diversity (community diversity) and active diversity (ESPs) of soil microbes.,TRUE,Service Provider (Q17),"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,plant-soil feedbacks,"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,looked at tree species composition for biomass and carbon estimates,FALSE,,,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010,AK/GV,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,AK: Used four predator species groups to model impacts on pest load (including dispersal),TRUE,Service Provider (Q17); Predator dispersal distance,"GV: Examined effects of the following on pest control: spatial arrangement of landscape of patches of pests and predators, dispersal ability of predators. This was purely a simulation study, and this made it hard to code.",,GV reviewed and corrected
Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008,CK/JL,TRUE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,"JL: Comment on Human driver: Land use change=% Developed land, Management practice=Shoreline condition (bulkhead;riprap;natural)",,"CTW reviewed and corrected based on corrected Q12 answers, keep JL answer"
Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands,Birkhofer,FRONTIERS IN ECOLOGY AND EVOLUTION,2016,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"Looked across multiple soil arthropod species, but also quantified stable isotopes to group them into primary consumers (true detritivores) or secondary consumers, making it clearer that they were ESPs for decomposition.",TRUE,Service Provider (Q17),,,
Habitat assessment of a restored oyster reef in South Texas,Blomberg,ECOLOGICAL ENGINEERING,2018,IS,FALSE,final,"Single species  [e.g. ESPs, single species]",1,unclear if there are multiple species of oysters considered,FALSE,,also wanted to include community diversity under 'habitat creation and maintenance' but there were only two spaces,,
"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Brady,LANDSCAPE ECOLOGY,2012,AIS,FALSE,final,,0,,FALSE,,,modeling paper,
Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Breland,ECOSPHERE,2018,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"Includes table for different bee species that indicate each treatment type, but by my view that's more showing association and not connecting multiple ESPs to ES provisioning",TRUE,Service Provider (Q17),"Restoration (thinning) has positive effect on bee richness, abundance and diversity, and floral cover; land use history has no effect for those; pollinators allowed has positive effect on fruit and seed set, restoration and land use history has no effect; authors reference ""pollination services"" but I think reference the y-variables more as EFs, not proxies for ES. Paper doesn't make full linkage quantitatively from EF to ES.","great study on pollinators, restoration, and pollination as a service",
Global evidence of positive impacts of freshwater biodiversity on fishery yields,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016,LD/TK,TRUE,final,"Across species  [e.g. community structure, diversity]",1,LD: species richness,TRUE,species richness,"LD: For the spatial scale question Q9, the unit of the analysis was country level. The sum of the surface area of inland waters (km2) per country was extracted from the Global Lakes and Wetlands Database (GLWD) (Lehner & Döll, 2004) to account for available habitat for freshwater species.",,
Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,Brunori,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,LB,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,FALSE,,,,
"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,AK/GV,TRUE,final,,0,,FALSE,,"GV: They used very loose proxies for all of the services they measured, but did look at tradeoffs given different land use scenarios in a cool way.",,
Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Byrne,ECOSYSTEMS,2008,TK/JL,TRUE,final,,0,"JL: I debated whether earthworms could be considered an ESP, but the focus here is on how urban land cover effects earthworms, not on how earth worms provide key ES's... I suppose I see earthworms as one of many proxies for soil EF/ES rather than an ESP here.",FALSE,,"JL: The authors state that soil moisture retention and soil temperature both reflect the ability to support gardening and ornamental plants in urban environments, so I listed these as cultural services. Soil C and CO2 flux are clearly linked to carbon regulation. I put all of the other response metrics into soil formation since I didn't see any indication to put them elsewhere.  Direction of relationships were left blank as the driver was categorical (effects were significant, but not directional in nature).; Comment on Human driver: Land use change=Urban land cover type (mulch/lawn/gravel/undeveloped field reference)",,
"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",Cameron,ECOLOGICAL APPLICATIONS,2019,KCG,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,,
Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Campbell,ECOLOGICAL MODELLING,2016,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,"Questionable - focuses on biodiversity and energy production with minimal linkages in text to resilience as an ES, but does appear to also look at NPP/GPP, so likely a stretch of a connection to EF/ES to be found.",
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,pathogen attack; browsing of trees by livestock and deer,,,"CTW reviewed and corrected based on corrected Q12 answers, keep AK answer because paper considered effects of multiple species groups' richness/diversity (e.g. trees, fungi, flora)"
Shadow conservation and the persistence of sacred church forests in northern Ethiopia,Cardelus,BIOTROPICA,2017,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,just looked at abundance of native and non-native taxa in sacred forests,FALSE,,"This paper doesn't directly scale EF to ES; however they do evaluate the states of sacred forests (in terms of change in forest area, abundance of native and non-native taxa, amount of disturbance) but I put these under 'maintenance of options' though these would better go under a cultural category, as the paper states that these sacred forests ""These forests provide varied ecosystem services including material provisions (timber and non-timber forest products), non-material services (spiritual and cultural value), and support services (pollination, erosion control) (Assessment 2005, Bhagwat 2009)."" We may want to re-assess this paper to see if we want to keep it","CTW re-evaluated for Q8 -- LD marked as does NOT measure EF or ES directly, but I think it does because it's looking at forest degradation(by size and % disturbance) based on distance to human activity and also looks at abundance of native taxa... here sacred forests are used for cultural/spritual ES's.. but there is no direct linkage from forest EF to ES, so I think this will definitely get dropped in round 2 of review, but passing on to third reviewer to let them be the tie-breaker",
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,TM,FALSE,final,,0,,FALSE,,,Will probably exclude.. not sure it rigorously links drivers to changes in water quality (focal ES/EF),
Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Carson,ECOSPHERE,2018,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),Comment on Biotic driver: Biotic driver= ESP identity (which of three invasive species provided greatest ES potential),they only measure invasive plant abundance (Q8) but then they discuss how that material could be used to provide services,
Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015,LB,FALSE,final,,0,,FALSE,,,,
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,applied a framework to a virtual scenario (simulation),
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Crop diversity; Genetic diversity,,,
Changes in ecological stability across realistic biodiversity gradients depend on spatial scale,Chalcraft,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2013,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,Mean species richnes,TRUE,Mean species richness (by plot and by site),"Other habitat creation/maintenance y-vars include: ecosystem productivity and population productivity (considered as EF, not proxy or direct ES). Related mean plot/regional species richness to those metrics. ES focus here seems to be on continued provisioning of Chihuahan grassland (habitat) and the stability of that system. 12 years of data were used but temporal trends not the focus (all x and y vars were averaged vals)-- author explicitly states focus is on variation by scale not time (and did not find evidence of temporal trend difference by region in pre-analysis check). ALSO, relationships shown include nonlinear (saturating response). Finds positive linear trends at plot scale, and hump-shape curves or asymptotes at region. There's no option in Q12 for nonlinear response.",Biodiversity's effect on ecosystem stability.,Reviewer correction
Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem,Chandregowda,JOURNAL OF ARID ENVIRONMENTS,2018,JL/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"JL: Selected multiple because 'shrub' was the ESP in the model, which could have been one of 2 or 3 dominant shrub species, I believe",TRUE,Service Provider (Q17),JL: Comment on Biotic driver: Service provider=Shrub (as compared to grass),,
Detecting pest control services across spatial and temporal scales,Chaplin-Kramer,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,LD/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,"LD: Average syrphid density over the whole growing season (Sy) was highly and significantly correlated with natural habitat at all scales (p ≪ 0.001), and this relationship was likewise strongest at 2.5 km (Fig. 1b). The most common species in this study system was Allograpta obliqua (accounting for 67% of all syrphids reared), but other species included Sphaerophoria sulphuripes (18%), Eupeodes fumipennis (6%), Syrphus opinator (4%), Platycheirus stegnus (2%), Toxomerus occi- dentalis (1%), Eupeodes volucris (1%), and Allograpta exotica (<1%). relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). S; TK: Mostly just the number of aphid predators. Mention diversity measures but they don't make it into the figures.",TRUE,proportion of natural habitat surrounding farms; Syrphid diversity,"LD: Scale dependent relationships with drivers (habitat surrounding farms) - interesting example. Relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). RE thresholds they note something interesting ""Of course, natural enemy suppression of pest populations does not necessarily imply adequate pest control, which is determined by economic thresholds rather than ecological criteria.""",,CTW agrees with TK answer--looks at two different ESP and the structure within each ESP
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Only land cover or habitat type as proxy,1,,FALSE,,AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,"CTW reviewed and corrected based on corrected Q12 answers, keep GV answer"
"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh",Chowdhury,FRESHWATER SCIENCE,2016,CK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Only land cover or habitat type as proxy,1,Some of their land cover types were better proxies than others.,FALSE,,Cool that they looked at flows of services at different scales of demand (local/global).,,
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,FALSE,final,,0,"Not applicable, no ESPs analyzed",FALSE,,"Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",
Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Cole,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,CK/JL,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Area of flowers; Floral plant species richness,"There were positive effects of management (fenced vs non-fenced riparian zones, wide vs narrow buffer riparian zones) on butterfly and bee ESPs; this could not be captured in the ES table because the direction of effect (+ or -) is not clear with categorical explanatory variables.; Comment on Human driver: Management Practices=near or away from non-fenced/narrow-fenced/wide-fenced riparian buffer strips",,
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,,
Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,Costa,BIOLOGICAL CONSERVATION,2018,TK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations,Costa,BASIC AND APPLIED ECOLOGY,2018,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,measured all birds encountered totaling to 64 species across 17 sites,TRUE,rewiring; loss of seed source species,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,,
Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Cumming,ECOSYSTEM SERVICES,2017,JL/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,I selected multiple ESP species because birder experience was clearly influenced by some particular bird species which they gauged as 'unexpected' or 'uniteresting',TRUE,Service Provider (Q17),,,
Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Dale,URBAN ECOSYSTEMS,,NBD,FALSE,final,"Across species  [e.g. community structure, diversity],Among species [e.g., species interactions]",2,,FALSE,,,measures biological control,
Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function,Decker,ECOGRAPHY,2019,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Large- scale trade- off between agricultural intensification and crop pollination services,Deguines,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2014,TM,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17); Pollination dependence,,,
Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment,DeJong,ECOLOGICAL RESTORATION,2017,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),"Both drivers were categorical, so the direction of effect could not be determined (no clear direction); Comment on Human driver: Management practice=Soil surface treatment; Comment on Biotic driver: Biotic driver=different nurse tree ESPs","CTW re-evaluated article for Q8; LD: no service but survivorship, weed resistance as a functions",
Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,DeLong,AMERICAN NATURALIST,2019,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,Model species-area relationship and BEF in model communities,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,,0,no specific species mentioned or studied - just more general things like total vegetation cover or food production,FALSE,,listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Dennis,ECOSYSTEM SERVICES,2017,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Dennis,LANDSCAPE AND URBAN PLANNING,2017,LB,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,Could be argued that it looks at effect of human driver (types of green space developed in urban environments) on an ES (human 'health deprivation and disability' scores),
Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),Diwediga,ECOLOGICAL ENGINEERING,2015,IS,FALSE,final,,0,,TRUE,canopy cover; vegetation type,lots of the drivers were only shown in CCA plot so hard to determine driver-service/function directionality,,
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,JL: This is borderline multiple ESP species / across species... they tested 1 focal species versus a mix of 3 species.,TRUE,Service Provider (Q17),,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",JL reviewed
Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia,Dominguez-Haydar,RESTORATION ECOLOGY,2011,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Donoso,LANDSCAPE ECOLOGY,2014,NBD,FALSE,final,,0,,FALSE,,,,
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",Drewes,ECOLOGICAL MODELLING,2012,LD,FALSE,final,"Single species  [e.g. ESPs, single species]",1,"primarily focused on characteristics of this wild rice ES, both in terms of supply and demand: identifying characteristics of wild rice distribution, harvest and management across multiple jurisdictions",TRUE,Service Provider (Q17),"focused on characteristics of wild rice distribution, harvest and management across multiple jurisdictions. wild rice declined through time",wild rice spatial dynamics,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity],Among species [e.g., species interactions]",3,,TRUE,Service Provider (Q17),"This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,
Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable,Dubs,BASIC AND APPLIED ECOLOGY,2018,CK,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems,Egerer,LANDSCAPE ECOLOGY,2018,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
