Title,FirstAuthor,SourcePublication,PublicationYear,Init,ES_assessed,EScount,Q15_Feedbacks,Q16_Thresholds,Q18_SurveyNotes,Round1_Comments,qa_note
Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,CW,ClimReg; CulturePsych; Energy; Food; Hazards; MaintainOpts; PestPath; Pollination; SoilProtect,9,Ecosystem function -> service providers,No,"Follow Millennium Ecosystem Assessment and UK National Ecosystem Assessment frameworks for defining their ES's and proxies for ES's. More response variables than Q12 has space for. Authors considered plant biodiversity, vegetation structure, grass:forb ratio, and flowering as proxies for cultural services (aesthetic appreciation). Also measured Root turnover rate as supporting ES (nutrient turnover -- put in formation/protection of soils in Q12)",,
Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010,TM,coastWQReg; Energy; Pollination; SoilProtect,4,Ecosystem function -> service providers,No,,,
Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method,Hao,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,JL,Food; freshWQReg; SoilProtect,3,No feedbacks measured directly,Yes,"Although I note that the paper looks at how land use affects services, the MAIN focus is on characterizing the relationships BETWEEN SERVICES and understanding how they change at different scales and land types, and constrain eachother.",,
Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Hefting,ECOLOGICAL ENGINEERING,2013,LD/TK,AQReg; coastWQReg,2,No feedbacks measured directly,Yes,"LD: Some key things to pull out: Denitrification(graybars)andnitrousoxideemission(blackbars)in6streamsidelocationsintheupper,middleandlowerpartsofthecatchmentsstudied. Of the environmen- tal factors measured, pH is definitely the one which gives the best explanation of these differences (Fig. 2). At all sites where nitrous oxide emissions occurred, pH values were low, whereas emissions were negligible or even negative where pH was around 7.; TK: Barely a data paper but did include one really small study that has barely any connection to ES. Not sure it should have made it through, but it is tough. Weird paper.",,"CTW skimmed paper, thresholds mentioned re: pH levels and N20 emissions"
Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China,Hou,LANDSCAPE ECOLOGY,2017,NBD,ClimReg; CulturePsych; freshWQReg; HabCreate,4,"Ecosystem function -> service providers,No feedbacks measured directly",Mentioned or discussed but not measured,,,
"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees",Irvine,ECOSPHERE,2017,NBD,AQReg,1,Ecosystem services -> service providers,No,,,
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",Jiang,ECOLOGICAL ENGINEERING,2016,LD,ClimReg; Food; freshWQReg; Hazards; SoilProtect,5,Ecosystem function / service -> abiotic drivers,No,"DYNAMICS OVER TIME AND TRADEOFFS AND SYNERGIES BETWEEN MULTIPLE ES : ""The spatial correlation coefficients between soil retention, car- bon sequestration, and hydrological regulation amounts in 2000, 2005, and 2012; and changes during 2000–2012, suggest that synergies exist between three regulating ecosystem services on the LP""",Links abiotic drivers to ES's over time,
China's progress towards sustainable land degradation control: Insights from the northwest arid regions,Jiang,ECOLOGICAL ENGINEERING,2019,IS,HabCreate,1,No feedbacks measured directly,Yes,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey,,
"Habitat conversion, extinction thresholds, and pollination services in agroecosystems",Keitt,ECOLOGICAL APPLICATIONS,2009,TK,Pollination,1,Ecosystem function -> service providers,Yes,,,
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape",Kline,ECOLOGICAL APPLICATIONS,2016,CW,ClimReg; HabCreate,2,Ecosystem function -> service providers,No,"Carbon response variables (Mg C per ha) modeled for ecosystem level and forest sector, with timber harvest interval as the predictor (the longer the interval time, the more carbon stored so checked positive direction); found evidence of compound effects of forest structure on different ESPs so checked feedbacks detected; there's lots in this paper",,
Spatially explicit quantification of the interactions among ecosystem services,Li,LANDSCAPE ECOLOGY,2017,AIS,ClimReg; freshWQReg; SoilProtect,3,Ecosystem function / service -> abiotic drivers,Yes,,,
Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Luis Peri,JOURNAL FOR NATURE CONSERVATION,2016,LD,ClimReg; freshWQReg; Materials; SoilProtect,4,Ecosystem services -> ecosystem function,No,considering grazing to produce services and this monitoring looks at its impact on functioning? Not sure if that makes sense,"Links several drivers and ES's; review of a data network that can be used as a tool, but also presents original results on these links",
Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Marcilio-Silva,CONSERVATION BIOLOGY,2018,CK,Food; MaintainOpts,2,Ecosystem function -> service providers,Yes,,,
"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",Marichal,EUROPEAN JOURNAL OF SOIL BIOLOGY,2017,NBD,SoilProtect,1,"Service providers -> abiotic drivers,Ecosystem services -> service providers",No,,,
"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",Noll,ECOLOGICAL RESTORATION,2019,AIS,ClimReg; coastWQReg; SoilProtect,3,No feedbacks measured directly,Yes,,,
Transient Social-Ecological Stability: the Effects of Invasive Species and Ecosystem Restoration on Nutrient Management Compromise in Lake Erie,Roy,ECOLOGY AND SOCIETY,2010,GV,coastWQReg,1,"Ecosystem function / service -> abiotic drivers,Ecosystem function -> service providers",No,"Really difficult paper to code, it doesn't fit our structure very well. They had two models, one for the lake ecology and one for the management practices. The two models were linked, such that lake ecology influenced management and vice versa. Neither had 'response variables' as they were exploring the stability of the state of the system. Cool feedbacks example, but complicated modeling and they didn't actually measure services in the way we were expecting.",,
Organic farming and host density affect parasitism rates of tortricid moths in vineyards,Rusch,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,JL,PestPath,1,Ecosystem services -> service providers,No,"Feedbacks are complicated: they quantify parisitoids as a metric of biocontrol success and ask how land/use management affect parisitoids. Although they do not look at the effect of parasitoids on pest occupancy/health directly (meaning it is not an ESP DRIVER here), it could still be considered an ESP conceptually; and they DO look at how at how a separate ES metric (pest abundance) affects parisitioids... i.e. ES effect on ESP.",,
Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile,Schulz,ECOSPHERE,2017,CW,ClimReg; HabCreate; SoilProtect,3,No feedbacks measured directly,Yes,"Explanatory variables they started with: 8 biophysical extracted from raster maps + 18 bioclimatic variables from WorldClim raster dataset + 4 socio-econ variables. Removed correlated variables from models. Drives don't have a quantifiable direction (at least in what's presented) because end result of modeling is a wall to wall map showing levels of ES, multifunctional hotspots, and restoration/regen suitability based on those underlying drivers.",Unclear if they really identified strong drivers of ES.. may exclude if determined to only be landscape valuation,
Linking wind erosion to ecosystem services in drylands: a landscape ecological approach,Zhao,LANDSCAPE ECOLOGY,2017,TK,ClimReg; Food; SoilProtect,3,No feedbacks measured directly,Yes,,,
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China",Zhao,ECOLOGICAL ECONOMICS,2018,TM,ClimReg; CulturePsych; Food; freshWQReg; SoilProtect,5,Ecosystem services -> ecosystem function,Mentioned or discussed but not measured,,multifunctionality with watersheds,
Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Zorrilla-Miras,ECOLOGICAL ECONOMICS,2018,AK,Food; Materials,2,Ecosystem services -> ecosystem function,No,This paper was confusing...The response variables I listed were also drivers of change in well-being,,
