Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,qnum,id,clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12drivers_qa_note
Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009,IS,FALSE,final,Q12,Q26,bird diversity,3,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",Infilled ES from Driver where 'Other' specified
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,Q12,Q25.4_7,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,Q12,Q25.4_1,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,Q12,Q25.4_9,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012,CK/JL,TRUE,final,Q12,Q25.3_4,Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,"CTW briefly reviewed paper, keep CK answer-- paper considers different land cover types and management"
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012,CK/JL,TRUE,final,Q12,Q25.3_4,Management Practices,2,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,"CTW briefly reviewed paper, keep CK answer-- paper considers different land cover types and management"
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012,CK/JL,TRUE,final,Q12,Q25.4_4,Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,CTW reviewed inconsistent answers
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,Q12,Q25.3_10,Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,Q12,Q25.3_10,Management Practices,2,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,Q12,Q25.3_2,Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,Q12,Q25.3_2,Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,Q12,Q25.3_7,Management Practices,1,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions","SDJ reviewed and corrected, SDJ and GV have same answer"
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,Q12,Q25.3_12,Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,"SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions","SDJ reviewed and corrected, same answer for this question as GV; SDJ reviewed and corrected"
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Q12,Q25,Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,Infilled ES from Driver where 'Other' specified
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Q12,Q25,Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,,Infilled ES from Driver where 'Other' specified
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Q12,Q25,Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,Food,Food and feed,,,Infilled ES from Driver where 'Other' specified
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Q12,Q25,Nutrient enrichment,1,Fertilization,OtherDriver,Human,Human,HabCreate,Habitat creation and maintenance,,,Infilled ES from Driver where 'Other' specified
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,Q12,Q25.3_10,Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,Q12,Q25.4_10,Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,Q12,Q26,Ant activity (number observed per timed interval),3,Service provider density,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,"Other driver missing, reviewed and corrected by CTW; Infilled ES from Driver where 'Other' specified"
Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,Aslan,RANGELAND ECOLOGY & MANAGEMENT,2009,GV,FALSE,final,Q12,Q25.3_10,Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","The measured percent of users who rated effectiveness as high, medium, low for various management techniques to control/remove yellow starthistle.",,
Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010,CW,FALSE,final,Q12,Q25.2_4,Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Study creates wall-to-wall map of estimated aboveground biomass (authors call carbon sequestration) on a precipitation gradients, spanning three ecotypes, and consider 3D canopy height (community structure) in invaded and uninvaded areas.",Above Ground Carbon Stock research,
Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010,CW,FALSE,final,Q12,Q25.4_4,Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Study creates wall-to-wall map of estimated aboveground biomass (authors call carbon sequestration) on a precipitation gradients, spanning three ecotypes, and consider 3D canopy height (community structure) in invaded and uninvaded areas.",Above Ground Carbon Stock research,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,FALSE,final,Q12,Q25.4_2,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,,,
The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012,NBD,FALSE,final,Q12,Q25.4_8,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,FALSE,final,Q12,Q25.4_10,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,FALSE,final,Q12,Q17,habtitat heterogeneity,2,Land cover,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,FALSE,final,Q12,Q26,bird functional evenness,3,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,Q12,Q25,Urban development,1,Land use and land cover change,OtherDriver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",,,Reviewer correction; Infilled ES from Driver where 'Other' specified
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,Q12,Q25,Urban development,1,Land use and land cover change,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,Reviewer correction; Infilled ES from Driver where 'Other' specified
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,Q12,Q25,Urban development,1,Land use and land cover change,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,Reviewer correction; Infilled ES from Driver where 'Other' specified
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,Q12,Q25,Urban development,1,Land use and land cover change,OtherDriver,Human,Human,Food,Food and feed,,,Reviewer correction; Infilled ES from Driver where 'Other' specified
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,Q12,Q25,Urban development,1,Land use and land cover change,OtherDriver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,Reviewer correction; Infilled ES from Driver where 'Other' specified
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,Q12,Q25.3_4,Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,Q12,Q25.3_2,Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,Q12,Q25.4_4,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,Q12,Q17,Availability of dissolved organic carbon,2,Soil characteristics,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,Infilled ES from Driver where 'Other' specified
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q25.3_4,Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q26,plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",Infilled ES from Driver where 'Other' specified
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q25.3_1,Management Practices,1,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q26,plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",Infilled ES from Driver where 'Other' specified
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q25.3_8,Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,Q12,Q26,plant-soil feedbacks,2,Plant soil feedbacks,OtherDriver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",Infilled ES from Driver where 'Other' specified
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.2_10,Climate,1,Climate,Driver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.3_10,Land use change,2,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.3_10,Management Practices,3,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.2_2,Climate,1,Climate,Driver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.3_2,Land use change,2,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Q12,Q25.3_2,Management Practices,3,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,,,
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,Q12,Q25.3_4,Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
