Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q12_Response,varnum,Q12_Yclass,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12responses_qa_note
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,coral rugosity,1,Proxy for ES,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,coral rugosity,1,Proxy for ES,HabCreate,Habitat creation and maintenance,Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,coral rugosity,1,Proxy for ES,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012,CK/JL,TRUE,final,Greenhouse Gas Value (GHGV),1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,CTW reviewed inconsistent answers
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,pollinator ESP abundance,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,pollinator species richness,1,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,pollinator taxonomic breadth,2,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,pollinator species composition,3,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,pollinator ESP abundance,4,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,Plankton and macroinvertebrate community structure,1,EF,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions","Response: SDJ reviewed and corrected, keep both SDJ response driver and GV response driver; Yclass: SDJ reviewed and corrected"
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,water quality,2,EF,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions","Response: SDJ reviewed and corrected, keep both SDJ response driver and GV response driver; Yclass: SDJ reviewed and corrected"
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,Fish community structure,1,EF,Food,Food and feed,"SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions",SDJ reviewed and corrected
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Carbon storage,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Nitrogen storage,2,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,water clarity,1,ES,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Quality of food,1,ES,Food,Food and feed,,,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,quantity of food,2,ES,Food,Food and feed,,,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,Shelter for fauna,1,ES,HabCreate,Habitat creation and maintenance,,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,reduction of coffee berry borer (CBB) presence,1,ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,CBB infestation,2,ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,CBB bean damage,3,ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,Aslan,RANGELAND ECOLOGY & MANAGEMENT,2009,GV,FALSE,final,ranchers' assessment of effectiveness of invasive species control,1,,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","The measured percent of users who rated effectiveness as high, medium, low for various management techniques to control/remove yellow starthistle.",,
Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Asner,BIOLOGICAL INVASIONS,2010,CW,FALSE,final,Aboveground biomass,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Study creates wall-to-wall map of estimated aboveground biomass (authors call carbon sequestration) on a precipitation gradients, spanning three ecotypes, and consider 3D canopy height (community structure) in invaded and uninvaded areas.",Above Ground Carbon Stock research,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,FALSE,final,Pollinator visitation (identity of pollinator,1,ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,FALSE,final,number of visitors),2,ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,FALSE,final,pollen deposition (grains),3,ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012,NBD,FALSE,final,bacterial substrate uptake,1,Proxy for ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,FALSE,final,bird predation rates on plasticene insects,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,No2 dry deposition velocity,1,Proxy for ES,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,NO2 concentration levels,2,Proxy for ES,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,carbon sequestration,1,Proxy for ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,carbon emissions,2,Proxy for ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,recreational potential,1,Proxy for ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,recreational demand,2,Proxy for ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,crop production,1,Proxy for ES,Food,Food and feed,,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,livestock production,2,Proxy for ES,Food,Food and feed,,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,population density,3,Proxy for ES,Food,Food and feed,,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,erosion control capacity,1,Proxy for ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,FALSE,final,soil loss potential,2,Proxy for ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,Pest control,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,Pollination,1,ES,Pollination,Pollination and dispersal of seeds or other propagules,,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Barros,LANDSCAPE ECOLOGY,2019,TM,FALSE,final,Seed dispersal,2,ES,Pollination,Pollination and dispersal of seeds or other propagules,,estimated bird assemblage ES provision potential and explore how habitat and landscape attributes can predict this,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,Carbon cycling (measured by enzyme activity),1,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,soil respiration,2,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,phosphatase activity,3,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,urease activity,4,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,Bastida,MOLECULAR ECOLOGY,2016,GV,FALSE,final,microbial biomass,5,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Used index of ecosystem multifunctionality that encompassed all of the above listed functions, but did not look at any individual functions.",,
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,plant productivity,1,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,plant community composition,1,EF,HabCreate,Habitat creation and maintenance,"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,FALSE,final,fungal abundance,1,EF,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]","can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Community Structure,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Functional Diveristy,2,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Community Structure,1,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,FALSE,final,Functional Diveristy,2,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,standing biomass,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,total aboveground carbon,2,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,water flow regulation,1,ES,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,FALSE,final,water quality regulation,2,ES,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010,AK/GV,TRUE,final,Pest population,1,"ES,EF",PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","GV: Examined effects of the following on pest control: spatial arrangement of landscape of patches of pests and predators, dispersal ability of predators. This was purely a simulation study, and this made it hard to code.",,GV reviewed inconsistent answers
Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Bianchi,ECOLOGICAL APPLICATIONS,2010,AK/GV,TRUE,final,Predator population,2,"ES,EF",PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","GV: Examined effects of the following on pest control: spatial arrangement of landscape of patches of pests and predators, dispersal ability of predators. This was purely a simulation study, and this made it hard to code.",,GV reviewed inconsistent answers
