Title,FirstAuthor,SourcePublication,PublicationYear,Init,Q6_Methods,methodcount,Q18_SurveyNotes,Round1_Comments,qa_note
Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,Redhead,ECOLOGICAL APPLICATIONS,2016,TK,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Landscape-level crop diversity benefits biological pest control,Redlich,JOURNAL OF APPLIED ECOLOGY,2018,TK,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl,Reynolds,BASIC AND APPLIED ECOLOGY,2016,GV,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Did not measure C and N storage directly, only estimated using seagrass coverage.",,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil,Sattler,ECOLOGICAL ENGINEERING,2014,CW,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Not sure if biomass/carbon pool measurements intended as ES but think so?? Metrics like percent cover and forest structure (e.g. basal area, tree density, and tree height) are EFs not ES.",counting carbon sequestration described here as an ES,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems",Seabloom,GLOBAL CHANGE BIOLOGY,2013,KCG,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,Shive,ECOLOGICAL APPLICATIONS,2018,AIS,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,Sobral,NATURE ECOLOGY & EVOLUTION,2017,TK/KCG,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"KCG: This paper seems like an excellent example of ESPs, functions, and services.",,"For TK review only: Experiment, observation, and/or modeling methods confirmed by ND+AK review; For KCG review only: Dissolved KCG clean answer into TK clean answer"
Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Steinert,ECOSPHERE,2018,LB,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016,LB,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Tarszisz,CONSERVATION PHYSIOLOGY,2018,JL/TK,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"For JL review only: Experiment, observation, and/or modeling methods confirmed by ND+AK review; For TK review only: Assign answer reviewed by ND+ÀK"
Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018,CW,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Paper talks about feedbacks but doesn't measure them directly. The way Q12 is structured doesn't seem well suited to capture studies like this one that provide wall-to-wall maps of ES's/resilience/vulnerability. Because it's a spatial study, it inherently addresses scale, but it's also tricky to answer Q9 for this (e.g. there are no ""plots""). Ecological vulnerability and social vulnerability are not correlated in the same way consistently across space. The authors use indices for all three response variables of interest (socio-ecological vulnerability, ecol. vulnerability, and social vulnerability) with multiple factors underlying those indices. Ecological resilience index is based on a normalized ""intrinsic vulnerability to fishing index"" [from another model] and fish assemblage data; socio indices based on 11 indicator that they lumped into 5 components (spatial mobility, materials assets, occupational mobility, attachment, and education). All response indices are on a 0 to 1 (low to high) scale. A reader would have to dig into the supplemental material and references to fully understand how and which data are used, how models work, etc.",,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019,CW,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Variance partitioning paper.. hard to map that on to Q12. There was no direction of effects. Paper reported how much variability each explanatory component accounted for in the data, both within region, and jointly across regions. Notes on physio-chemical environmental variables used (copied verbatim from Appendix 1 in the supplement): Physical (including slope, water depth, stream width, temperature and flow) and chemical (alkalinity, pH, conductivity, TOC, turbidity, nutrients and oxygen saturation, among others) characteristics, measured at the sampling location (local scale; in blue) or at the catchment scales (regional scale; in black) are reported1. The Dundee Hydrological Regime Assessment Method (DHRAM, (Black et al. 2005)) generated 19 parameters characterising the extent of alterations to the hydrological regimes",,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Belowground response of prairie restoration and resiliency to drought,Upton,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,TK,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China",Wei,ECOSYSTEM SERVICES,2018,TM,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,,,
Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses,White,JOURNAL OF APPLIED ECOLOGY,2019,SDJ,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
From intrinsic to service potential: An approach to assess tourism landscape potential,Wozniak,LANDSCAPE AND URBAN PLANNING,2018,SDJ,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,I'd say this paper did not discuss drivers. The goal was to incorporate people's willingness to do tourist activities to calculations for the potential to do that activity across a whole landscape,,
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE",Zhang,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2019,NBD,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,"looks at water quality metrics, I think it should work!","Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Zorrilla-Miras,LANDSCAPE AND URBAN PLANNING,2014,AK,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,"Didn't actually MEASURE services, but had expert panel weigh in on whether ES were improving or not based on land use change.",,
Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Zorrilla-Miras,ECOLOGICAL ECONOMICS,2018,AK,Model/Data Simulation; Social survey/Interview,2,This paper was confusing...The response variables I listed were also drivers of change in well-being,,
