filename,owner,createdTime,modifiedTime,records,rank,EBIOReviewer,Number,Timestamp,email,final_name,Title,meta,review,no_efes,valrisk,tool,biodiv,comments,Yes,No,empty,tally,AuthorsFull,FirstAuthor,in_meetscriteria,exclude,flag_NO,flag_NA,flag_Q8,flag_paper
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,44,2020-01-22T21:05:30Z,,Additive and interactive effects of pollination and biological pest control on crop yield,Additive and interactive effects of pollination and biological pest control on crop yield,No,No,No,No,No,No,,0,6,0,6,"Gagic, Vesna; Marcora, Anna; Howie, Lynita",Gagic,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,234,2019-12-18T19:49:20Z,,"Agri-environmental schemes promote ground-dwelling predators in adjacent oilseed rape fields: Diversity, species traits and distance-decay functions","Agri-environmental schemes promote ground-dwelling predators in adjacent oilseed rape fields: Diversity, species traits and distance-decay functions",No,No,No,No,No,No,,0,6,0,6,"Boetzl, Fabian A.; Krimmer, Elena; Krauss, Jochen; Steffan-Dewenter, Ingolf",Boetzl,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,887,2020-01-17T12:30:55Z,,Agricultural land-use diversity and forest regeneration potential in human- modified tropical landscapes,Agricultural land-use diversity and forest regeneration potential in human- modified tropical landscapes,No,No,No,No,No,No,"Looked at effects of landscape-level agricultural disturbances on forest biodiversity and production as a proxy for regeneration potential and I think loosely, overall ES functioning/services.. but the tie b/w diversity/production and particular services was only weakly discussed",0,6,0,6,"Zermeno-Hernandez, Isela; Pingarroni, Aline; Martinez-Ramos, Miguel",Zermeno-Hernandez,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,845,2019-12-27T07:31:01Z,,Agricultural practices for food safety threaten pest control services for fresh produce,Agricultural practices for food safety threaten pest control services for fresh produce,No,No,No,No,No,No,"Human driver (land management & ag practices) effects on ES (food production, soil function)",0,6,0,6,"Karp, Daniel S.; Moses, Rebekah; Gennet, Sasha; Jones, Matthew S.; Joseph, Shimat; M'Gonigle, Leithen K.; Ponisio, Lauren C.; Snyder, William E.; Kremen, Claire",Karp,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,910,2020-01-21T15:02:27Z,,"Agroecological and social characteristics of New York city community gardens: contributions to urban food security, ecosystem services, and environmental education","Agroecological and social characteristics of New York city community gardens: contributions to urban food security, ecosystem services, and environmental education",No,No,No,No,No,No,,0,6,0,6,"Gregory, Megan M.; Leslie, Timothy W.; Drinkwater, Laurie E.",Gregory,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,74,2020-01-22T22:04:42Z,,Agroecological management improves ecosystem services in almond orchards within one year,Agroecological management improves ecosystem services in almond orchards within one year,No,No,No,No,No,No,,0,6,0,6,"De Leijster, Vincent; Santos, Maria Joao; Wassen, Martin J.; Eugenia Ramos-Font, Maria; Robles, Ana Belen; Diaz, Mario; Staal, Maartje; Verweij, Pita A.",De Leijster,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,64,2020-01-22T21:49:16Z,,"Agroforestry coffee soils increase the insect-suppressive potential offered by entomopathogenic fungi over full-sun soils: A case proposing a ""bait survival technique""","Agroforestry coffee soils increase the insect-suppressive potential offered by entomopathogenic fungi over full-sun soils: A case proposing a ""bait survival technique""",No,No,No,No,No,No,,0,6,0,6,"Moreira, Camila Costa; Celestino, Daiane; Sobrinho, Tathiana Guerra; Cardoso, Irene Maria; Elliot, Simon Luke",Moreira,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1555,2019-12-16T14:37:36Z,,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services","An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",No,No,No,No,No,No,modeling paper,0,6,0,6,"Brady, Mark; Sahrbacher, Christoph; Kellermann, Konrad; Happe, Kathrin",Brady,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laurel,1412,2019-12-28T14:05:25Z,,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",No,No,No,No,No,No,,0,6,0,6,"Butler, James R. A.; Wong, Grace Y.; Metcalfe, Daniel J.; Honzak, Miroslav; Pert, Petina L.; Rao, Nalini; van Grieken, Martijn E.; Lawson, Tina; Bruce, Caroline; Kroon, Frederieke J.; Brodie, Jon E.",Butler,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,422,2020-01-06T20:21:54Z,,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,No,No,No,No,No,No,,0,6,0,6,"Tarszisz, Esther; Tomlinson, Sean; Harrison, Mark E.; Morrogh-Bernard, Helen C.; Munn, Adam J.",Tarszisz,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laura/Caitlin,647,2019-12-07T20:18:59Z,,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,No,No,No,No,No,No,"Paper in part is presenting a new modeling tool, but in doing that quantifies multiple services",0,6,0,6,"Johnston, John M.; Barber, M. Craig; Wolfe, Kurt; Galvin, Mike; Cyterski, Mike; Parmar, Rajbir",Johnston,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,750,2019-11-29T18:49:49Z,,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,No,No,No,No,No,No,,0,6,0,6,"Liang, Youjia; Liu, Lijun",Liang,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,846,2019-12-27T07:36:37Z,,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,No,No,No,No,No,No,Effect of biotic driver (invasive species) on EF (dung beetle activity i.e. decomposition),0,6,0,6,"Milligan, Patrick D.; Prior, Kirsten M.; Palmer, Todd M.",Milligan,1,FALSE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Sierra,337,2019-11-27T14:47:18Z,sije2140@colorado.edu,Annual flower strips support pollinators and potentially enhance red clover seed yield,Annual flower strips support pollinators and potentially enhance red clover seed yield,No,No,No,No,No,No,strategies to decrease the impacts of a weevil on crop yield,0,6,0,6,"Rundloef, Maj; Lundin, Ola; Bommarco, Riccardo",Rundloef,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,120,2020-01-22T23:39:02Z,,Anthropogenic remediation of heavy metals selects against natural microbial remediation,Anthropogenic remediation of heavy metals selects against natural microbial remediation,No,No,No,No,No,No,ES is microbial community - directly connected to soil remediation,0,6,0,6,"Hesse, Elze; Padfield, Daniel; Bayer, Florian; van Veen, Eleanor M.; Bryan, Christopher G.; Buckling, Angus",Hesse,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laurel,1415,2019-12-28T14:28:18Z,,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,No,No,No,No,No,No,,0,6,0,6,"Hernandez, M.; Nearing, M. A.; Stone, J. J.; Pierson, F. B.; Wei, H.; Spaeth, K. E.; Heilman, P.; Weltz, M. A.; Goodrich, D. C.",Hernandez,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,1002,2020-01-21T20:21:17Z,,Applying a synthetic approach to the resilience of Finnish reindeer herding as a changing livelihood,Applying a synthetic approach to the resilience of Finnish reindeer herding as a changing livelihood,No,No,No,No,No,No,,0,6,0,6,"Sarkki, Simo; Komu, Teresa; Heikkinen, Hannu I.; Garcia, Nicolas Acosta; Lepy, Elise; Herva, Vesa-Pekka",Sarkki,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,360,2020-01-02T18:10:15Z,,Applying fingerprint Fourier transformed infrared spectroscopy and chemometrics to assess soil ecosystem disturbance and recovery,Applying fingerprint Fourier transformed infrared spectroscopy and chemometrics to assess soil ecosystem disturbance and recovery,No,No,No,No,No,No,,0,6,0,6,"Maynard, J. J.; Johnson, M. G.",Maynard,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,542,2020-01-19T09:44:06Z,,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,No,No,No,No,No,No,just modeled habitat connectivity as EF but didn't really scale up to ES,0,6,0,6,"Albert, Cecile H.; Rayfield, Bronwyn; Dumitru, Maria; Gonzalez, Andrew",Albert,1,FALSE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Nick,1817,2019-12-03T08:56:38Z,nidr7164@colorado.edu,Aquatic diversity in a former floodplain: Remediation in an urban context,Aquatic diversity in a former floodplain: Remediation in an urban context,No,No,No,No,No,No,,0,6,0,6,"Funk, Andrea; Reckendorfer, Walter; Kucera-Hirzinger, Verena; Raab, Rainer; Schiemer, Fritz",Funk,1,FALSE,FALSE,FALSE,FALSE,FALSE
