filename,owner,createdTime,modifiedTime,records,rank,EBIOReviewer,Number,Timestamp,email,final_name,Title,meta,review,no_efes,valrisk,tool,biodiv,comments,Yes,No,empty,tally,AuthorsFull,FirstAuthor,in_meetscriteria,exclude,flag_NO,flag_NA,flag_Q8,flag_paper
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,43,2020-01-22T21:04:17Z,,A critique of 'countryside biogeography' as a guide to research in human-dominated landscapes,A critique of 'countryside biogeography' as a guide to research in human-dominated landscapes,No,Yes,,,,,,1,1,3,2,"Driscoll, Don A.; Balouch, Sara; Burns, Thomas J.; Garvey, Tim F.; Wevill, Tricia; Yokochi, Kaori; Doherty, Tim S.",Driscoll,0,TRUE,FALSE,TRUE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,474,2019-12-03T09:37:14Z,,A DEA-Based Performance Evaluation of Ecological Land Development of Cities,A DEA-Based Performance Evaluation of Ecological Land Development of Cities,No,No,Yes,No,No,,,1,4,0,5,"Lin, Youn-Jien; Hsueh, Sung-Lin; Chen, Han-Yi",Lin,0,TRUE,FALSE,FALSE,TRUE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Sierra,331,2019-11-27T14:26:13Z,sije2140@colorado.edu,A depth-resolved artificial neural network model of marine phytoplankton primary production,A depth-resolved artificial neural network model of marine phytoplankton primary production,No,No,Yes,No,No,,using artificial neural networks and remotely sensed data to predict phytoplankton primary productivity,1,4,0,5,"Mattei, F.; Franceschini, S.; Scardi, M.",Mattei,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1563,2019-12-16T14:52:44Z,,A diffusive logistic growth model to describe forest recovery,A diffusive logistic growth model to describe forest recovery,No,No,Yes,,,,,1,2,2,3,"Acevedo, Miguel A.; Marcano, Mariano; Fletcher, Robert J., Jr.",Acevedo,0,TRUE,FALSE,TRUE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,817,2019-12-22T09:48:01Z,,A disaggregated biodiversity offset accounting model to improve estimation of ecological equivalency and no net loss,A disaggregated biodiversity offset accounting model to improve estimation of ecological equivalency and no net loss,No,No,No,No,Yes,No,,1,5,0,6,"Maseyk, F. J. F.; Barea, L. P.; Stephens, R. T. T.; Possingham, H. P.; Dutson, G.; Maron, M.",Maseyk,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,178,2019-11-26T13:45:37Z,,A dynamic eco-compensation standard for Hani Rice Terraces System in southwest China,A dynamic eco-compensation standard for Hani Rice Terraces System in southwest China,No,No,Yes,Yes,No,No,how much should be paid to compensate farmers for changing farming practices,2,4,0,6,Liu Moucheng; Liu Weiwei; Yang Lun; Jiao Wenjun; He Siyuan; Min Qingwen,Liu,2,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,164,2019-11-26T13:08:43Z,,A four-component classification of uncertainties in biological invasions: implications for management,A four-component classification of uncertainties in biological invasions: implications for management,No,No,Yes,No,No,No,framework for improve how uncertainty is captured in invasion science,1,5,0,6,"Latombe, G.; Canavan, S.; Hirsch, H.; Hui, C.; Kumschick, S.; Nsikani, M. M.; Potgieter, L. J.; Robinson, T. B.; Saul, W-C; Turner, S. C.; Wilson, J. R. U.; Yannelli, F. A.; Richardson, D. M.",Latombe,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,509,2020-01-16T19:43:21Z,,A framework designation for the assessment of urban ecological risks,A framework designation for the assessment of urban ecological risks,No,No,Yes,Yes,No,No,,2,4,0,6,"Tang, Lina; Wang, Lin; Li, Qianyu; Zhao, Jingzhu",Tang,2,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1769,2020-01-18T16:25:31Z,,A framework for assessing ecological quality based on ecosystem services,A framework for assessing ecological quality based on ecosystem services,No,No,Yes,No,Yes,No,,2,4,0,6,"Paetzold, Achim; Warren, Philip H.; Maltby, Lorraine L.",Paetzold,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Nick,1848,2019-12-10T09:35:22Z,,A framework for assessing regional biodiversity condition under changing environments of the arid Australian rangelands,A framework for assessing regional biodiversity condition under changing environments of the arid Australian rangelands,No,Yes,Yes,No,No,No,"Does not pass our criteria, but the paper mentions that if you are doing a study of biodiversity and want to link it to ecosystem services you have to be very explicit in how you give definitions, etc. so it actually fulfills your goals",2,4,0,6,"Smyth, A. K.; Brandle, R.; Chewings, V.; Read, J.; Brook, A.; Fleming, M.",Smyth,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laurel,1338,2019-11-27T14:14:01Z,,A Framework to Optimize Biodiversity Restoration Efforts Based on Habitat Amount and Landscape Connectivity,A Framework to Optimize Biodiversity Restoration Efforts Based on Habitat Amount and Landscape Connectivity,No,No,Yes,No,No,,,1,4,0,5,"Tambosi, Leandro R.; Martensen, Alexandre C.; Ribeiro, Milton C.; Metzger, Jean P.",Tambosi,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Travis,1168,2020-01-20T15:59:35Z,,A fungal perspective on conservation biology,A fungal perspective on conservation biology,No,Yes,Yes,No,No,No,,2,4,0,6,"Heilmann-Clausen, Jacob; Barron, Elizabeth S.; Boddy, Lynne; Dahlberg, Anders; Griffith, Gareth W.; Norden, Jenni; Ovaskainen, Otso; Perini, Claudia; Senn-Irlet, Beatrice; Halme, Panu",Heilmann-Clausen,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,755,2019-11-30T11:15:56Z,,A general biodiversity-function relationship is mediated by trophic level,A general biodiversity-function relationship is mediated by trophic level,Yes,No,No,No,No,,Comprehensive meta analysis on relationship between  biodiversity and production,1,4,0,5,"O'Connor, Mary I.; Gonzalez, Andrew; Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Duffy, J. Emmett; Gamfeldt, Lars; Griffin, John N.; Hooper, David; Hungate, Bruce A.; Paquette, Alain; Thompson, Patrick L.; Dee, Laura E.; Dolan, Kristin L.",O'Connor,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Anna,1333,2019-12-31T12:18:13Z,,A GIS based approach for prioritizing dams for potential removal,A GIS based approach for prioritizing dams for potential removal,No,No,No,Yes,No,No,,1,5,0,6,"Hoenke, Kathleen M.; Kumar, Mukesh; Batt, Lynnette",Hoenke,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1540,2019-12-26T07:18:27Z,,A global map of the functionality of terrestrial ecosystems,A global map of the functionality of terrestrial ecosystems,No,No,Yes,,Yes,,,2,2,1,4,"Freudenberger, Lisa; Hobson, Peter R.; Schluck, Martin; Ibisch, Pierre L.",Freudenberger,0,TRUE,FALSE,TRUE,TRUE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Travis,1075,2019-12-02T11:45:04Z,trmc6753@colorado.edu,A global perspective on wetland salinization: ecological consequences of a growing threat to freshwater wetlands,A global perspective on wetland salinization: ecological consequences of a growing threat to freshwater wetlands,No,Yes,Yes,No,No,,,2,3,0,5,"Herbert, Ellen R.; Boon, Paul; Burgin, Amy J.; Neubauer, Scott C.; Franklin, Rima B.; Ardon, Marcelo; Hopfensperger, Kristine N.; Lamers, Leon P. M.; Gell, Peter",Herbert,1,TRUE,FALSE,FALSE,TRUE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Travis,1062,2019-12-01T14:17:58Z,trmc6753@colorado.edu,A global synthesis of the effects of biological invasions on greenhouse gas emissions,A global synthesis of the effects of biological invasions on greenhouse gas emissions,No,Yes,Yes,No,No,,,2,3,0,5,"Qiu, Jiangxiao",Qiu,3,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,575,2020-01-19T15:43:48Z,,A global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes,A global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes,Yes,Yes,Yes,No,No,No,,3,3,0,6,"Lichtenberg, Elinor M.; Kennedy, Christina M.; Kremen, Claire; Batary, Peter; Berendse, Frank; Bommarco, Riccardo; Bosque-Perez, Nilsa A.; Carvalheiro, Luisa G.; Snyder, William E.; Williams, Neal M.; Winfree, Rachael; Klatt, Bjoern K.; Astrom, Sandra; Benjamin, Faye; Brittain, Claire; Chaplin-Kramer, Rebecca; Clough, Yann; Danforth, Bryan; Diekoetter, Tim; Eigenbrode, Sanford D.; Ekroos, Johan; Elle, Elizabeth; Freitas, Breno M.; Fukuda, Yuki; Gaines-Day, Hannah R.; Grab, Heather; Gratton, Claudio; Holzschuh, Andrea; Isaacs, Rufus; Isaia, Marco; Jha, Shalene; Jonason, Dennis; Jones, Vincent P.; Klein, Alexandra-Maria; Krauss, Jochen; Letourneau, Deborah K.; Macfadyen, Sarina; Mallinger, Rachel E.; Martin, Emily A.; Martinez, Eliana; Memmott, Jane; Morandin, Lora; Neame, Lisa; Otieno, Mark; Park, Mia G.; Pfiffner, Lukas; Pocock, Michael J. O.; Ponce, Carlos; Potts, Simon G.; Poveda, Katja; Ramos, Mariangie; Rosenheim, Jay A.; Rundlof, Maj; Sardinas, Hillary; Saunders, Manu E.; Schon, Nicole L.; Sciligo, Amber R.; Sidhu, C. Sheena; Steffan-Dewenter, Ingolf; Tscharntke, Teja; Vesely, Milan; Weisser, Wolfgang W.; Wilson, Julianna K.; Crowder, David W.",Lichtenberg,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,207,2019-12-18T12:45:43Z,,A green space vision in Southeast Michigan's most heavily industrialized area,A green space vision in Southeast Michigan's most heavily industrialized area,No,No,Yes,No,No,No,,1,5,0,6,"Draus, Paul; Lovall, Sam; Formby, Treva; Baldwin, Lloyd; Lowe-Anderson, Wanda",Draus,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1666,2019-12-03T08:59:38Z,,A historical meta-analysis of global terrestrial net primary productivity: are estimates converging?,A historical meta-analysis of global terrestrial net primary productivity: are estimates converging?,Yes,No,No,No,No,,Meta-Analysis,1,4,0,5,"Ito, Akihiko",Ito,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1587,2019-12-16T16:47:31Z,,A history of hubris - Cautionary lessons in ecologically sustainable forest management,A history of hubris - Cautionary lessons in ecologically sustainable forest management,No,Yes,,,,,,1,1,3,2,"Lindenmayer, David B.; Laurance, William F.",Lindenmayer,0,TRUE,FALSE,TRUE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,929,2020-01-21T15:25:00Z,,A landscape approach towards ecological restoration and sustainable development of mining areas,A landscape approach towards ecological restoration and sustainable development of mining areas,No,Yes,No,No,Yes,No,,2,4,0,6,"Lei, Kai; Pan, Huiyun; Lin, Chunye",Lei,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,780,2019-12-03T07:40:19Z,,A life course approach to understanding social drivers of rangeland conversion,A life course approach to understanding social drivers of rangeland conversion,No,No,Yes,No,No,,May revisit - not convinced that they actually quantified woody plant encroachment in a viable way (this would be the EF/ES of interest),1,4,0,5,"Hurst, Kristin F.; Ramsdell, C. Paxton; Sorice, Michael G.",Hurst,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1777,2020-01-18T17:03:31Z,,A Matrix-Calibrated Species-Area Model for Predicting Biodiversity Losses Due to Land-Use Change,A Matrix-Calibrated Species-Area Model for Predicting Biodiversity Losses Due to Land-Use Change,No,No,Yes,No,No,No,,1,5,0,6,"Koh, Lian Pin; Ghazoul, Jaboury",Koh,0,TRUE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Nick,1806,2019-12-03T08:29:48Z,nidr7164@colorado.edu,A metadata-driven approach to loading and querying heterogeneous scientific data,A metadata-driven approach to loading and querying heterogeneous scientific data,No,No,No,No,Yes,No,,1,5,0,6,"Leinfelder, Ben; Tao, Jing; Costa, Duane; Jones, Matthew B.; Servilla, Mark; O'Brien, Margaret; Burt, Chad",Leinfelder,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Anna,1247,2019-12-30T21:08:23Z,,"A method for calculating minimum biodiversity offset multipliers accounting for time discounting, additionality and permanence","A method for calculating minimum biodiversity offset multipliers accounting for time discounting, additionality and permanence",No,No,Yes,No,No,No,,1,5,0,6,"Laitila, Jussi; Moilanen, Atte; Pouzols, Federico M.",Laitila,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Travis,1133,2020-01-20T14:11:37Z,,A model of plant community dynamics based on replacement networks,A model of plant community dynamics based on replacement networks,No,No,Yes,No,No,No,,1,5,0,6,"Alcantara, Julio M.; Rey, Pedro J.; Manzaneda, Antonio J.",Alcantara,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,148,2020-01-23T00:12:46Z,,A modest proposal for restoration ecology,A modest proposal for restoration ecology,No,No,Yes,No,No,No,,1,5,0,6,"Brick, Cameron",Brick,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Travis,1135,2020-01-20T14:15:37Z,,A multi-dimensional classification and equity analysis of an urban park system: A novel methodology and case study application,A multi-dimensional classification and equity analysis of an urban park system: A novel methodology and case study application,No,No,Yes,No,Yes,No,,2,4,0,6,"Ibes, Dorothy C.",Ibes,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,108,2020-01-22T23:25:59Z,,A nation-wide survey of neonicotinoid insecticides in agricultural land with implications for agri-environment schemes,A nation-wide survey of neonicotinoid insecticides in agricultural land with implications for agri-environment schemes,No,No,Yes,,,Yes,,2,2,2,4,"Humann-Guilleminot, Segolene; Binkowski, Lukasz J.; Jenni, Lukas; Hilke, Gabriele; Glauser, Gaetan; Helfenstein, Fabrice",Humann-Guilleminot,0,TRUE,FALSE,TRUE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,175,2019-11-26T13:40:52Z,,"A new baseline for countrywide alpha-diversity and species distributions: illustration using > 6,000 plant species in Panama","A new baseline for countrywide alpha-diversity and species distributions: illustration using > 6,000 plant species in Panama",No,No,Yes,No,No,No,species distributions,1,5,0,6,"Leung, Brian; Hudgins, Emma J.; Potapova, Anna; Ruiz-Jaen, Maria C.",Leung,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,198,2019-12-18T12:29:51Z,,A niche for ecosystem multifunctionality in global change research,A niche for ecosystem multifunctionality in global change research,No,Yes,Yes,No,No,No,could be a good paper to review?,2,4,0,6,"Giling, Darren P.; Beaumelle, Lea; Phillips, Helen R. P.; Cesarz, Simone; Eisenhauer, Nico; Ferlian, Olga; Gottschall, Felix; Guerra, Carlos; Hines, Jes; Sendek, Agnieszka; Siebert, Julia; Thakur, Madhav P.; Barnes, Andrew D.",Giling,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laurel,1476,2019-12-29T13:48:08Z,,A partnership approach to addressing applied ecological research needs of an oil and gas business,A partnership approach to addressing applied ecological research needs of an oil and gas business,No,No,Yes,No,No,No,,1,5,0,6,"Pedroni, Paola Maria; Jaramillo, Hernan; de Lourdes Torres, C. Maria; Hugo Navarrete, Z.; Bernal-Ramirez, Julio; Reed, Timothy",Pedroni,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,545,2020-01-19T09:45:20Z,,A preview of perennial grain agriculture: knowledge gain from biotic interactions in natural and agricultural ecosystems,A preview of perennial grain agriculture: knowledge gain from biotic interactions in natural and agricultural ecosystems,No,Yes,Yes,No,No,No,preview' article that synthesizes other work,2,4,0,6,"Rasche, Frank; Blagodatskaya, Evgenia; Emmerling, Christoph; Belz, Regina; Musyoki, Mary K.; Zimmermann, Judith; Martin, Konrad",Rasche,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,51,2020-01-22T21:16:14Z,,A primer on choosing goals and indicators to evaluate ecological restoration success,A primer on choosing goals and indicators to evaluate ecological restoration success,No,No,Yes,,,,,1,2,2,3,"Prach, Karel; Durigan, Giselda; Fennessy, Siobhan; Overbeck, Gerhard E.; Torezan, Jose Marcelo; Murphy, Stephen D.",Prach,0,TRUE,FALSE,TRUE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,418,2020-01-06T20:14:09Z,,A proposed framework for participatory forest restoration in semiarid areas of North Africa,A proposed framework for participatory forest restoration in semiarid areas of North Africa,No,No,Yes,No,No,No,ways to make restoration participatory,1,5,0,6,"Derak, Mchich; Cortina, Jordi; Taiqui, Lahcen; Aledo, Antonio",Derak,0,TRUE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Travis,1057,2019-12-01T13:59:21Z,trmc6753@colorado.edu,A riparian conservation network for ecological resilience,A riparian conservation network for ecological resilience,No,No,Yes,No,Yes,,,2,3,0,5,"Fremier, Alexander K.; Kiparsky, Michael; Gmur, Stephan; Aycrigg, Jocelyn; Craig, Robin Kundis; Svancara, Leona K.; Goble, Dale D.; Cosens, Barbara; Davis, Frank W.; Scott, J. Michael",Fremier,0,TRUE,FALSE,FALSE,TRUE,FALSE
