Exclude_yes/no_nbd,NBD_Notes,assess_date,exclude_LD,Reason_LD,newcase,doublerev,ResponseId,Init,Title,exclude,exclude_notes,flag_inconsistent,SurveyNotes,FirstAuthor,PublicationYear,SourcePublication,Abstract
Exclude,"I also think the sedimentary dynamics paper should be excluded. They frame their study in terms of ES/EF, but it really is a sediment core study that looks at stable isotopes, and I couldn’t really see a connection back to ES or EF at all. I think it should have been excluded in the abstract review.",4/22/20,TRUE,,TRUE,FALSE,R_10xsOIClKEhKIFq,IS,"Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China",Maybe,uncertainy in survey notes,FALSE,"paper didn‚Äôt do a great job at analyzing/showing the specific effects of env drivers (storms, discharge) and human drivers (removal of check dam) on sedimentation",Tang,2018,ECOLOGICAL ENGINEERING,"The Loess Plateau in China exhibited high magnitudes of soil erosion, where multiple soil conservation schemes have been implemented over the past decades. Understanding the efficacy and rationality of conservation practices on erosion mitigation is critical for contemporary strategy adjustment, which currently is hampered by the unavailability of historical observations on sediment yields at most ungauged catchments. Check dams were built with the primary purpose of sediment retention, while the infilling archives register historical sedimentary dynamics. A 485-cm long sediment core was extracted from a check dam in a restored agricultural catchment in the hilly Loess Plateau. Sedimentary stratigraphy was defined at 5-cm resolutions by continuous equivalent sectioning, and differentiated according to absolute grain-size composition and Cesium-137 (Cs-137) profile. Discernable stratigraphic laminations, featured by a fine-grained layer overlying on a coarse-grained layer, were observed, which were conducted by particle selectivity associated with soil detachment and sediment transport processes. Erosion and sediment dynamics across this semiarid landscape is strictly defined by extreme summer storms with large magnitude, low frequency and short duration. Sediment chronology was determined by ascribing the identified laminations to historical storm events. We found that the core profile showed evidence of at least 11 depositional events, which finally were connected with 11 major storms over the time period 1981-1983. We concluded that integrating stratigraphy differentiation of equivalent core segments along depositional profiles with storm records is diagnostic for inferring historical sedimentary dynamics."
,,4/22/20,FALSE,,FALSE,FALSE,R_7P3SpB4PEitCRrP,IS,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,Maybe,uncertainy in survey notes,FALSE,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey,Jiang,2019,ECOLOGICAL ENGINEERING,"Soil erosion is a widespread environmental problem, which threatens the environmental sustainability. The northwest arid region (NAR) in China is known as one of the most severe soil loss in the world that suffering from wind erosion. Based on the Revised Wind Erosion Equation (RWEQ), the spatio-temporal change of wind erosion was identified, and the underlying drivers and influencing factors of soil erosion process were investigated. In addition, the implications of constraint effects in soil erosion control were discussed. The results showed that the wind erosion from 1990 to 2013 was substantially lessened, and the government-aided desertification prevention and control programs, as well as increasing precipitation and decreasing wind speed might have contributed to these trends. The constraint line analyses indicated that the vegetation cover had nonlinear and threshold effects on soil erosion through constraining the water condition (precipitation). Specifically, when the precipitation is below the threshold (approximately 50-100 mm yr(-1) in the NAR), the precipitation (water condition) is not sufficient to maintain a good vegetation cover (about 20-40%), therefore the vegetation cannot efficiently prevent wind erosion. However, once the precipitation exceeds this threshold, the vegetation's sand retention function will enhance and thereby reducing soil loss substantially. Vegetation cover has a lower and an upper threshold for controlling wind erosion. A plant cover lower than 10% does little to reduce wind velocity at the soil surface. The effect of vegetation on reducing wind erosion basically reaches the maximum when plant cover is 40% or above. The constraint effects of precipitation on vegetation cover in the arid region should be considered to improve the efficiency of afforestation and reforestation efforts aiming at mitigating and preventing soil loss."
,,4/22/20,TRUE,perception,FALSE,TRUE,R_1q9Uf3ZTvvvgngD,AIS,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",Exclude,by survey notes,TRUE,"I think this paper should have been excluded in round 1 since it does not directly measure an EF/ES or a proxy, only human perception of ES",Buchel,2015,ECOSYSTEM SERVICES,"To create a city in which green space is designed to address not only ecological priorities but also user perception, it is essential for planners and policy makers to explore the experiences of urban green space users. This study developed a method to a guide the translation of the concept of ecosystem services to citizens. Through a three-step process urban ecosystem services were re-categorized into a subset of directly perceivable services, fine-grained and formed into understandable statements. These statements were presented to urban park users in Rotterdam using Q methodology. Three main user profiles emerged around 'love of nature', 'recreation and connection' and 'social setting and relaxation'. Overall the most valued ecosystem subservice was aesthetic appreciation. Other ecosystem subservices that scored highly were recreation, air qualify control and social setting. Awareness of types of users in terms of park perception could aid urban planners in designing user-focused urban green spaces. (C) 2014 Elsevier B.V. All rights reserved."
,,4/22/20,TRUE,perception,FALSE,TRUE,R_22WbXqkXbhN02fD,AK,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",Maybe,uncertainy in survey notes,TRUE,"This paper didn't really have ""response variables"". Instead they looked at people's perceptions of services in urban parks, so everything was qualitative/descriptive. Wasn't sure how to express this in the big table!",Buchel,2015,ECOSYSTEM SERVICES,"To create a city in which green space is designed to address not only ecological priorities but also user perception, it is essential for planners and policy makers to explore the experiences of urban green space users. This study developed a method to a guide the translation of the concept of ecosystem services to citizens. Through a three-step process urban ecosystem services were re-categorized into a subset of directly perceivable services, fine-grained and formed into understandable statements. These statements were presented to urban park users in Rotterdam using Q methodology. Three main user profiles emerged around 'love of nature', 'recreation and connection' and 'social setting and relaxation'. Overall the most valued ecosystem subservice was aesthetic appreciation. Other ecosystem subservices that scored highly were recreation, air qualify control and social setting. Awareness of types of users in terms of park perception could aid urban planners in designing user-focused urban green spaces. (C) 2014 Elsevier B.V. All rights reserved."
Exclude,"On the surface, this paper looks like something we should keep because it seems to be an experiment. But when I read it more closely, it really didn't go past biodiversity and only sort of mentioned ecosystem services and function, but only in the way that we tried to exclude in the first round of abstract reviews.",4/22/20,TRUE,Q1,TRUE,FALSE,R_e3XYR7oFs2me0SJ,LB,Community-driven skyrise greenery in a dense tropical city provides biodiversity and ecosystem service benefits,Maybe,uncertainy in survey notes,FALSE,I really don't know if this paper should be included,Oh,2018,LANDSCAPE AND URBAN PLANNING,"Community-driven vertical greenery provides a previously under-appreciated resource that could be an important component of tropical urban ecology. While the corridors of buildings have been designed to facilitate the circulation of residents between spaces, this study shows that such corridors incidentally served as an informal space for community-driven vertical greenery. Across 1.86 ha of surveyed corridors, a total of 265 plant species and cultivars were present, with an average richness of 124 species per hectare. This is beneficial to urban ecology through its high species diversity, occurrence of endangered and vulnerable native species. Based on a classification of specific plant attributes referenced from literature, provision of food and medicinal resources (77.5%), and aesthetic benefits (72.3%) were the key ecosystem services provided by the species present. Community-driven vertical greenery could function as refugia for native species of conservation interest through providing an additional buffer against further losses in the wild. It also provides immediate opportunities for interactions between humans and nature. This study finds that corridors with larger areas and simpler geometries typically hold a higher abundance of plant pots. Future efforts to increase the abundance and diversity of vertical greenery, and its concomitant increase in the provision of ecosystem services, could be driven by local communities, rather than be formally planned by landscape architects, engineers and urban planners."
,,4/22/20,TRUE,perception social only,TRUE,FALSE,R_WkrudX0Pys47HOx,NBD,Cultural Ecosystem Services and Popular Perceptions of the Benefits of an Ecological Restoration Project in the Brazilian Atlantic Forest,Maybe,uncertainy in survey notes,FALSE,very hard to code- answers to survey about forest recovery's impact on water purification,Brancalion,2014,RESTORATION ECOLOGY,"It is essential to understand how ecological restoration (ER) improves human well-being in order to justify more investments and upscaling in this emergent field of action. As part of a 22-year-old, 80ha ER project being carried out around a water reservoir that supplies drinking water to the city of Iracemapolis (population 19,700), in the mega-diversity Atlantic Forest biome of Brazil, we assessed local community perceptions of the tangible and intangible benefits expected to arise from this project. A detailed questionnaire was completed for 292 members of the local community to gauge perceptions of benefits arising from various cultural and provisioning ecosystem services (ESs; especially safe and clean drinking water) provided by the 80ha forest restoration project. A striking 94% of those interviewed wanted more ER projects in their community. Participants reported an appreciation for cultural ESs such as esthetic landscape improvement, tourism, recreation, as well as various religious, spiritual, and educational services. In addition, 87% of interviewees believed that the restoration project improved the quality of their drinking water, and 63% said they would agree to an increase in water tariffs if the proceeds were to be invested in more forest restoration. Judging from this study, investigation and subsequent communication of popular perceptions of the various benefits of ER projects could promote consensus-building and support for projects among stakeholders, and inform governmental and societal investments in restoration."
Exclude,"I think it should be excluded because it is too social. The paper does talk about ecosystem services, but just to ask people which services are the most important to them, and then it looks at how infrastructure could improve that.",4/22/20,TRUE,Q2 - social,TRUE,TRUE,R_33BHePaY0hIsWJR,JL,Defining core areas of ecological infrastructure to secure rural livelihoods in South Africa,Exclude,by Q3,TRUE,,Sigwela,2017,ECOSYSTEM SERVICES,"Indigenous communities in South Africa are severely affected by land degradation and global climate change, which lead to decline in the provision of multiple ecosystem services (ES) important for rural livelihoods. Spatial planning towards functional ecological infrastructure (EI) for sustainable rural livelihoods requires evidence-based knowledge about what land covers are of most importance, why, and where they are located. This study identifies potential core areas of EI that deliver ES necessary for livelihoods of rural communities, as well as those land covers that provide disservices using the Tsitsa catchment in Eastern Cape, South Africa as a case study. Face-to-face structured interviews (n=308) were conducted to define rural and urban people's desired ES in the catchment's 23 land covers and the most unwanted land covers. Both urban and rural respondents from indigenous communities view rivers, grasslands and forest plantations as the most wanted land covers that provide multiple ES important for their livelihoods. The most unwanted are dongas, grasslands in poor condition, and barren rocks. We discuss the need for landscape restoration in order to sustain the provision of ES important for livelihoods of rural communities and develop strategies for EI management in communal lands."
,,4/22/20,TRUE,TRUE,TRUE,TRUE,R_3KCsKZPnK4qWsSN,TK,Defining core areas of ecological infrastructure to secure rural livelihoods in South Africa,Keep,,TRUE,,Sigwela,2017,ECOSYSTEM SERVICES,"Indigenous communities in South Africa are severely affected by land degradation and global climate change, which lead to decline in the provision of multiple ecosystem services (ES) important for rural livelihoods. Spatial planning towards functional ecological infrastructure (EI) for sustainable rural livelihoods requires evidence-based knowledge about what land covers are of most importance, why, and where they are located. This study identifies potential core areas of EI that deliver ES necessary for livelihoods of rural communities, as well as those land covers that provide disservices using the Tsitsa catchment in Eastern Cape, South Africa as a case study. Face-to-face structured interviews (n=308) were conducted to define rural and urban people's desired ES in the catchment's 23 land covers and the most unwanted land covers. Both urban and rural respondents from indigenous communities view rivers, grasslands and forest plantations as the most wanted land covers that provide multiple ES important for their livelihoods. The most unwanted are dongas, grasslands in poor condition, and barren rocks. We discuss the need for landscape restoration in order to sustain the provision of ES important for livelihoods of rural communities and develop strategies for EI management in communal lands."
,,4/22/20,FALSE,,FALSE,FALSE,R_2VPcco1o8T95nSu,AIS,"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing",Maybe,uncertainy in survey notes,FALSE,"main focus of paper is on demographic processes, so considered excluding at first",Holdaway,2014,NEW ZEALAND JOURNAL OF ECOLOGY,"Many of New Zealand's natural and induced tussock grasslands are in a degraded low-biomass state due to a combination of fire, overgrazing and weed invasion. The capacity of degraded grasslands to recover biomass is uncertain because legacies of degradation can strongly influence the demographic processes controlling ecosystem recovery. We develop a conceptual framework for understanding biomass carbon (C) flux in degraded perennial grassland based on demographic processes of growth, mortality and recruitment. We apply this framework to 22 years of data from Chionochloa- and Festuca-dominated perennial tussock grassland in the South Island high country, sampling two grazed sites and two sites retired from domestic grazing. Total biomass C stocks were assessed at site level using 174 temporary plots measured in 1989 and 2011. Long-term demographics were monitored using 24 permanent plots in which 7213 individual tussocks were tagged and monitored every 1-5 years from 1989 to 2011. Although biomass C stocks were generally low (2159 +/- 494 kg C ha(-1)), there was a significant increase in total biomass C over the 22-year period at the north-facing retired site of 92 +/- 47 kg C ha(-1) year(-1). Increases in total biomass C were generally due to recruitment and growth of tall tussock (Chionochloa spp.) and/or woody shrubs. Biomass C stock in grazed sites, and the retired south-facing site, declined by up to 65 kg C ha(-1) year(-1) or remained constant. Declines were due to dieback of the dominant short tussock (Festucanovae-zelandiae) across all treatments, and a lack of recruitment of tall tussock and shrub species. Our results suggest that retirement from grazing was not sufficient to ensure total biomass C gains after 22 years, and highlight the roles of recruitment limitation, shrub establishment and management history in controlling ecosystem recovery."
,,4/22/20,FALSE,,FALSE,FALSE,R_26hhXZOzq4brDdp,AK,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Maybe,uncertainy in survey notes,FALSE,"Didn't actually MEASURE services, but had expert panel weigh in on whether ES were improving or not based on land use change.",Zorrilla-Miras,2014,LANDSCAPE AND URBAN PLANNING,"Land-use change is a major driver behind the loss of ecosystem services. We assessed changes in ecosystem services from land-use conversions during the period 1918-2006 in the Donana marshland and estuary in southwestern Spain, one of the largest European wetlands. We contrasted those results with social perceptions of ecosystem services trends using two techniques (expert judgment by a multidisciplinary scientific panel and semi-structured interviews of locals and visitors). The results show that by 2006, (1)70.5% of the natural or semi-natural land covers had been converted to intensive agriculture and other mono-functional uses, hampering the performance of regulating services and (2) 31% of the wetland area had been strictly protected, affecting cultural and provisioning services. Our results show that land-use changes have led to a polarized territorial matrix exhibiting fundamental trade-offs in ecosystem service supply, where provisioning services produced for exportation and sale in the market, such as cash crops and fiber, have been enhanced at the expense of regulating services, such as hydrological regulation, flood buffering, and habitats for species and specific cultural and provisioning services used traditionally by the locals. (C) 2013 Elsevier BM. All rights reserved."
