,assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MethodsNotes,Observational,Experimental,Model_Data_Simulation,Social_survey_Interview,Other,Ecosystem,MultiScale,TimeTrends,FirstAuthor,SourcePublication,PublicationYear,Abstract,,Changed
24,4/22/2020,FALSE,FALSE,R_3gzoOEHLfo3xsn7,CW,Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities,"Study done in the North Sea (chose Atlantic); trawling frequency data came from European Community Satellite Vessel Monitoring System (counted that as observational), otherwise modeled productivity and biomass of seabeds based on a published model. Model output validated with observational data from 33 stations subject to range of trawling in North Sea.",,NA,NA,1,NA,NA,Marine/Off-shore,Yes,Yes,Hiddink,JOURNAL OF APPLIED ECOLOGY,2007,"Methods for assessing habitat sensitivity to human impacts are needed to gauge the sustainability of existing impacts, develop spatial management plans and support meaningful environmental impact assessments. These methods should be quantitative, validated, repeatable and applicable at the scales of impact and management. Existing methods for assessing the sensitivity of marine habitats to human impacts have tended to rely on expert judgement and/or scoring systems. They are neither validated, quantitative nor repeatable. We have developed a method that meets the criteria for assessing the sensitivity of seabed habitats to physical disturbance, and delineating and mapping habitat sensitivity at large spatial scales (> 10(5) km(2)). The method assumes that sensitivity is related to the recovery time of production or biomass, as predicted using a size-based model that takes account of the effects of natural disturbance. As trawling disturbance is a major and widespread direct human impact on shelf seas, this was used as an example of anthropogenic physical disturbance. We mapped habitat sensitivity to trawling in 9-km(2) boxes across an area of 125 000 km(2) in the North Sea. Habitat sensitivities varied widely, and a trawling frequency of 5 year(-1) in the least-sensitive habitat had the same ecological effect as a trawling frequency of 0.3 year(-1) in the most-sensitive habitat (based on production). When trawling effort was held constant but redirected to the least-sensitive habitats, the existing impacts on production and biomass were reduced by 36% and 25%, respectively. Synthesis and applications. The method described in this paper enables managers to predict the implications of changing patterns of human impact on seabed habitats when establishing spatial management plans. In the context of fisheries management, this will support the identification and selection of fishing grounds that minimize the adverse ecological effects of fishing; the selection of closed areas (both representative and highly sensitive); the comparison of management options that might reduce the overall environmental impacts of fishing; and any future steps towards the application of environmental impact assessment in advance of fishery development.",,1
25,4/22/2020,FALSE,FALSE,R_5nnUwLi2HNd4sQp,AIS,Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,,used open data from published sources,NA,NA,1,NA,1,"Terrestrial,Agricultural/Rural,Coastal",Yes,No,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,"Assessments of ecosystem services (ES) and biodiversity (hereafter ecological parameters) provide a comprehensive view of the links between landscapes, ecosystem functioning and human well-being. The investigation of consistent associations between ecological parameters, called bundles, and of their links to landscape composition and structure is essential to inform management and policy, yet it is still in its infancy. We mapped over the French Alps an unprecedented array of 18 ecological parameters (16 ES and two biodiversity parameters) and explored their co-occurrence patterns underpinning the supply of multiple ecosystem services in landscapes. We followed a three-step analytical framework to i) detect the ES and biodiversity associations relevant at regional scale, ii) identify the clusters supplying consistent bundles of ES at subregional scale and iii) explore the links between landscape heterogeneity and ecological parameter associations at landscape scale. We used successive correlation coefficients, overlap values and self-organizing maps to characterize ecological bundles specific to given land cover types and geographical areas of varying biophysical characteristics and human uses at nested scales from regional to local. The joint analysis of land cover richness and ES gamma diversity demonstrated that local landscape heterogeneity alone did not imply compatibility across multiple ecosystem services, as some homogeneous landscape could supply multiple ecosystem services.Synthesis and applications. Bundles of ecosystem services and biodiversity parameters are shaped by the joint effects of biophysical characteristics and of human history. Due to spatial congruence and to underlying functional interdependencies, ecological parameters should be managed as bundles even when management targets specific objectives. Moreover, depending on the abiotic context, the supply of multiple ecosystem services can arise either from deliberate management in homogeneous landscapes or from spatial heterogeneity. Bundles of ecosystem services and biodiversity parameters are shaped by the joint effects of biophysical characteristics and of human history. Due to spatial congruence and to underlying functional interdependencies, ecological parameters should be managed as bundles even when management targets specific objectives. Moreover, depending on the abiotic context, the supply of multiple ecosystem services can arise either from deliberate management in homogeneous landscapes or from spatial heterogeneity.",,1
26,4/22/2020,TRUE,FALSE,R_1gnnpKABZZRCPMI,AK,Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,,,1,NA,1,NA,NA,"Terrestrial,Urban",No,Yes,Graca,ECOSYSTEM SERVICES,2017,"Knowledge regarding Ecosystem Services (ES) delivery and the socio-ecological factors that influence their proficiency is essential to allow cities to adopt policies that lead to resource-efficient planning and greater resilience. As one of the matrix elements of urban ecological structure, vegetation may play a major role in promoting ES proficiency through planting design. This research addresses the heterogeneity of ES delivered by the urban vegetation of Porto, a Portuguese city. A methodology is proposed to investigate associations between socioeconomic indicators and structural variables of the urban forest, and also which structural variables of the urban forest, if any, differ along a socioeconomic gradient. Our results reveal that before setting planning and management goals, it is crucial to understand local patterns of ES and their relationships with socioeconomic patterns, which can be affected by variables such as building age. This should be followed by the identification of structural variables of the urban forest that better explain the differences, in order to target these through planning and management goals. The conceptual framework adopted in this research can guide adaptation of our methodology to other cities, providing insights for planning and management suitable to site-specific conditions and directly usable by stakeholders.",,NA
28,4/22/2020,TRUE,FALSE,R_1pMUi8TKDBRwWHH,AIS,Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,,,1,NA,1,NA,NA,"Terrestrial,Agricultural/Rural",Yes,No,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,"1. Insectivorous birds are increasingly recognized for the crucial pest control services they provide to agroecosystems. While both the foraging activity and functional diversity of birds are enhanced by multiscale habitat heterogeneity, little is known about how these relationships may influence avian top-down control of insects. Specifically, interactive effects of bird community structure and habitat heterogeneity on pest control across spatial scales have rarely been explored. 2. We sampled bird communities and measured avian predation on plasticine model prey, as a proxy for lepidopteran pest control, in 20 vineyards of south-western France. Vineyards differed both in sward heterogeneity at the local scale and amount of surrounding semi-natural habitats at the landscape scale. Functional diversity metrics and community-weighted mean traits were computed for bird communities based on a species-trait table including diet, foraging method, nesting site, migration strategy, laying date, home range size, clutch size and body mass. We used mixed models to test for the interacting effects of habitat heterogeneity and bird functional diversity on avian predation rates of plasticine prey. 3. Contrary to expectations, bird functional diversity decreased with landscape-scale heterogeneity, but was higher in vineyards managed with heterogeneous sward structures. In contrast, foliage-gleaning insectivores were more abundant in landscapes supporting more semi-natural habitats, suggesting an increase in their contribution to pest control along the landscape heterogeneity gradient. Accordingly, we found that avian predation on plasticine prey increased with bird functional evenness both in more heterogeneous vineyards at the local scale and in landscape mosaics supporting more semi-natural habitats. 4. Synthesis and applications. Our study demonstrates that habitat heterogeneity at both local and landscape scales influenced avian insectivory in vineyard agroecosystems by interacting with bird community structure. It provides important insights for ecological intensification in vineyards, pointing out that management options need to be adapted to both the functional composition of local bird communities and landscape context. We suggest that both on-field and off-field management can be used to enhance natural pest control services provided by birds in vineyards, especially by favouring sward heterogeneity and patches of semi-natural habitats within large vineyard stands at the landscape scale.",,NA
37,4/22/2020,FALSE,FALSE,R_26g6p5N6agrVmjY,CW,"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Compiled data from published datasets (e.g. soil maps from other studies, derived from Landsat), weather stations, MODIS (used for NDVI), Gravity Recovery and Climate Experiment (GRACE) to aproximate groundwater levels, and used an empirical model (Revised Universal Soil Loss Equation) to model soil erosion over space. Validated model output with comparative values from related literature.",,NA,NA,1,NA,NA,Terrestrial,Yes,Yes,Jiang,ECOLOGICAL ENGINEERING,2019,"Land degradation is a global environmental problem that threatens human safety and socioeconomic development. In order to alleviate severe soil erosion, China has implemented historically unprecedented large-scale afforestation. In this study, we selected the most severely eroded Loess Plateau as a case, to assess the effectiveness of soil and water conservation (SWC) efforts based on the Revised Universal Soil Loss Equation. In addition, the underlying drivers for soil erosion changes and hydrological effects of SWC were investigated, and finally the potential policy implications of our findings were discussed. The soil erosion intensity from 2000 to 2015 was weakened largely due to favorable climate conditions and SWC efforts, which promoted vegetation restoration and enhanced soil retention. However, there was a significant trade-off between water provision and soil retention functions. The excessively artificial afforestation reduced sediment yield but depleted surface runoff. Furthermore, artificial afforestation and increasing irrigation water consumption overused groundwater resources and finally lowered groundwater table. The SWC efforts characterized by artificial afforestation induced soil moisture declining, particularly for the conversion type of farmland to forest/ shrub. Our results suggested that afforestation might be a poor choice in arid and semiarid regions, because it did not consider local precipitation conditions, and have exacerbated water shortages and offset SWC efforts. Therefore, the future ecological restoration efforts should be transformed from simple species-based measures to optimal plant species combinations to minimize the tradeoff between water yield and soil retention. The strategies for ecological restoration of drylands should also account for water balance to ensure effectiveness and sustainability.",,1
41,4/22/2020,FALSE,FALSE,R_1gqr2d1b2MW2dSp,NBD,Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Used pollinator visitation data and pollen deposition to create visitation networks (model),,1,NA,1,NA,NA,Terrestrial,No,No,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,"Interaction networks are widely used as tools to understand plant pollinator communities, and to examine potential threats to plant diversity and food security if the ecosystem service provided by pollinating animals declines. However, most networks to date are based on recording visits to flowers, rather than recording dearly defined effective pollination events. Here we provide the first networks that explicitly incorporate measures of pollinator effectiveness (PE) from pollen deposition on stigmas per visit, and pollinator importance (PI) as the product of PE and visit frequency. These more informative networks, here produced for a low diversity heathland habitat, reveal that plant pollinator interactions are more specialized than shown in most previous studies. At the studied site, the spedalization index H-2' was lower for the visitation network than the PE network, which was in turn lower than H-2' for the PI network Our study shows that collecting PE data is feasible for community-level studies in low diversity communities and that including information about PE can change the structure of interaction networks. This could have important consequences for our understanding of threats to pollination systems.",,NA
44,4/22/2020,FALSE,FALSE,R_3HnNbYsVkbdaoFU,GV,Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl,"Observed seagrass acreage coverage, used it to estimate N and C storage",,1,NA,1,NA,NA,Coastal,No,Yes,Reynolds,BASIC AND APPLIED ECOLOGY,2016,"Recent years have seen considerable advances in ecological understanding of the functional role(s) of biodiversity and the connections between biodiversity, ecosystem function and ecosystem service provision Functional approaches have become important tools for simplifying biodiversity-ecosystem function relationships, but they also have some obvious weaknesses, In particular, since analyses that use functional groups treat members of a group as ecologically interchangeable, functional groups must be defined at a level that simplifies ecological complexity yet retains key ecological distinctions between groups of species. We developed a data-driven approach to functional group definition and applied it to a case study of 16 species of seed -dispersing Afrotropical waterfowl for which we created seed dispersal functional groups using both a priori categories, as typically done in previous studies, and a hierarchical clustering approach. Relevant functional differences and similarities occur among the waterfowl, particularly in the types of plant family dispersed. We found evidence for at least five functional groups of seed disperser. The different groupings have important implications for both wetland and terrestrial plant dispersal. Our analysis suggests that even for a relatively data-scarce study system, using a data-driven approach to generate functional groups offers a feasible and ecologically rigorous approach and is a useful alternative to simple a priori classification schemes. Our approach is capable of capturing variation across several functional traits and suggests that existing datasets may be useful in exploring variation in biodiversity ecosystem function relationships. Since functional classification schemes may affect our conclusions about biodiversity, ecosystem function and ecosystem service provision, considerable care should be given to ensuring that functional groups are not defined in such a way as to mask important ecological differences among supposedly similar species.",,NA
50,4/22/2020,FALSE,FALSE,R_SBqMIEYkxG4gJ45,GV,Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia,Distribution of a sheep species (which is cultural services as tourist attraction).,,1,NA,1,NA,NA,Terrestrial,No,No,Murdoch,BIOLOGICAL CONSERVATION,2017,"Cultural ecosystem services, such as the enjoyment and satisfaction of viewing a species in the wild, are often underrepresented in conservation planning. Understanding the spatial distribution of wildlife-related services can inform management, which is especially important for declining species. We examined how natural and human features of a landscape influence the distribution of argali sheep in Itch Nart Nature Reserve, Mongolia, a popular destination for tourists seeking the opportunity to see and experience this declining species. We collected 1999 argali locations from 2009 to 2011 and developed an occupancy model for each season and across seasons. Occupancy probability equates to the chance of seeing the species, and provides a measure that not only describes the distribution of argali, but also the cultural service they provide. We developed a set of 67 candidate models and the top-ranking model each season and across seasons was the interaction of proximity to water and proportion of rocky outcrop at a site. Argali occupancy increased as distance to water decreased and amount of rocky outcrop increased. The simulated removal of water sources resulted in a 98% loss in landscape quality. Our results provide among the first occupancy models for argali, which can inform decision-making at multiple spatial scales. They also reveal the importance of water sources, which are intensively used by people and livestock, and indicate that careful management of these resources will be important to sustaining argali in the landscape. (C) 2017 Elsevier Ltd. All rights reserved.",,NA
51,4/22/2020,FALSE,FALSE,R_1nYKu5l6LVxgmgt,LD,"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications"," The three-rivers headwater region (TRHR) is a nature reserve located in the hinterland of the Qinghai–Tibet Plateau, an impor- tant source of fresh water resources in China and Asia",,NA,NA,1,NA,NA,"Terrestrial,Other",No,Yes,Jiang,ECOLOGICAL ENGINEERING,2016,"The Three-River Headwater Region (TRHR) is the source of the Yangtze River, Yellow River, and Lancang River, which is significant to fresh water resources in China and Asia. The ecosystem in the TRHR has undergone great changes in recent decades owing to dramatic climate change and tremendous human pressure. This study focused on assessing the ecosystem change in the TRHR from 2005 to 2012, which was indicated by ecosystem pattern, quality, and service. Based on the actual observation records and widely used biophysical models including Revised Universal Soil Loss Equation (RUSLE), Revised Wind Erosion Equation (RWSQ), and Carnegie-Ames-Stanford Approach (CASA) models, this study assessed the ecosystem services including soil conservation, water conservation, carbon sequestration, and species conservation. The climate variability and ecological rehabilitation promoted ecological restoration, which was indicated by vegetation cover, productivity (carbon sequestration), streamflow, and habitat area increase. However, the increasing precipitation intensified water erosion by enhancing rainfall erosivity, and increasing temperature induced glacier melting and permafrost degradation, which posed a threat to the sustainable development of regional environment. The ecosystem change is the combined result of ecological rehabilitation and climate variability, the effectiveness of ecological conservation efforts is uneven, indicated by coexistence of restoration and degradation, and is likely a temporary improvement rather than fundamental change. The experience of ecological rehabilitation and ecosystem change in the TRHR exemplified the ecological conservation should take climate variability into account, and facilitate synergies on multiple ecosystem services in order to maximize human well-being and preserve its natural ecosystems. (C) 2016 Elsevier B.V. All rights reserved.",,1
52,4/22/2020,TRUE,FALSE,R_RlCDrcf5G0L2329,AIS,Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,,,1,NA,1,NA,NA,"Terrestrial,Urban,Agricultural/Rural,Coastal",Yes,No,Baro,ECOSYSTEM SERVICES,2017,"A key challenge of landscape planning and management is coping with multiple ecosystem service (ES) potentials and needs in complex social-ecological systems such as urban regions. However, few studies have analyzed both the supply and demand sides of ES bundles, i.e., sets of associated ES that repeatedly appear together across time or space. This paper advances a framework to identify, map and assess ES bundles from a supply-demand approach to informlandscape planning and management. The framework is applied to the Barcelona metropolitan region, Spain, covering five ES and using eleven spatial indicators. Each indicator was quantified and mapped at the municipal level (n = 164) combining different proxy-and process-based models. Our results show significant associations among ES, both at the supply and demand sides. Further, we identified five distinct ES supply-demand bundle types and characterized them based on their specific ES relationships and their main underlying social-ecological conditions. From our findings, we contend that land sharing strategies should be prioritized in urban and agricultural areas to increase landscape multifunctionality while assuring the conservation of large periurban forest areas that are critical for delivering a wide range of local ES highly demanded by the urban population. (C) 2017 Elsevier B.V. All rights reserved.",,NA
54,4/22/2020,TRUE,FALSE,R_OvCFrp97r8Hposx,TK,Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,,,1,NA,1,NA,NA,Agricultural/Rural,No,No,Redhead,ECOLOGICAL APPLICATIONS,2016,"Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km(2) agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services.",,NA
57,4/22/2020,FALSE,FALSE,R_RP0TqDs7gK75AMV,CW,Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Uses LiDAR data to model carbon sequestration in invaded areas. Carbon stored is allometrically determined.,,NA,NA,1,NA,NA,Terrestrial,No,No,Asner,BIOLOGICAL INVASIONS,2010,"The negative effects of biological invasion are often the focus of ecological studies, but few have considered potential positive impacts, such as increased carbon storage, resulting from invasion. We combined airborne imaging spectrometer and LiDAR (light detection and ranging) observations with field measurements to assess if the highly invasive nitrogen-fixing tree Morella faya alters canopy 3-D structure and aboveground biomass (AGB) along a 1,500 mm precipitation gradient in Hawaii. Airborne analysis of canopy water content, leaf nitrogen concentration, fractional canopy cover, and vegetation height facilitated mapping of native- and Morella-dominated canopies in rainforest, woodland-savanna and shrubland ecosystems, with Morella detection errors ranging from 0 to 13.4%. Allometric equations were developed to relate the combined LiDAR and spectral data to field-based AGB estimates (r (2) = 0.97, P < 0.01), and to produce a map of biomass stocks throughout native and invaded ecosystems. The structure of the invasive Morella canopies varied by ecosystem type, and the invader shaded out native understory plants in rainforest zones. Despite a 350% increase in AGB going from shrubland to rainforest, Morella did not increase average AGB in any ecosystem it invaded. Furthermore, spatial distributions of biomass indicated that Morella decreased maximum AGB in the woodland-savanna ecosystems. We conclude that Morella tree invasion does not enhance aboveground carbon stocks in any ecosystem it invades in Hawaii, thereby minimizing its contribution to this potentially important ecosystem service. We also found that the fusion of spectral and LiDAR remote sensing provided canopy chemical and structural data facilitating a landscape assessment of how biological invasion alters on carbon stocks and other ecosystem properties.",,1
58,4/22/2020,FALSE,FALSE,R_2pMM6OVFDfUEU5m,SDJ,Emergy-based evaluation of pen-urban ecosystem services,"a systems approach to evaluating 9 different ESs in Tawain's urbanizing ecosystems (forest, riparian wetlands, paddy rice fields, crop land, orchards, range farm, fallow, aquaculture, upstream and downstream). They used Emergy",,NA,NA,1,NA,NA,"Terrestrial,Agricultural/Rural,Freshwater",No,Yes,Huang,ECOLOGICAL COMPLEXITY,2011,"Pen-urban areas are often characterized by valuable natural environments that provide essential life-support functions and ecosystem services for urban residents. Global environmental change has raised concerns over how urbanization and land use and land cover change affect ecosystem services. This study applied systems ecology theory and ecological energetic analysis to value the worth of natural environment and ecosystem services to a socioeconomic system. We begin with a general discussion of pen-urban areas and their ecosystem services. An emergy approach is applied to establish a framework for evaluating the ecosystem services by identifying systemic roles of each system components. The two-part framework includes: (1) an emergy evaluation of energetic flows of ecosystem services; and (2) an impact matrix to analyze systemic roles of services in the analyzed system. On the basis of the proposed valuation framework and land cover types in the greater Taipei area, this study analyzed ten ecosystems to determine how they interact, via energy flows, to contribute services to human society. By converting all stocks and flows into common emergy units, an impact matrix is constructed to analyze the systemic role of ecosystem components by classifying their status of being active, reactive, critical or indifferent. The analytical results indicate that the soil component of forest ecosystems, upstream rivers and agricultural productivity play critical role of ecosystem services in the study region. The effect of land cover change during 1971-2006 in the study region on ecosystem services is also analyzed. Finally, the implications of biophysical valuation of ecosystem service for spatial planning as related to adapting to global environmental change are discussed. (C) 2010 Elsevier B.V. All rights reserved.",,1
61,4/22/2020,FALSE,FALSE,R_3ENlsKCYcpReEQq,CW,"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","Used LandCarb model (Harmon 2012 [Harmon is one of the co-authors in current paper) to simulate forest vegetation and growth, timber harvest, and carbon dynamic and stores from different mgmt scenarios; use habitat capability index (HCI) models for each focal bird species (and use empirical from 2 published studies to parameterize HCI models); validate models with empirical (published) data",,NA,NA,1,NA,NA,Terrestrial,No,Yes,Kline,ECOLOGICAL APPLICATIONS,2016,"Forest policymakers and managers have long sought ways to evaluate the capability of forest landscapes to jointly produce timber, habitat, and other ecosystem services in response to forest management. Currently, carbon is of particular interest as policies for increasing carbon storage on federal lands are being proposed. However, a challenge in joint production analysis of forest management is adequately representing ecological conditions and processes that influence joint production relationships. We used simulation models of vegetation structure, forest sector carbon, and potential wildlife habitat to characterize landscape-level joint production possibilities for carbon storage, timber harvest, and habitat for seven wildlife species across a range of forest management regimes. We sought to (1) characterize the general relationships of production possibilities for combinations of carbon storage, timber, and habitat, and (2) identify management variables that most influence joint production relationships. Our 160 000-ha study landscape featured environmental conditions typical of forests in the Western Cascade Mountains of Oregon (USA). Our results indicate that managing forests for carbon storage involves trade-offs among timber harvest and habitat for focal wildlife species, depending on the disturbance interval and utilization intensity followed. Joint production possibilities for wildlife species varied in shape, ranging from competitive to complementary to compound, reflecting niche breadth and habitat component needs of species examined. Managing Pacific Northwest forests to store forest sector carbon can be roughly complementary with habitat for Northern Spotted Owl, Olive-sided Flycatcher, and red tree vole. However, managing forests to increase carbon storage potentially can be competitive with timber production and habitat for Pacific marten, Pileated Woodpecker, and Western Bluebird, depending on the disturbance interval and harvest intensity chosen. Our analysis suggests that joint production possibilities under forest management regimes currently typical on industrial forest lands (e.g., 40- to 80-yr rotations with some tree retention for wildlife) represent but a small fraction of joint production outcomes possible in the region. Although the theoretical boundaries of the production possibilities sets we developed are probably unachievable in the current management environment, they arguably define the long-term potential of managing forests to produce multiple ecosystem services within and across multiple forest ownerships.",,1
67,4/22/2020,TRUE,TRUE,R_bjE8odaSunaTtip,JL,Fishing impacts on the marine inorganic carbon cycle,,,NA,NA,1,NA,NA,Marine/Off-shore,No,Yes,Jennings,JOURNAL OF APPLIED ECOLOGY,2009,"1. Teleost fish excrete precipitated carbonate and make significant contributions to the marine inorganic carbon cycle at regional and global scales. As total carbonate production is linked to fish size and abundance, fishing is predicted to affect carbonate production by modifying fish abundance and size-structure. 2. We draw on concepts from physiology, metabolic ecology, life history theory, population dynamics and community ecology to develop, validate and apply analytical tools to assess fishing impacts on carbonate production. Outputs suggest that population and community carbonate production fall rapidly at lower rates of fishing than those used as management targets for sustainable yield. 3. Theoretical predictions are corroborated by estimated trends in carbonate production by a herring population and a coral reef fish community subject to fishing. Our analytical results build on widely applicable relationships between life history parameters and metabolic rates, and can be generalized to most fished ecosystems. 4. Synthesis and applications. If the maintenance of chemical processes as well as biological process were adopted as a management objective for fisheries then the methods we have developed can be applied to assess the effects of fishing on carbonate production and to advise on acceptable rates of fishing. Maintenance of this ecosystem service would require lower rates of fishing mortality than those recommended to achieve sustainable yield.",,1
70,4/22/2020,FALSE,FALSE,R_1FDlUAnxhnlvK0S,TK,Flattening of Caribbean coral reefs: region-wide declines in architectural complexity,"Kind of a meta-analysis, but does some modeling on top of that",,NA,NA,1,NA,NA,Marine/Off-shore,No,Yes,Alvarez-Filip,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2009,"Coral reefs are rich in biodiversity, in large part because their highly complex architecture provides shelter and resources for a wide range of organisms. Recent rapid declines in hard coral cover have occurred across the Caribbean region, but the concomitant consequences for reef architecture have not been quantified on a large scale to date. We provide, to our knowledge, the first region-wide analysis of changes in reef architectural complexity, using nearly 500 surveys across 200 reefs, between 1969 and 2008. The architectural complexity of Caribbean reefs has declined nonlinearly with the near disappearance of the most complex reefs over the last 40 years. The flattening of Caribbean reefs was apparent by the early 1980s, followed by a period of stasis between 1985 and 1998 and then a resumption of the decline in complexity to the present. Rates of loss are similar on shallow (<6 m), mid-water (6-20 m) and deep (>20 m) reefs and are consistent across all five subregions. The temporal pattern of declining architecture coincides with key events in recent Caribbean ecological history: the loss of structurally complex Acropora corals, the mass mortality of the grazing urchin Diadema antillarum and the 1998 El Nino Southern Oscillation-induced worldwide coral bleaching event. The consistently low estimates of current architectural complexity suggest regional-scale degradation and homogenization of reef structure. The widespread loss of architectural complexity is likely to have serious consequences for reef biodiversity, ecosystem functioning and associated environmental services.",,1
73,4/22/2020,TRUE,FALSE,R_3hxA8So00kGLUsN,AIS,From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,,,1,NA,1,NA,NA,Terrestrial,Yes,Yes,Shive,ECOLOGICAL APPLICATIONS,2018,"Shifting disturbance regimes can have cascading effects on many ecosystems processes. This is particularly true when the scale of the disturbance no longer matches the regeneration strategy of the dominant vegetation. In the yellow pine and mixed conifer forests of California, over a century of fire exclusion and the warming climate are increasing the incidence and extent of stand-replacing wildfire; such changes in severity patterns are altering regeneration dynamics by dramatically increasing the distance from live tree seed sources. This has raised concerns about limitations to natural reforestation and the potential for conversion to non-forested vegetation types, which in turn has implications for shifts in many ecological processes and ecosystem services. We used a California region-wide data set with 1,848 plots across 24 wildfires in yellow pine and mixed conifer forests to build a spatially explicit habitat suitability model for forecasting postfire forest regeneration. To model the effect of seed availability, the critical initial biological filter for regeneration, we used a novel approach to predicting spatial patterns of seed availability by estimating annual seed production from existing basal area and burn severity maps. The probability of observing any conifer seedling in a 60-m(2) area (the field plot scale) was highly dependent on 30-yr average annual precipitation, burn severity, and seed availability. We then used this model to predict regeneration probabilities across the entire extent of a new fire (the 2014 King Fire), which highlights the spatial variability inherent in postfire regeneration patterns. Such forecasts of postfire regeneration patterns are of importance to land managers and conservationists interested in maintaining forest cover on the landscape. Our tool can also help anticipate shifts in ecosystem properties, supporting researchers interested in investigating questions surrounding alternative stable states, and the interaction of altered disturbance regimes and the changing climate.",,NA
76,4/22/2020,FALSE,TRUE,R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Not sure if I should have checked the model box.,,NA,NA,1,NA,NA,Freshwater,No,Yes,Brooks,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016,"AimAn often-invoked benefit of high biodiversity is the provision of ecosystem services. However, evidence for this is largely based on data from small-scale experimental studies of relationships between biodiversity and ecosystem function that may have little relevance to real-world systems. Here, large-scale biodiversity datasets are used to test the relationship between the yield of inland capture fisheries and species richness from 100 countries. LocationInland waters of Africa, Europe and parts of Asia. MethodsA multimodel inference approach was used to assess inland fishery yields at the country level against species richness, waterside human population, area, elevation and various climatic variables, to determine the relative importance of species richness to fisheries yields compared with other major large-scale drivers. Secondly, the mean decadal variation in fishery yields at the country level for 1981-2010 was regressed against species richness to assess if greater diversity reduces the variability in yields over time. ResultsDespite a widespread reliance on targeting just a few species of fish, freshwater fish species richness is highly correlated with yield (R-2=0.55) and remains an important and statistically significant predictor of yield once other macroecological drivers are controlled for. Freshwater richness also has a significant negative relationship with variability of yield over time in Africa (R-2=0.16) but no effect in Europe. Main conclusionsThe management of inland waters should incorporate the protection of freshwater biodiversity, particularly in countries with the highest-yielding inland fisheries as these also tend to have high freshwater biodiversity. As these results suggest a link between biodiversity and stable, high-yielding fisheries, an important win-win outcome may be possible for food security and conservation of freshwater ecosystems. However, findings also highlight the urgent need for more data to fully understand and monitor the contribution of biodiversity to inland fisheries globally.",,1
