EBIOReviewer,Number,AuthorsFull,Title,SourcePublication,Abstract,PublicationDate,PublicationYear,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
Claire,11,"Li, Han; Parker, Kevin A., Jr.; Kalcounis-Rueppell, Matina C.",The luxury effect beyond cities: bats respond to socioeconomic variation across landscapes,BMC ECOLOGY,"Background The luxury effect describes the positive relationship between affluence and organism diversity or activity in urban ecosystems. Driven by human activities, the luxury effect can potentially be found at a broader scale across different landscapes. Previously, the luxury effect relationship has been established within a city for two bat species, the red bat (Lasiurus borealis) and the evening bat (Nycticeius humeralis). We examined landscape-scale patterns of bat activity distribution-using empirical data for seven bat species for the luxury effect. We also identified bat-land cover associations for each species. Across North Carolina, USA, we used the mobile transect survey protocol of the North American Monitoring Program to record bat activity at 43 sites from 2015 to 2018. We collected land cover and income data at our transect locations to construct generalized linear mixed models to identify bat-land cover and bat-income relationships. Results We found that across landscapes, activity of the red bat and the evening bat was positively correlated to income independent of land cover, consistent with previous single-city results. We found a negative relationship between hoary bat (Lasiurus cinereus) activity and income. All seven species had specific land cover associations. Additionally, we found a positive interaction term between income and evergreen forest for the red bat and a positive interaction term between income and woody wetland for hoary bat. Conclusions Our results demonstrated that the luxury effect is an ecological pattern that can be found at a broad spatial scale across different landscapes. We highlight the need for multi-scale ecology studies to identify the mechanism(s) underlying the luxury effect and that the luxury effect could cause inequity in how people receive the ecosystem services provided by bats.",1-nov,2019,19,1,,,,,,,46,10.1186/s12898-019-0262-8,,,,,,,WOS:000494427400002,31676008,,,,
Claire,12,"Huang, Li; Qian, Shenhua; Li, Ting; Jim, C. Y.; Jin, Cheng; Zhao, Liang; Lin, Dunmei; Shang, Kankan; Yang, Yongchuan","Masonry walls as sieve of urban plant assemblages and refugia of native species in Chongqing, China",LANDSCAPE AND URBAN PLANNING,"Urbanization imposes notable threats to global biodiversity. Masonry retaining and city walls offer unusual ruderal habitats for spontaneous establishment of unique plant communities which may flourish despite urban disturbance and intensification. We comprehensively surveyed the wall-plant communities in Chongqing in southwest China to investigate their special urban ecology and their role in sustaining urban biodiversity. From 289 masonry walls, we recorded 205 plant species under 164 genera and 78 families. Perennial and annual herbs were the most common growth forms by species number. Despite accommodating 27 tree species and 6538 tree individuals, three dominant ones, respectively two Moraceae members Ficus virens which is a strangler fig and Broussonetia papyrifera, and Robinia pseudoacacia (Leguminosae), constituted 94% of the wall-tree stock. Detailed analysis of tree height distribution shed light on species recruitment dynamics. The dispersal agents differentiated sharply by growth form, with 73% herbaceous species wind-dispersed in comparison with 70.2% woody species bird-dispersed. The endemism and floristic characteristics of wall-plant communities were influenced by the regional urban flora, particularly for dominant wall trees; similar traits were found in the wall flora of Nanjing and Hong Kong. The low similarity in species composition between walls and nearby ground plant communities suggested the critical role played by walls in protecting the disturbance-intolerant native plants, including many Pteridophytes. The conservation values and biodiversity contributions of masonry walls in Chongqing are worthy of special attention. The findings could provide the basis to maintain urban ecosystem services and for nature-based ecological urban designs.",NOV,2019,191,,,,,,,,UNSP 103620,10.1016/j.landurbplan.2019.103620,,,,,,,WOS:000491614300012,,,,,
Claire,13,"Soga, Masashi; Akasaka, Munemitsu",Multiple landscape-management and social-policy approaches are essential to mitigate the extinction of experience,LANDSCAPE AND URBAN PLANNING,"As the world becomes more urbanised, people are becoming progressively disconnected from nature. This large-scale disengagement of humans from nature, or ""extinction of experience,"" is viewed both as a major public health issue and as a fundamental obstacle to halting the global biodiversity crisis. For most of humanity, urban greenspace is the primary means by which someone can directly interact with nature in their daily lives. A key challenge is how to facilitate the active engagement of urban residents with that environment. Here, we examined the drivers of people's use of urban greenspaces in Tokyo, Japan. In an online questionnaire, participants (n = 1048) provided information on socio-demographics, frequency and duration of greenspace use in the prior 2 weeks, and the extent of their positive attitudes towards nature (nature orientation). We also measured the structure of the neighbourhood landscape surrounding each participant's home. The probability of greenspace use (i.e., whether an individual used it) was determined mainly by nature orientation, but also by the number of greenspaces around the home. Frequency and duration of greenspace use were positively associated with the number of vegetation types near the home and with individuals' nature orientation. Overall, our results showed that urban residents' use of neighbourhood greenspaces is driven by multiple landscape- and orientation-related factors. Thus, to reduce the extinction of experience, policy makers should not rely on a single management or policy approach but should combine various approaches in ways that will effectively promote people's direct nature experiences.",NOV,2019,191,,,,,,,,UNSP 103634,10.1016/j.landurbplan.2019.103634,,,,,,,WOS:000491614300015,,,,,
Claire,14,"Japelj, Anze; Veenvliet, Jana Kus; Malovrh, Judita; Verlic, Andrej; de Groot, Maarten",Public preferences for the management of different invasive alien forest taxa,BIOLOGICAL INVASIONS,"Invasive alien species (IAS) require management to mitigate their impact on ecosystems. The success of management decisions often depends on whether they are socially acceptable and to what extent people are willing to be actively involved in an early warning and rapid response system (EWRR). We administered a nation-wide public poll to assess people's knowledge on plant, insect and fungal IAS; their perception of IAS as an environmental problem; and their support for different IAS management measures. Most respondents (76%) knew the term IAS, and more than half (62%) provided a correct definition. Species with more media attention and those that are easily visible are more frequently identified correctly. Almost all respondents (97%) support an EWRR system; however, there is heterogeneity in terms of the types of actions people approve of. Non-lethal measures garner more support than lethal ones. Gender and previous knowledge also affect the level of agreement. The willingness-to-pay question largely confirmed this, as people were divided into four classes according to their preferences for either biological, mechanical or chemical measures to control IAS; completeness and location of removal; and having an EWRR established. Mechanical removal is the most preferred treatment in two of the four classes, and complete removal is preferred over partial removal in one of the four classes. Having an EWRR is consistently supported in all classes, and removal in urban areas is preferred over removal in forestland in only one class.",NOV,2019,21,11,,,,,3349,3382,,10.1007/s10530-019-02052-3,,,,,,,WOS:000487812700009,,,,,
Claire,15,"Yang, Hualei; Chen, Xuechu; Tang, Jianwu; Zhang, Lu; Zhang, Chunsong; Perry, Danielle C.; You, Wenhui",External carbon addition increases nitrate removal and decreases nitrous oxide emission in a restored wetland,ECOLOGICAL ENGINEERING,"To improve the ecosystem services of wetlands in response to global climate change, wetland restoration projects have become prevalent worldwide. Restored wetlands have the potential to remove external nitrogen through denitrification, but incomplete denitrification may increase nitrous oxide (N2O) release. In order to comprehensively understand nitrogen removal and N2O emission processes in restored wetlands, we conducted carbon (anhydrous sodium acetate) and nitrogen (sodium nitrate) addition experiments in the Fengxian coastal wetland site. These experiments explored the roles of external nitrogen, carbon sources, and wetland plants in nitrogen removal and N2O emission. With the addition of nitrogen, the removal of external nitrogen was significant at the restored wetland site, but led to increasing N2O release. However, by adding carbon sources, the restored wetland could not only enhance nitrogen removal efficiency through denitrification, but also significantly reduce N2O emission. Our results demonstrate that carbon availability could improve the ecological functions of coastal restored wetlands by improving water quality and mitigating greenhouse gas emissions.",NOV,2019,138,,,,,,200,208,,10.1016/j.ecoleng.2019.07.021,,,,,,,WOS:000485660800025,,,,,
Claire,16,"Nooten, Sabine S.; Rehan, Sandra M.",Historical changes in bumble bee body size and range shift of declining species,BIODIVERSITY AND CONSERVATION,"Bumble bees are declining worldwide, their vital ecosystem services are diminishing and underlying mechanisms are species specific and multifaceted. This has sparked an increase in long-term assessments of historical collections that provide valuable information about population trends and shifts in distributions. However, museums specimens also contain important ecological information, including rarely measured morphological traits. Trait-based assessments of museums specimens provide additional information on underlying mechanisms of population trends, by tracking changes over time. Here, we used museum specimens of four Bombus species, spanning a timeframe of 125 years to: (i) compare body size of declining and increasing species, (ii) assess intra-specific trends over the last century, and (iii) investigate shifts in geographical distribution over time. We found that declining Bombus species were larger than increasing ones. All four species were smaller in current time than a century ago. Intra-specific size declines were more pronounced for larger-bodied species. With our sampling, declining and increasing species showed an upward shift in elevation, and declining species showed an additional geographic shift in recent times as compared to historic records. Intra-specific body size declines may represent species adaptation to unfavorable environmental conditions, and may be a useful metric to complement traditional species vulnerability assessments. We highlight the utility of incorporating trait-based assessments into future studies investigating species declines.",,,,,,,,,,,,10.1007/s10531-019-01893-7,,oct-19,,,,,WOS:000493497000002,,,,,
Claire,17,"Siwicka, Ewa; Thrush, Simon F.; Hewitt, Judi E.",Linking changes in species-trait relationships and ecosystem function using a network analysis of traits,ECOLOGICAL APPLICATIONS,"A major challenge in ecology and environmental management is linking changes in community composition to ecosystem functions. We developed the network analysis of traits (NAT) to show changes in community network structure based on the changes in the composition and connectivity between clusters of species that share traits that imply shifts in functional diversity. We tested the application of NAT on a 113 species found on an intertidal sandflat that was subject to experimental nitrogen addition (control [0 g N/m(2)], medium [150 g N/m(2)], and high [600 g N/m(2)]). This allowed us to directly link mechanistic changes in community composition and function with the trait-space network patterns revealed by NAT. We demonstrate that under medium (150 g N/m(2)) N treatment, functional diversity remained consistent, whereas increasing disturbance to high (600 g N/m(2)) N treatment affected the species-trait network structure and caused merging of functional clusters implying a loss of functional trait diversity.",,,,,,,,,,,,10.1002/eap.2010,,oct-19,,,,,WOS:000493206900001,31556174,,,,
Claire,18,"Choo, Juanita; Gill, Bruce D.; Zuur, Alain F.; Zent, Eglee; Economo, Evan P.",Impacts of an indigenous settlement on the taxonomic and functional structure of dung beetle communities in the Venezuelan Amazon,BIODIVERSITY AND CONSERVATION,"In the last 50 years, traditionally nomadic indigenous communities in Amazonia have increasingly adopted more sedentary lifestyles as a result of external influences. Permanent settlements lead to the concentration of disturbances (e.g., forest extraction and hunting) and threaten vulnerable species as well as those that provide important ecosystem services such as dung beetles. Here we evaluated the abundance, taxonomic, and functional structure (composition and diversity) of an ecological indicator group-dung beetles-along a disturbance gradient associated with a permanent settlement of the Joti people in the Amazonian region of Venezuela. We applied generalized linear model to assess the response of dung beetle abundance to settlement distance and latent variable model to assess the influence of settlement distance on taxonomic diversity and functional structure. We found the abundance of roller-species increased but small-bodied beetles decreased away from the settlement. We found that proximity to the Joti settlement did not affect metrics of taxonomic and functional diversity of the dung beetle assemblages in general, although functional evenness was lower away from the settlement. In contrast, we found impacts on the functional composition of dung beetles, with significant increase in the community-weighted means for roller species and large-bodied dung beetles away from Joti settlement. Our findings suggest that the transition from nomadism to a more sedentary lifestyle has not caused widespread collapse in the diversity of dung beetle assemblages surrounding the settlement, however significant trends were observed in species-specific responses to human impact, and these responses were mediated by functional traits.",,,,,,,,,,,,10.1007/s10531-019-01879-5,,oct-19,,,,,WOS:000493325600001,,,,,
Claire,19,"Murry, Brent A.",Wetland Conservation Requires Transition toward Landscape-Scale Interdisciplinary Approaches,WETLANDS,"Large-landscape conservation is an emerging paradigm responding to the growing effects of landscape-scale stressors on the environment with the goal to balance multiple socio-ecological objectives. Wetlands provide a disproportionate wealth of ecosystem services given their generally diminutive composition across the landscape. A challenge for wetland scientists is to develop science to support this evolving landscape conservation approach and to integrate wetland services and benefits explicitly into regional conservation and adaptation planning. This special feature arose from a symposium held at the 2017 Society of Wetland Scientists meeting in San Juan, Puerto Rico, USA entitled, ""Wetland Conservation in the 21(st) Century: Landscape Scale Interdisciplinary Approaches Addressing Multiple Objectives."" The nine papers that follow stem from that symposium and collectively provide examples of wetland science that address human well-being, ecological functioning, and future forecasting to support long-term landscape conservation planning. This special feature celebrates the critical role wetlands play in maintaining biodiversity and human well-being as well as the valuable role wetland scientists play informing landscape conservation decisions.",,,,,,,,,,,,10.1007/s13157-019-01237-9,,oct-19,,,,,WOS:000492938100001,,,,,
Claire,20,"Martinez-Nunez, Carlos; Manzaneda, Antonio J.; Lendinez, Sandra; Perez, Antonio J.; Ruiz-Valenzuela, Luis; Rey, Pedro J.",Interacting effects of landscape and management on plant-solitary bee networks in olive orchards,FUNCTIONAL ECOLOGY,"Understanding how multi-scale environmental heterogeneity shapes the structure and functions of animal and plant communities is pivotal in agroecology. Our capacity to ensure the provision of ecosystem services (ES), the sustainability of agroecosystems and the efficiency of agri-environmental schemes (AES) relies on this knowledge. There is growing interest in how biodiversity and ES are affected by the interplay between landscape characteristics and agricultural management (e.g., intermediate landscape complexity hypothesis; ILCH). However, studies have typically focused on classical measures of community structure (e.g., species abundance, richness and biodiversity), tending to neglect the effects on the structure and stability of ecological networks and the increased risk of biotic homogenization (i.e., loss of beta-diversity). In this work, we use bee trap nests to sample pollen-solitary bee mutualistic networks in 9 pairs of olive groves under different management regimes (conventional vs. organic) in a landscape complexity gradient in southern Spain. We analyse the mutualistic networks at farm level to test the ILCH and study how agricultural practices and landscape complexity interact to affect the properties of these networks. We also explore the effects on spatial biotic homogenization by performing multivariate analyses of the composition and abundance of bee-plant communities and their pairwise interactions. The results show that solitary bee-plant networks have greater complexity and stability on organic olive farms embedded in relatively heterogeneous landscapes. Differences from conventional management were higher in landscapes of intermediate complexity but were non-significant on olive farms located in simpler landscapes. beta-diversity of bees, plants and their pairwise interactions was also greater on organic olive farms. In conclusion, human-induced environmental heterogeneity interacts at different scales to shape plant-solitary bee networks in olive groves, which may have important implications for ES provision and the effectiveness of agri-environmental measures. A free Plain Language Summary can be found within the Supporting Information of this article.",,,,,,,,,,,,10.1111/1365-2435.13465,,oct-19,,,,,WOS:000492529000001,,,,,
Claire,21,"Dale, Adam G.; Perry, Rebecca L.; Cope, Grace C.; Benda, Nicole",Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,URBAN ECOSYSTEMS,"Golf courses are among the largest, most ubiquitous highly maintained urban green spaces in the U.S. Although their primary function is recreation, a large portion of golf course land is not actively in use, which presents opportunities to create more ecologically functional areas. Golf courses around the world are converting these out-of-play areas to alternative habitats, but few do so using evidence that maximizes their benefit. Previous studies have investigated effects of conservation plantings on golf courses, but none have isolated the biological control services of flying natural enemies and few investigated effects on native bees. In this study, we ask if converting out-of-play maintained turfgrass areas into wildflower habitats increases bee and insect natural enemy abundance and diversity and their associated ecosystem services. We created wildflower habitats at two levels of species richness and compared their effects on insects within and around them to turfgrass plots. To quantify effects on biological control, we deployed sentinel prey Spodoptera frugiperda larvae, excluding ground-dwelling predators. As predicted, we found that converting turfgrasses to flowering habitats increased bees and natural enemies on golf courses. However, high wildflower species richness was an important factor in promoting native bees and natural enemies. We found that wildflower habitats, particularly those with highest floral richness, increased biological control rates in adjacent turfgrass areas by up to 50% compared to turfgrass controls. Our results indicate that purposefully designed conservation plantings on golf courses can help support insect pollinators while also augmenting biological control of turfgrass pests.",,,,,,,,,,,,10.1007/s11252-019-00907-0,,oct-19,,,,,WOS:000491670200001,,,,,
