assess_date,ResponseId,Init,Title,exclude,exclude_notes,flag_inconsistent,SurveyNotes
2020-04-15,R_2VPcco1o8T95nSu,AIS,"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing",Maybe,uncertainy in survey notes,FALSE,"main focus of paper is on demographic processes, so considered excluding at first"
2020-04-15,R_26hhXZOzq4brDdp,AK,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Maybe,uncertainy in survey notes,FALSE,"Didn't actually MEASURE services, but had expert panel weigh in on whether ES were improving or not based on land use change."
2020-04-15,R_31WydZ14DUuPl2O,AK,Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Maybe,uncertainy in survey notes,FALSE,This paper was confusing...The response variables I listed were also drivers of change in well-being
2020-04-15,R_AFgyKn3Ie5am7v3,AK,Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,Keep,NA,TRUE,NA
2020-04-15,R_3GqYGrqNpeFHjdK,GV,Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,Exclude,by Q3,TRUE,NA
2020-04-15,R_VKm39HpefI4YQNz,JL,How good are tropical forest patches for ecosystem services provisioning?,Exclude,by survey notes,FALSE,"The ES table is not filled out because the paper is only an ecosystem service valuation paper (no drivers). I believe that it thus would have been excluded in round 1, but there were no questions to explicitly exclude it in round 2, so I filled it out (plus it may address some interesting scale questions). Specifically, the paper maps 'forest ecosystem services' by using land cover data to estimate ES provision based on forest age, contiguity, and size, assuming that old, connected and larger forests provide more ES's. It measures no services directly, nor looks at any drivers that are not already implicit in their valuation approach."
2020-04-15,R_C4Fa36rH5EGVZZv,CW,"Modeling and predicting the growth of the mussel, Mytilus edulis: implications for planning of aquaculture and eutrophication mitigation",Maybe,uncertainy in survey notes,FALSE,"This paper was tricky to evaluate. Talks about ES's (nutrient assimilation, production yield for aquaculture) but doesn't quantify anything related to them. Simply states that mussel growth is an EF (reader is to accept that) and that relates to ES's. It also doesn't show how different predictive variables relate to mussel growth rate, figures show overall model performance and AIC values.. I think this paper is more about methods for modeling and how accurate models are than trying to quantify ES provisioning, although map in results does show how mussel relative growth classes are distributed across space."
2020-04-15,R_12FO5dczVAGa2t4,GV,Multifunctionality of floodplain landscapes: relating management options to ecosystem services,Maybe,uncertainy in survey notes,FALSE,"Had lots of variables, but only experts' assessment of the influence of the driver (intervention/management strategy) on the service. No direct measurement and largely abstract. Examined tradeoffs of different management strategies."
2020-04-15,R_2qrxD2YLG0as2i7,AK,Nitrogen-induced terrestrial eutrophication: cascading effects and impacts on ecosystem services,Exclude,by survey notes,FALSE,Consider excluding? I'm really not sure if this paper fits....I had a really hard time filling out this form since it was more of a synthesis. They also use/mention tons of indicators so I wasn't sure how to fill out the table in Q12
2020-04-15,R_2s4rK5FpVzBDFwp,JL,Recreational demand for clean water: evidence from geotagged photographs by visitors to lakes,Maybe,uncertainy in survey notes,FALSE,May want Laura to review if this actually includes enough ecology to retain (on the fence about whether it is only the social dimension)
2020-04-15,R_2ZOYONA2GeCUPmP,TK,Resilience and stability of a pelagic marine ecosystem,Maybe,uncertainy in survey notes,FALSE,This one was really tough. The main goal was determining the source of the resilience of the particular ecosystem.
2020-04-15,R_2Pb1FcynEGb21FH,CK,Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Exclude,by Q3,TRUE,NA
2020-04-15,R_3NWd3QmEMj1LFsb,JL,Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Keep,NA,TRUE,"There were positive effects of management (fenced vs non-fenced riparian zones, wide vs narrow buffer riparian zones) on butterfly and bee ESPs; this could not be captured in the ES table because the direction of effect (+ or -) is not clear with categorical explanatory variables."
2020-04-15,R_uybIHoZdPUK4Fbz,LD,"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Keep,NA,TRUE,NA
2020-04-15,R_QcfMjoX9Empe425,TK,"Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California",Exclude,by Q3,TRUE,NA
2020-04-15,R_2AScyHwfYiShxsW,LD,Traditional ecological knowledge and medicinal plant diversity in Ecuadorian Amazon home gardens,Keep,NA,TRUE,"The ""driver"" this study considers is human, but more about the characteristics of the individual people who garden and their knowledge levels of medicinal plants. The human drivers (extend of traditional knowledge)were focused on explaining the diversity of medicinal plants in gardens.  Striking finding: ""In Sangay, 91% of gardeners declare medicinal plants as their primary source of primary health care and their households have an average monthly income of 247 USD, an amount below the minimum wage in Ecuador (375 USD)."""
2020-04-15,R_2QlZpWXzUTC6H39,TK,Traditional ecological knowledge and medicinal plant diversity in Ecuadorian Amazon home gardens,Exclude,by Q3,TRUE,NA
2020-04-15,R_3kcvU4A1b2osmIz,NBD,Tree communities rapidly alter soil microbial resistance and resilience to drought,Maybe,uncertainy in survey notes,FALSE,This paper is terrible science
2020-04-15,R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Keep,NA,TRUE,"Some key things to pull out: Denitrification(graybars)andnitrousoxideemission(blackbars)in6streamsidelocationsintheupper,middleandlowerpartsofthecatchmentsstudied. Of the environmen- tal factors measured, pH is definitely the one which gives the best explanation of these differences (Fig. 2). At all sites where nitrous oxide emissions occurred, pH values were low, whereas emissions were negligible or even negative where pH was around 7."
2020-04-15,R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Maybe,uncertainy in survey notes,TRUE,"Barely a data paper but did include one really small study that has barely any connection to ES. Not sure it should have made it through, but it is tough. Weird paper."
