assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MethodsNotes,Observational,Experimental,Model_Data_Simulation,Social_survey_Interview,Other,Ecosystem,MultiScale,TimeTrends,FirstAuthor,SourcePublication,PublicationYear,Abstract
2020-04-29,FALSE,TRUE,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Australia. Terrestrial catchment land use and effect on Great Barrier Reef. Produced hypothetical land use scenarios and looked at outcomes/tradeoffs for services.,,1,,1,,,"Terrestrial,Coastal",No,No,Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
2020-04-29,TRUE,FALSE,R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,,,1,,1,,,Terrestrial,No,Yes,Tarszisz,CONSERVATION PHYSIOLOGY,2018,"Fauna-mediated ecosystem service provision (e.g. seed dispersal) can be difficult to quantify and predict because it is underpinned by the shifting niches of multiple interacting organisms. Such interactions are especially complex in tropical ecosystems, including endangered peat forests of Central Borneo, a biodiversity hot spot and home to the critically endangered orangutan (Pongo pygmaeus wurmbii). We combined studies of the digestive physiology of captive orangutans in Australia with detailed field studies of wild orangutans in the Natural Laboratory of Peat-Swamp Forest of Sabangau, Central Kalimantan, Indonesia. By measuring the gut transit time (TT) of indigestible seed mimics (beads) in captivity and applying this as a temporal constraint to movement data of wild orangutans, we developed a mechanistic, time-explicit spatial model to project the seed dispersal patterns by these large-bodied, arboreal frugivores. We followed seven orangutans and established home range kernels using Time Local Convex Hull (T-LoCoH) modelling. This allowed us to model individual orangutan movements and to adjust these models according to gut transit times to estimate seed dispersal kernels. Female movements were conservative (core ranges of 55 and 52 ha in the wet and dry seasons, respectively) and revisitation rates to the same location of n = 4 in each 24-h block. Male movements were more unpredictable, yielding fragmented core ranges and revisitation rates to the same location of only 1.2 times each 24 h; males also demonstrated large disjunctions where they moved rapidly over long distances and were frequently lost from view. Seed dispersal kernels were nested predictably within the core ranges of females, but not males. We used the T-LoCoH approach to analyse movement ecology, which offered a powerful tool to predict the primary deposition of seeds by orangutans, thereby providing a reliable method for making a priori predictions of seed dispersal dynamics by other frugivores in novel ecosystems."
2020-04-29,TRUE,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,,,,1,,,Freshwater,No,Yes,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-04-29,TRUE,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,,1,,1,,,Freshwater,No,Yes,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-04-29,TRUE,FALSE,R_20Mf8RGMTVC488G,LB,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,,,,,1,,,Terrestrial,Yes,Yes,Liang,JOURNAL OF LAND USE SCIENCE,2017,"Spatially explicit integrated assessment of ecosystem services is a new and important research field in landscape ecology. The objective of this paper was to develop an integrated process-based modeling method to simulate changes in multiple ecosystem services in 2000-2009 at pixel and regional scales in the Zhangye oasis of northwestern China. Six ecosystem service indicators were selected and quantified using process-based models, including net primary production (NPP), grain production, net oxygen production (NOP), carbon sequestration (CS), water conservation, and soil conservation. Analytical results were as follows: (1) At the oasis scale, NPP, NOP, CS, water conservation, and soil conservation decreased from 2000 to 2009, whereas grain production increased. (2) At the pixel scale, the spatial changes in NPP were similar to those in NOP and CS, but changes in grain production showed the opposite pattern. Water conservation and soil conservation showed somewhat unintuitive spatial patterns. (3) The impact of land-use forms on ecosystem services showed that grazing and township construction both had negative impacts on all services, but that nature conservation and wetland development had positive impacts on all services. This research showed that the integrated modeling can be proposed as an environmental decision-making tool in similar case studies."
2020-04-29,FALSE,FALSE,R_2f3NU41UYa1zNoB,JL,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City","As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale",,1,,,,,"Terrestrial,Urban",Yes,No,Calderon-Contreras,ECOSYSTEM SERVICES,2017,"Fostering urban resilience requires a social-ecological systems approach that considers the ecological and social feedbacks of cities. In this paper we argue that Urban Ecosystem Services (UES) could increase urban resilience; and that resilient UES depends directly on the quantity, quality and diversity of the green infrastructure that produces them. The case of the western boundaries of Mexico City is used to map and assess these issues. We classified the different settings of green infrastructure as Service Providing Units (SPUs) and identified their provision of UES through remote sensing techniques; the Normalized Difference Vegetation Index (NDVI) combined with fieldwork verification in two scales of analysis, the local and regional. The results reveal that the vast majority of green infrastructure has low quality, hindering the provision of the UES required for building Mexico City ' s resilience. At the regional scale, the growing pressures of urban development and the consequent reduction of SPUs threatens the delivery of provisioning ecosystem services while at the local scale, the low quality of SPUs threatens the provision of regulating ecosystem services. We argue that addressing these challenges could improve the design and implementation of environmental decision-making and urban policy towards more resilient urban social-ecological systems."
2020-04-29,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,"field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours",,1,,,,,"Agricultural/Rural,Other",No,No,Monagan,ECOLOGY AND EVOLUTION,2017,"Our knowledge of ecological interactions that bolster ecosystem function and productivity has broad applications to the management of agricultural systems. Studies suggest that the presence of generalist predators in agricultural landscapes leads to a decrease in the abundance of herbivorous pests, but our understanding of how these interactions vary across taxa and along gradients of management intensity and eco-geographic space remains incomplete. In this study, we assessed the functional response and biocontrol potential of a highly ubiquitous insectivore (lizards in the genus Anolis) on the world's most important coffee pest, the coffee berry borer (Hypothalemus hampei). We conducted field surveys and laboratory experiments to examine the impact of land-use intensification on species richness and abundance of anoles and the capacity of anoles to reduce berry borer infestations in mainland and island coffee systems. Our results show that anoles significantly reduce coffee infestation rates in laboratory settings (Mexico, p = .03, F = 5.13 df = 1, 35; Puerto Rico, p = .014, F = 8.82, df = 1, 10) and are capable of consuming coffee berry borers in high abundance. Additionally, diversified agroecosystems bolster anole abundance, while high-intensity practices, including the reduction of vegetation complexity and the application of agrochemicals were associated with reduced anole abundance. The results of this study provide supporting evidence of the positive impact of generalist predators on the control of crop pests in agricultural landscapes, and the role of diversified agroecosystems in sustaining both functionally diverse communities and crop production in tropical agroecosystems."
2020-04-29,TRUE,FALSE,R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,,,1,,1,,,Terrestrial,No,No,Hernandez,JOURNAL OF SOIL AND WATER CONSERVATION,2013,"Rangelands comprise a large portion of the western United States. They are important for providing ecosystem services such as sources of clean water and air, wildlife habitat, ecosystem biodiversity, recreation, and aesthetics. The National Resources Inventory (NRI) is a primary data source for ongoing assessment of nonfederal land in the United States, including rangelands, and the data collected during an NRI assessment is typical of rangeland monitoring conducted by managers. This study outlines a methodology for using that type of monitoring data to run a rangeland hydrology and erosion model in order to estimate the relative soil erosion rates across ecosystems located in the American Southwest. The model was run on 134 NRI rangeland field locations with data collected between 2003 and 2006 in Major Land Resource Area 41, the Southeastern Arizona Basin and Range, which is a diverse ecological area of 40,765 km(2) (15, 739 mi(2)) in the transition zone between the Sonoran and Chihuahuan deserts. Results of the study showed that the data collected was adequate to run the model and effectively assess the influence of foliar cover, ground cover, plant life forms, soils, and topography on current soil erosion rates. Results suggested that the model could be further improved with additional measured experimental data on infiltration, runoff, and soil erosion within key ecological sites in order to better quantify model parameters to reflect ecosystem changes and risk of crossing interdependent biotic and abiotic thresholds."
2020-04-29,FALSE,TRUE,R_vq14KzL4mX6kaml,AK,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"climate projections for 2025 and 2050. In the question about how many years of data they use, I'm referring to the data they used to calibrate their model.",,,,1,,,Terrestrial,No,Yes,Albert,CONSERVATION BIOLOGY,2017,"Designing connected landscapes is among the most widespread strategies for achieving biodiversity conservation targets. The challenge lies in simultaneously satisfying the connectivity needs of multiple species at multiple spatial scales under uncertain climate and land-use change. To evaluate the contribution of remnant habitat fragments to the connectivity of regional habitat networks, we developed a method to integrate uncertainty in climate and land-use change projections with the latest developments in network-connectivity research and spatial, multipurpose conservation prioritization. We used land-use change simulations to explore robustness of species' habitat networks to alternative development scenarios. We applied our method to 14 vertebrate focal species of periurban Montreal, Canada. Accounting for connectivity in spatial prioritization strongly modified conservation priorities and the modified priorities were robust to uncertain climate change. Setting conservation priorities based on habitat quality and connectivity maintained a large proportion of the region's connectivity, despite anticipated habitat loss due to climate and land-use change. The application of connectivity criteria alongside habitat-quality criteria for protected-area design was efficient with respect to the amount of area that needs protection and did not necessarily amplify trade-offs among conservation criteria. Our approach and results are being applied in and around Montreal and are well suited to the design of ecological networks and green infrastructure for the conservation of biodiversity and ecosystem services in other regions, in particular regions around large cities, where connectivity is critically low."
2020-04-29,FALSE,TRUE,R_24wVbQfeDnsEskw,GV,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Distribution data from 1971-2000, simulated projections to 2025 and 2050",,1,,1,,,"Terrestrial,Urban",No,Yes,Albert,CONSERVATION BIOLOGY,2017,"Designing connected landscapes is among the most widespread strategies for achieving biodiversity conservation targets. The challenge lies in simultaneously satisfying the connectivity needs of multiple species at multiple spatial scales under uncertain climate and land-use change. To evaluate the contribution of remnant habitat fragments to the connectivity of regional habitat networks, we developed a method to integrate uncertainty in climate and land-use change projections with the latest developments in network-connectivity research and spatial, multipurpose conservation prioritization. We used land-use change simulations to explore robustness of species' habitat networks to alternative development scenarios. We applied our method to 14 vertebrate focal species of periurban Montreal, Canada. Accounting for connectivity in spatial prioritization strongly modified conservation priorities and the modified priorities were robust to uncertain climate change. Setting conservation priorities based on habitat quality and connectivity maintained a large proportion of the region's connectivity, despite anticipated habitat loss due to climate and land-use change. The application of connectivity criteria alongside habitat-quality criteria for protected-area design was efficient with respect to the amount of area that needs protection and did not necessarily amplify trade-offs among conservation criteria. Our approach and results are being applied in and around Montreal and are well suited to the design of ecological networks and green infrastructure for the conservation of biodiversity and ecosystem services in other regions, in particular regions around large cities, where connectivity is critically low."
