assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MultiScale,ScaleNotes,group,group_levels,interval_abbr,interval,count,nothing_entered,Connect,ConnectDist,KT4_scale,TimeTrends
2020-04-22,FALSE,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,No,"stream segments are plots, watershed is site",Plots,1,unk,Unclear or not specified,.50+,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,No,"stream segments are plots, watershed is site",Sites,1,unk,Unclear or not specified,.1-10,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,No,They used a watershed with 97 stream segments,Plots,1,100Mgm,"1,001-100,000 km²",.50+,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,No,They used a watershed with 97 stream segments,Sites,1,100Mgm,"1,001-100,000 km²",.26+,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,,No,3 transects (plots) per site - 12 sites,Plots,1,25m,1m² - 25m²,.11-50,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_Uszlh1FFsBKprBn,AIS,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,,No,3 transects (plots) per site - 12 sites,Sites,1,100m,51m² - 100m²,.11-25,,No,,0,Yes
2020-04-22,FALSE,TRUE,R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,,No,12 transects at 6 sites,Plots,1,25m,1m² - 25m²,.11-50,,Yes,101m² - 500m²,0,No
2020-04-22,FALSE,TRUE,R_1jIdgURwZ6A6iOu,AK,An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,,No,12 transects at 6 sites,Sites,1,25m,1m² - 25m²,.1-10,,Yes,101m² - 500m²,0,No
2020-04-22,FALSE,FALSE,R_2f3NU41UYa1zNoB,JL,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City","As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale",Yes,"They consider how ES quantity and quality changes when you look at just local scales vs including regional scales; Data are remotely sensed, continuously over the landscape (meaning no 'sites' or 'plots'), but the size of the land areas included in the two scales is also unclear",Plots,1,unk,Unclear or not specified,.1-10,,No,,1,No
2020-04-22,FALSE,FALSE,R_2f3NU41UYa1zNoB,JL,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City","As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale",Yes,"They consider how ES quantity and quality changes when you look at just local scales vs including regional scales; Data are remotely sensed, continuously over the landscape (meaning no 'sites' or 'plots'), but the size of the land areas included in the two scales is also unclear",Sites,1,unk,Unclear or not specified,.1-10,,No,,1,No
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,"field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours",No,surveyed a total of 23 sites each 50 x 25 m in two locations (Puerto Rico and Mexico),Plots,1,10km,1-10 km²,.11-50,,No,,0,No
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,"field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours",No,surveyed a total of 23 sites each 50 x 25 m in two locations (Puerto Rico and Mexico),Sites,1,10km,1-10 km²,.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_2CHwrQismiY1LLB,LB,Anthropogenic remediation of heavy metals selects against natural microbial remediation,,No,gradient sampling design,Plots,1,unk,Unclear or not specified,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_2CHwrQismiY1LLB,LB,Anthropogenic remediation of heavy metals selects against natural microbial remediation,,No,gradient sampling design,Sites,1,unk,Unclear or not specified,.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,,No,"As far as I can tell, there were 134 sampling plots that were 46m x 46m each, across 31 ecological sites (their geographic size and chararacter is not clear)",Plots,1,1km,501m² - 1km²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,,No,"As far as I can tell, there were 134 sampling plots that were 46m x 46m each, across 31 ecological sites (their geographic size and chararacter is not clear)",Sites,1,unk,Unclear or not specified,.26+,,No,,0,No
2020-04-22,FALSE,FALSE,R_24wVbQfeDnsEskw,GV,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Distribution data from 1971-2000, simulated projections to 2025 and 2050",No,PLOT = PATCH: examined the connectivity of patches across a single landscape (site),Plots,1,100km,10-100 km²,.50+,,Yes,Unclear or not specified,0,Yes
2020-04-22,FALSE,FALSE,R_24wVbQfeDnsEskw,GV,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Distribution data from 1971-2000, simulated projections to 2025 and 2050",No,PLOT = PATCH: examined the connectivity of patches across a single landscape (site),Plots,2,1000km,"101-1,000 km²",.50+,,Yes,Unclear or not specified,0,Yes
2020-04-22,FALSE,FALSE,R_24wVbQfeDnsEskw,GV,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Distribution data from 1971-2000, simulated projections to 2025 and 2050",No,PLOT = PATCH: examined the connectivity of patches across a single landscape (site),Sites,1,100Mgm,"1,001-100,000 km²",.1-10,,Yes,Unclear or not specified,0,Yes
2020-04-22,FALSE,FALSE,R_3UXMx75t97OUqs1,AK,Arable weeds as indicators of agricultural intensity - A case study from Finland,used trophic interactions to define relative importance of weed species for animal groups,No,"<3000 fields used to collect data, size isn't specified ",Plots,1,unk,Unclear or not specified,.50+,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_3UXMx75t97OUqs1,AK,Arable weeds as indicators of agricultural intensity - A case study from Finland,used trophic interactions to define relative importance of weed species for animal groups,No,"<3000 fields used to collect data, size isn't specified ",Sites,1,unk,Unclear or not specified,.26+,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",InVEST model of services with remotely sensed data combined with model parameter values from the literature,No,"Remote sensing study, with inferences shown for the whole continuous area (176000km2) and for 8 watersheds within (areas not specified)",Plots,1,unk,Unclear or not specified,.1-10,,Yes,Unclear or not specified,1,No
2020-04-22,FALSE,FALSE,R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",InVEST model of services with remotely sensed data combined with model parameter values from the literature,No,"Remote sensing study, with inferences shown for the whole continuous area (176000km2) and for 8 watersheds within (areas not specified)",Sites,1,100Gm,"100,001-1,000,000 km²",.1-10,,Yes,Unclear or not specified,1,No
2020-04-22,FALSE,FALSE,R_3gzoOEHLfo3xsn7,CW,Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities,"Study done in the North Sea (chose Atlantic); trawling frequency data came from European Community Satellite Vessel Monitoring System (counted that as observational), otherwise modeled productivity and biomass of seabeds based on a published model. Model output validated with observational data from 33 stations subject to range of trawling in North Sea.",Yes,"Projected habitat sensitivity for a 125,000km^2 area of the North Sea (1 study site), gridded into 9km^2 squares (I considered pixel the ""plot"" unit, because trawling frequency, habitat sensitivity, and production sensitivity could vary by pixel)",Plots,1,10km,1-10 km²,.50+,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_3gzoOEHLfo3xsn7,CW,Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities,"Study done in the North Sea (chose Atlantic); trawling frequency data came from European Community Satellite Vessel Monitoring System (counted that as observational), otherwise modeled productivity and biomass of seabeds based on a published model. Model output validated with observational data from 33 stations subject to range of trawling in North Sea.",Yes,"Projected habitat sensitivity for a 125,000km^2 area of the North Sea (1 study site), gridded into 9km^2 squares (I considered pixel the ""plot"" unit, because trawling frequency, habitat sensitivity, and production sensitivity could vary by pixel)",Sites,1,100Gm,"100,001-1,000,000 km²",.1-10,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_5nnUwLi2HNd4sQp,AIS,Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,,Yes,"French alps area (site, 52149 km2). No explicit plots, simply looked at land cover at 1km x 1km resolution",Sites,1,100Mgm,"1,001-100,000 km²",.1-10,Plots,Yes,Unclear or not specified,1,No
2020-04-22,FALSE,FALSE,R_1pMUi8TKDBRwWHH,AIS,Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,,Yes,20 sites spanning 750 km2,Plots,1,unk,Unclear or not specified,.1-10,,No,,1,No
2020-04-22,FALSE,FALSE,R_1pMUi8TKDBRwWHH,AIS,Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,,Yes,20 sites spanning 750 km2,Sites,1,1km,501m² - 1km²,.11-25,,No,,1,No
2020-04-22,FALSE,FALSE,R_3QVN7sk2L6ezbxj,TK,Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,,No,I based the pevious answer based on pixel size,Plots,1,10km,1-10 km²,.50+,,Yes,Unclear or not specified,0,Yes
2020-04-22,FALSE,FALSE,R_3QVN7sk2L6ezbxj,TK,Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,,No,I based the pevious answer based on pixel size,Sites,1,10km,1-10 km²,.26+,,Yes,Unclear or not specified,0,Yes
2020-04-22,FALSE,FALSE,R_12LTy7jbBE8ZpVJ,CW,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",Observational data collected through field notes and taking photos in front-yard visits,No,"""plot"" = front yard of a house (512 yards in total); ""site"" = two cities studied (visited four socio-econ different neighborhoods in each, but paper doesn't provide collective area of city visited)",Plots,1,25m,1m² - 25m²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_12LTy7jbBE8ZpVJ,CW,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",Observational data collected through field notes and taking photos in front-yard visits,No,"""plot"" = front yard of a house (512 yards in total); ""site"" = two cities studied (visited four socio-econ different neighborhoods in each, but paper doesn't provide collective area of city visited)",Sites,1,unk,Unclear or not specified,.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_3qaJH0Ny7mg0fC9,LD,Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,"In 2002, the PEBANPA (Parcelas de Ecología y Biodiversidad de Ambientes Naturales en Patagonia Austral) Network was estab- lished to monitor these ecosystems and to produce scientific research focused on ecosystem function and ES (e.g. soil carbon stocks, nutrients, forestry), as well as on trends in biodiversity and the interactions between natural environments and land-use activities throughout southern Patagonia, Argentina. Long-term monitoring assesses bio-indicators, which therefore reveal the cur- rent state of the environment, particular stresses in ecosystems and early warnings of environmental changes ahead.",No,"1214 geo-referenced, permanent and semi-permanent plots in PEBANPA encompass native forests, grasslands, shrublands, and wetlands across environmental gradients in the provinces of Santa Cruz and Tierra del Fuego, Argentina. Quadrats within plots (so still small scale measurements)",Sites,1,25m,1m² - 25m²,.26+,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_3M0en6hxEdSAAnL,SDJ,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,81 plots of different combinations of plants. measured EF variables,No,"one site in Jena, Germany. total of 81 plots",Plots,1,500m,101m² - 500m²,.50+,Sites,No,,0,Yes
2020-04-22,FALSE,FALSE,R_d6fQShhgN9RzJPb,IS,Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),,No,"75 20mx20m soil sample areas; 5 samples per site=375 ""plots""",Plots,1,25m,1m² - 25m²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_d6fQShhgN9RzJPb,IS,Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),,No,"75 20mx20m soil sample areas; 5 samples per site=375 ""plots""",Sites,1,1000km,"101-1,000 km²",.26+,,No,,0,No
2020-04-22,FALSE,FALSE,R_2tznpl4ftHu3Krw,JL,Both rare and common species support ecosystem services in scavenger communities,,No,No plots or explicit area sizes in study; they monitored 283 animal carcasses across 9 sites across Spain and Africa,Plots,1,unk,Unclear or not specified,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_2tznpl4ftHu3Krw,JL,Both rare and common species support ecosystem services in scavenger communities,,No,No plots or explicit area sizes in study; they monitored 283 animal carcasses across 9 sites across Spain and Africa,Sites,1,unk,Unclear or not specified,.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_1mI3PjUP02Mv2LX,JL,Butterfly-plant network in urban landscape: Implication for conservation and urban greening,,No,"3 sampling sites of unclear size, each of which had 5 walking transects (1000m long each, likely ~1000-2000m2 in area))",Plots,1,1km,501m² - 1km²,.11-50,,No,,0,No
2020-04-22,FALSE,FALSE,R_1mI3PjUP02Mv2LX,JL,Butterfly-plant network in urban landscape: Implication for conservation and urban greening,,No,"3 sampling sites of unclear size, each of which had 5 walking transects (1000m long each, likely ~1000-2000m2 in area))",Sites,1,unk,Unclear or not specified,.1-10,,No,,0,No
2020-04-22,TRUE,FALSE,R_2RRrEwHEFBCmmju,KCG,Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,Transect of plots ranging in disturbance values,No,,Plots,1,1km,501m² - 1km²,.11-50,,No,,0,Space for time
2020-04-22,TRUE,FALSE,R_2RRrEwHEFBCmmju,KCG,Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,Transect of plots ranging in disturbance values,No,,Sites,1,1000km,"101-1,000 km²",.1-10,,No,,0,Space for time
2020-04-22,FALSE,FALSE,R_26g6p5N6agrVmjY,CW,"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Compiled data from published datasets (e.g. soil maps from other studies, derived from Landsat), weather stations, MODIS (used for NDVI), Gravity Recovery and Climate Experiment (GRACE) to aproximate groundwater levels, and used an empirical model (Revised Universal Soil Loss Equation) to model soil erosion over space. Validated model output with comparative values from related literature.",Yes,"Mapped wall-to-wall model values for entire China Loess Plateau (0.6 million km^2); spatial data interpolated to 1km x 1km resolution (pixel resolution); divide map into 8 regions (considering as ""plots"") but doesn't provide area of each region",Plots,1,unk,Unclear or not specified,.1-10,,Yes,Unclear or not specified,1,Yes
2020-04-22,FALSE,FALSE,R_26g6p5N6agrVmjY,CW,"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Compiled data from published datasets (e.g. soil maps from other studies, derived from Landsat), weather stations, MODIS (used for NDVI), Gravity Recovery and Climate Experiment (GRACE) to aproximate groundwater levels, and used an empirical model (Revised Universal Soil Loss Equation) to model soil erosion over space. Validated model output with comparative values from related literature.",Yes,"Mapped wall-to-wall model values for entire China Loess Plateau (0.6 million km^2); spatial data interpolated to 1km x 1km resolution (pixel resolution); divide map into 8 regions (considering as ""plots"") but doesn't provide area of each region",Sites,1,100Gm,"100,001-1,000,000 km²",.1-10,,Yes,Unclear or not specified,1,Yes
2020-04-22,FALSE,FALSE,R_3PNBrx8CScS4JTm,CW,Changes in ecological stability across realistic biodiversity gradients depend on spatial scale,,Yes,"735 1m^2 plots, 15 3721m^2 (0.037 km^2) regional sites",Plots,1,25m,1m² - 25m²,.50+,,No,,1,No
2020-04-22,FALSE,FALSE,R_3PNBrx8CScS4JTm,CW,Changes in ecological stability across realistic biodiversity gradients depend on spatial scale,,Yes,"735 1m^2 plots, 15 3721m^2 (0.037 km^2) regional sites",Sites,1,1km,501m² - 1km²,.11-25,,No,,1,No
2020-04-22,FALSE,TRUE,R_T8b3xew0rVQL489,AIS,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",,No,"14 sites each 300 m2, each site has 5 pitfall traps (plots)",Plots,1,unk,Unclear or not specified,.50+,,No,,0,No
2020-04-22,FALSE,TRUE,R_T8b3xew0rVQL489,AIS,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",,No,"14 sites each 300 m2, each site has 5 pitfall traps (plots)",Sites,1,500m,101m² - 500m²,.11-25,,No,,0,No
2020-04-22,FALSE,TRUE,R_3HTv5CGg1jUKNEG,AK,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",,No,5 random pitfall traps at each of the 14 sites,Plots,1,25m,1m² - 25m²,.50+,,Yes,1-10 km²,0,No
2020-04-22,FALSE,TRUE,R_3HTv5CGg1jUKNEG,AK,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",,No,5 random pitfall traps at each of the 14 sites,Sites,1,500m,101m² - 500m²,.11-25,,Yes,1-10 km²,0,No
2020-04-22,FALSE,FALSE,R_10xsOIClKEhKIFq,IS,"Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China",,No,"60 soil cores for source materials, 1 long core at the center of the check dam; total catchment studied is 8km2; not clear if soil cores from each ecosystem type are spatially separate so assumed just sampled one site per ecosystem type; so total sites 6 (5 ecosystem/soil types, 1 center check dam)",Plots,1,unk,Unclear or not specified,.50+,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_10xsOIClKEhKIFq,IS,"Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China",,No,"60 soil cores for source materials, 1 long core at the center of the check dam; total catchment studied is 8km2; not clear if soil cores from each ecosystem type are spatially separate so assumed just sampled one site per ecosystem type; so total sites 6 (5 ecosystem/soil types, 1 center check dam)",Sites,1,25m,1m² - 25m²,.1-10,,No,,0,Yes
2020-04-22,FALSE,FALSE,R_7P3SpB4PEitCRrP,IS,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services,No,just worked with large GIS datasets of differing spatial resolutions but did say that the total northwest arid region in China is about 2.5million km2,Plots,1,unk,Unclear or not specified,.50+,Sites,No,,0,Yes
2020-04-22,FALSE,FALSE,R_22WbXqkXbhN02fD,AK,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",,No,3 urban parks in Rotterdam,Sites,1,unk,Unclear or not specified,.1-10,Plots,No,,0,No
2020-04-22,TRUE,FALSE,R_3kbwvTet6xMwmLx,KCG,Climate and plant controls on soil organic matter in coastal wetlands,,No,1000 plots ,Plots,1,25m,1m² - 25m²,.50+,Sites,No,,0,No
2020-04-22,FALSE,FALSE,R_tDOoGqw4GF8f93H,JL,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,,Yes,"7 regions (10000km2) with 57 sets of paired field sites (within a couple km) comprising 114 individual fields, each of which had 4 plots of 168m2 ; I said 'yes' to Q10 because models included random effects for these spatial hierarchies (field, field site, and regional identity)",Plots,1,500m,101m² - 500m²,.50+,,Yes,"1m² - 25m²,1-10 km²,Unclear or not specified",1,No
2020-04-22,FALSE,FALSE,R_tDOoGqw4GF8f93H,JL,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,,Yes,"7 regions (10000km2) with 57 sets of paired field sites (within a couple km) comprising 114 individual fields, each of which had 4 plots of 168m2 ; I said 'yes' to Q10 because models included random effects for these spatial hierarchies (field, field site, and regional identity)",Sites,1,10km,1-10 km²,.26+,,Yes,"1m² - 25m²,1-10 km²,Unclear or not specified",1,No
