ResponseId,Init,Title,id,sameanswer,answer,clean_answer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.2_10,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Env,Env,Q12,PestPath,100,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.2_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Env,,Q12,PestPath,100,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.3_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Anthro,,Q12,PestPath,116,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.3_10,FALSE,Land use change,Land use change,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Anthro,Anthro,Q12,PestPath,116,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.4_10,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.4_10,FALSE,Service Provider (Q17),Service Provider (Q17),,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.5_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.5_10,FALSE,"ES,Proxy for ES","ES,Proxy for ES",,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.7_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Anthro,,Q12,PestPath,180,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.7_10,FALSE,Mixed,Mixed,,,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Anthro,,Q12,PestPath,180,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.8_10,FALSE,+,+,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Bio,,Q12,PestPath,196,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.8_10,FALSE,-,-,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Bio,,Q12,PestPath,196,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q17,FALSE,growing season week,growing season week,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,PestPath,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q17,FALSE,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q26,FALSE,"proportion of natural habitat surrounding farms, Syrphid diversity ",proportion of natural habitat surrounding farms,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,PestPath,205,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q26,FALSE,"proportion of natural habitat surrounding farms, Syrphid diversity ",Syrphid diversity,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,PestPath,205,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q26,FALSE,,,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,,Q12,,205,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers)),Kremen Topic 4 : Scale","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale","Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]","Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q22,FALSE,Mentioned or discussed but not measured,Mentioned or discussed but not measured,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q22,FALSE,No,No,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q8,FALSE,6–10 years,6–10 years,,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q8,FALSE,10+ years,10+ years,,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.1_12_1,FALSE,inland fisheries yields,inland fisheries yields,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.1_12_1,FALSE,fisheries yield,fisheries yield,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.1_12_2,FALSE,stability of fisheries yields,stability of fisheries yields,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - DO NOT USE Response 2",Response,,,Q12,Food,82,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.1_12_2,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - DO NOT USE Response 2",Response,,,Q12,Food,82,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.2_12,FALSE,Climate,Climate,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,,LD,TK,1
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.2_12,FALSE,Climate,Other,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,Appended 'Other' to Driver (Other driver entered but 'Other' not checked),LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.2_12,FALSE,"Other,Climate",Climate,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,,LD,TK,2
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.2_12,FALSE,"Other,Climate",Other,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,Env,Env,Q12,Food,102,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.3_12,TRUE,Population growth,Other,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Food and feed,Driver,Anthro,Anthro,Q12,Food,118,Appended 'Other' to Driver (Other driver entered but 'Other' not checked),LD,TK,1
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.3_12,TRUE,Population growth,Population growth,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Food and feed,Driver,Anthro,Anthro,Q12,Food,118,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.3_12,TRUE,Population growth,Population growth,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Food and feed,Driver,Anthro,Anthro,Q12,Food,118,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.4_12,FALSE,Other,Other,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.4_12,FALSE,Service Provider (Q17),Other,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,Appended 'Other' to Driver (Other driver entered but 'Other' not checked),LD,TK,2
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.4_12,FALSE,Service Provider (Q17),Service Provider (Q17),,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.5_12,TRUE,ES,ES,,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.5_12,TRUE,ES,ES,,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.6_12,FALSE,+,+,,,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Food and feed,EffectDirect,Env,,Q12,Food,166,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.6_12,FALSE,Mixed,Mixed,,,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Food and feed,EffectDirect,Env,,Q12,Food,166,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.7_12,TRUE,+,+,,,Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Food and feed,EffectDirect,Anthro,,Q12,Food,182,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.7_12,TRUE,+,+,,,Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Food and feed,EffectDirect,Anthro,,Q12,Food,182,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.8_12,TRUE,+,+,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25.8_12,TRUE,+,+,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q17,FALSE,"surface area of inland waters, elevation",elevation,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,Food,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q17,FALSE,"surface area of inland waters, elevation",surface area of inland waters,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,Food,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q17,FALSE,,elevation,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,Food,203,"Other driver missing, reviewed and corrected by CTW; Infilled ES from Driver where 'Other' specified",LD,TK,2
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q17,FALSE,,surface area of inland waters,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,Food,203,"Other driver missing, reviewed and corrected by CTW; Infilled ES from Driver where 'Other' specified",LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25,FALSE,human population size,human population size,,,List Other Human Driver from Q12 (sep. with commas),OtherDriver,Anthro,Anthro,Q12,Food,204,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q25,FALSE,,,,,List Other Human Driver from Q12 (sep. with commas),OtherDriver,Anthro,,Q12,,204,,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q26,TRUE,species richness,species richness,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,Food,205,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q26,TRUE,species richness,species richness,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,Food,205,Infilled ES from Driver where 'Other' specified,LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q18,FALSE,Kremen Topic 2 : Community structure influencing function,"Kremen Topic 2 : Community structure influencing function,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Added KT3 based on environmental driver and no KT3 checked; appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function","Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Added KT3 based on environmental driver and no KT3 checked; appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,2
R_1JQHDAYFWcs4yEt,LD,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q22,FALSE,Mentioned or discussed but not measured,Mentioned or discussed but not measured,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,1
R_PHulZzM2LZv9eTv,TK,Global evidence of positive impacts of freshwater biodiversity on fishery yields,Q22,FALSE,No,No,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.1_8_1,TRUE,dung decomposition,dung decomposition,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,Q12,SoilProtect,73,,LD,TK,1
