review_round,reviewer_init,doublerev,title,reviewer_comments,outsidereviewer,outsidereviewer_notes,exclusion_reason,fullquestion,exclusion_id,SourcePublication,PublicationYear,FirstAuthor
1,JL,FALSE,'Stream Daylighting' as an approach for the renaturalization of riverine systems in urban areas: Istanbul-Ayamama Stream case,JL: Review which also develops a tool and assesses current state of stream health but doesn't use tool to quantify drivers or advance ecological understanding of ES/EF,NA,NA,review,Is this a review?,2,ECOHYDROLOGY & HYDROBIOLOGY,2017,Delibas
1,KCG,FALSE,A complex systems approach for multiobjective water quality regulation on managed wetland landscapes,NA,NA,NA,review,Is this a review?,2,ECOSPHERE,2016,Parrott
1,TM,FALSE,A constructed treatment wetland as an opportunity to enhance biodiversity and ecosystem services,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2015,Semeraro
1,CK,FALSE,A critique of 'countryside biogeography' as a guide to research in human-dominated landscapes,NA,NA,NA,review,Is this a review?,2,JOURNAL OF BIOGEOGRAPHY,NA,Driscoll
1,NBD,FALSE,A framework for assessing regional biodiversity condition under changing environments of the arid Australian rangelands,"NBD: Does not pass our criteria, but the paper mentions that if you are doing a study of biodiversity and want to link it to ecosystem services you have to be very explicit in how you give definitions, etc. so it actually fulfills your goals",NA,NA,review,Is this a review?,2,RANGELAND JOURNAL,2009,Smyth
1,TM,FALSE,A fungal perspective on conservation biology,NA,NA,NA,review,Is this a review?,2,CONSERVATION BIOLOGY,2015,Heilmann-Clausen
1,TM,FALSE,A global perspective on wetland salinization: ecological consequences of a growing threat to freshwater wetlands,NA,NA,NA,review,Is this a review?,2,ECOSPHERE,2015,Herbert
1,TM,FALSE,A global synthesis of the effects of biological invasions on greenhouse gas emissions,NA,NA,NA,review,Is this a review?,2,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2015,Qiu
1,GV,FALSE,A history of hubris - Cautionary lessons in ecologically sustainable forest management,NA,NA,NA,review,Is this a review?,2,BIOLOGICAL CONSERVATION,2012,Lindenmayer
1,KCG,FALSE,A landscape approach towards ecological restoration and sustainable development of mining areas,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2016,Lei
1,AK,FALSE,A niche for ecosystem multifunctionality in global change research,AK: could be a good paper to review?,NA,NA,review,Is this a review?,2,GLOBAL CHANGE BIOLOGY,2019,Giling
1,IS,FALSE,A preview of perennial grain agriculture: knowledge gain from biotic interactions in natural and agricultural ecosystems,IS: preview' article that synthesizes other work,NA,NA,review,Is this a review?,2,ECOSPHERE,2017,Rasche
1,TK,FALSE,A site-based approach to delivering rangeland ecosystem services,NA,NA,NA,review,Is this a review?,2,RANGELAND JOURNAL,2011,Brown
1,AIS,FALSE,"A social-ecological framework for ""micromanaging"" microbial services",NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2014,Peralta
1,NBD,FALSE,"A template for publishing the ""conservation chain"" from problem identification to practical action, exemplified through the campaign for butterfly protection in Israel",NA,NA,NA,review,Is this a review?,2,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,2008,Pe'er
1,CK,FALSE,A wider view of assessments of ecosystem services in coastal areas: the perspective of social-ecological complexity,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2019,Sole
1,KCG,FALSE,Actionable knowledge for ecological intensification of agriculture,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2016,Geertsema
1,NBD,FALSE,Advances in pollination ecology from tropical plantation crops,NA,NA,NA,review,Is this a review?,2,ECOLOGY,2008,Klein
1,KCG,FALSE,Advancing landscape ecology as a science: the need for consistent reporting guidelines,NA,NA,NA,review,Is this a review?,2,LANDSCAPE ECOLOGY,2016,Vetter
1,TK,FALSE,Agricultural conservation practices and wetland ecosystem services in the wetland-rich Piedmont-Coastal Plain region,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL APPLICATIONS,2011,De Steven
1,AIS,FALSE,Agricultural landscape structure affects arthropod diversity and arthropod-derived ecosystem services,NA,NA,NA,review,Is this a review?,2,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2014,Mitchell
1,NBD,FALSE,Agroforests as model systems for tropical ecology,NA,NA,NA,review,Is this a review?,2,ECOLOGY,2008,Greenberg
1,IS,FALSE,Alien plants as mediators of ecosystem services and disservices in urban systems: a global review,NA,NA,NA,review,Is this a review?,2,BIOLOGICAL INVASIONS,2017,Potgieter
1,TM,FALSE,"Allocating Untreated ""Controls"" in the National Wilderness Preservation System as a Climate Adaptation Strategy: A Case Study From the Flathead National Forest, Montana",NA,NA,NA,review,Is this a review?,2,NORTHWEST SCIENCE,2015,Belote
1,NBD,FALSE,Amazonia revealed: forest degradation and loss of ecosystem goods and services in the Amazon Basin,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2007,Foley
1,JL,FALSE,An ecosystem services filter for rangeland restoration,NA,NA,NA,review,Is this a review?,2,RANGELAND JOURNAL,2017,Brown
1,TK,FALSE,An Indicator Framework for Assessing Agroecosystem Resilience,TK: A review that applies resilience theory to agro-ecosystems.,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2012,Cabell
1,TM,FALSE,Anticipative management for coral reef ecosystem services in the 21st century,NA,NA,NA,review,Is this a review?,2,GLOBAL CHANGE BIOLOGY,2015,Rogers
1,NBD,FALSE,Application of a geomorphic and temporal perspective to wetland management in North America,NA,NA,NA,review,Is this a review?,2,WETLANDS,2008,Smith
1,TK,FALSE,Application of ecosystem-based analytic tools to evaluate natural resource damage and environmental impact assessments in the ROPME Sea Area,TK: A review of various valuation methods for marine ecosystems impacted by oil spills.,NA,NA,review,Is this a review?,2,AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,2012,Reilly
1,LB,FALSE,Applied urban ecology for sustainable urban environment,NA,NA,NA,review,Is this a review?,2,URBAN ECOSYSTEMS,2013,Breuste
1,AIS,FALSE,Applying resilience thinking to production ecosystems,NA,NA,NA,review,Is this a review?,2,ECOSPHERE,2014,Rist
1,JL,FALSE,Approaches and mechanisms for ecologically based pest management across multiple scales,NA,NA,NA,review,Is this a review?,2,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,Zhao
1,LB,FALSE,"Assembling the pieces: a framework for the integration of multi-functional ecological main structure in the emerging urban region of Bogota, Colombia",NA,NA,NA,review,Is this a review?,2,URBAN ECOSYSTEMS,2013,Andrade
1,TM,FALSE,Assessing the contribution of ecosystem services to human wellbeing: A disaggregated study in western Rwanda,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ECONOMICS,2015,Dawson
1,TK,FALSE,Assessing the Evidence Base for Restoration in South Africa,TK: Review with an online survey. Not ES or EF focused.,NA,NA,review,Is this a review?,2,RESTORATION ECOLOGY,2011,Ntshotsho
1,KCG,FALSE,Assessment of Range Planting as a Conservation Practice,NA,NA,NA,review,Is this a review?,2,RANGELAND ECOLOGY & MANAGEMENT,2016,Hardegree
1,JL,FALSE,Avoiding ecosystem collapse in managed forest ecosystems,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2016,Lindenmayer
1,TM,FALSE,Beyond desertification: new paradigms for dryland landscapes,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2015,Peters
1,AK,FALSE,Beyond traditional ecological restoration on the Colorado Plateau,NA,NA,NA,review,Is this a review?,2,RESTORATION ECOLOGY,2018,Winkler
1,NBD,FALSE,Biodiversity and ecosystem functioning: issues of scale and trophic complexity,NBD: Talks about scale in the review,NA,NA,review,Is this a review?,2,MARINE ECOLOGY PROGRESS SERIES,2006,Raffaelli
1,JL,FALSE,Biodiversity and ecosystem risks arising from using guppies to control mosquitoes,NA,NA,NA,review,Is this a review?,2,BIOLOGY LETTERS,2016,El-Sabaawi
1,TM,FALSE,Biodiversity and ecosystem services: The Nature Index for Norway,NA,NA,NA,review,Is this a review?,2,ECOSYSTEM SERVICES,2015,Aslaksen
1,LB,FALSE,Biodiversity in a changing climate: a synthesis of current and projected trends in the US,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2013,Staudinger
1,KCG,FALSE,Biodiversity scenarios neglect future land-use changes,NA,NA,NA,review,Is this a review?,2,GLOBAL CHANGE BIOLOGY,2016,Titeux
1,NBD,FALSE,Biogeography and conservation in Southeast Asia: how 2.7 million years of repeated environmental fluctuations affect today's patterns and the future of the remaining refugial-phase biodiversity,NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2010,Woodruff
1,KCG,FALSE,Biological invasions in the context of green roofs,NA,NA,NA,review,Is this a review?,2,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,2016,Kinlock
1,KCG,FALSE,Bolder science needed now for protected areas,NA,NA,NA,review,Is this a review?,2,CONSERVATION BIOLOGY,2016,Watson
1,TM,FALSE,"Brazilian Atlantic forest: impact, vulnerability, and adaptation to climate change",NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2015,Scarano
1,TK,FALSE,Bridging the marine-terrestrial disconnect to improve marine coastal zone science and management,NA,NA,NA,review,Is this a review?,2,MARINE ECOLOGY PROGRESS SERIES,2011,Ruttenberg
1,KCG,FALSE,Building an eco-hydrological framework for the management of large river systems,NA,NA,NA,review,Is this a review?,2,ECOHYDROLOGY & HYDROBIOLOGY,2016,Schiemer
1,TK,FALSE,Buried treasure: soil biodiversity and conservation,NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2010,Parker
1,CK,FALSE,Challenges and opportunities for biogeography-What can we still learn from von Humboldt?,NA,NA,NA,review,Is this a review?,2,JOURNAL OF BIOGEOGRAPHY,2019,Schrodt
1,KCG,FALSE,"Changes in biodiversity and trade-offs among ecosystem services, stakeholders, and components of well-being: the contribution of the International Long-Term Ecological Research network (ILTER) to Programme on Ecosystem Change and Society (PECS)",NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2016,Maass
1,TM,FALSE,"Characteristics, emerging needs, and challenges of transdisciplinary sustainability science: experiences from the German Social-Ecological Research Program",NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2015,Ruppert-Winkel
1,AIS,FALSE,Civic ecology practices: Participatory approaches to generating and measuring ecosystem services in cities,NA,NA,NA,review,Is this a review?,2,ECOSYSTEM SERVICES,2014,Krasny
1,TK,FALSE,Classification of Climate-Change-Induced Stresses on Biological Diversity,NA,NA,NA,review,Is this a review?,2,CONSERVATION BIOLOGY,2011,Geyer
1,LB,FALSE,"Climate Change and North American Rangelands: Trends, Projections, and Implications",NA,NA,NA,review,Is this a review?,2,RANGELAND ECOLOGY & MANAGEMENT,2013,Polley
1,LB,FALSE,Climate change's impact on key ecosystem services and the human well-being they support in the US,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2013,Nelson
1,LB,FALSE,Climate-change impacts on ecological systems: introduction to a US assessment,NA,NA,NA,review,Is this a review?,2,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2013,Grimm
1,GV,FALSE,Comparison of Frameworks for Analyzing Social-ecological Systems,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2013,Binder
1,NBD,FALSE,"Comprehensive urban planning and management at multiple scales based on ecological principles: a case study in Beijing, China",NBD: Urban planning and development paper,NA,NA,review,Is this a review?,2,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2008,Li
1,TM,FALSE,Conceptual and operational perspectives on ecosystem restoration options in the European Union and elsewhere,NA,NA,NA,review,Is this a review?,2,JOURNAL OF APPLIED ECOLOGY,2015,Kotiaho
1,GV,FALSE,Confronting Feedbacks of Degraded Marine Ecosystems,NA,NA,NA,review,Is this a review?,2,ECOSYSTEMS,2012,Nystrom
1,NBD,FALSE,Conservation and utilisation of Abies guatemalensis rehder (Pinaceae) - an endangered endemic conifer in Central America,NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2006,Andersen
1,GV,FALSE,Conservation implications of recent advances in biodiversity-functioning research,NA,NA,NA,review,Is this a review?,2,BIOLOGICAL CONSERVATION,2012,Peh
1,TM,FALSE,Conservation planning in agricultural landscapes: hotspots of conflict between agriculture and nature,NA,NA,NA,review,Is this a review?,2,DIVERSITY AND DISTRIBUTIONS,2015,Shackelford
1,CK,FALSE,Coral reef ecosystem services in the Anthropocene,NA,NA,NA,review,Is this a review?,2,FUNCTIONAL ECOLOGY,2019,Woodhead
1,NBD,FALSE,Defining and classifying ecosystem services for decision making,"NBD: This paper is useful because it actually tries to define ecosystem services. That being said, it does not pass our criteria but should be useful for writing the paper",NA,NA,review,Is this a review?,2,ECOLOGICAL ECONOMICS,2009,Fisher
1,NBD,FALSE,Design in science: extending the landscape ecology paradigm,NA,NA,NA,review,Is this a review?,2,LANDSCAPE ECOLOGY,2008,Nassauer
1,JL,FALSE,Design with Nature: Ian McHarg's ecological wisdom as actionable and practical knowledge,"JL: Interesting case study of how ecological principles can be used to deliver ES in a real community; however, no primary science in this paper",NA,NA,review,Is this a review?,2,LANDSCAPE AND URBAN PLANNING,2016,Yang
1,TK,FALSE,Developing biodiversity indicators for cities: applying the DPSIR model to Nagoya and integrating social and ecological aspects,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL RESEARCH,2010,Kohsaka
1,NBD,FALSE,Directional changes in ecological communities and social-ecological systems: A framework for prediction based on Alaskan examples,NA,NA,NA,review,Is this a review?,2,AMERICAN NATURALIST,2006,Chapin
1,NBD,FALSE,Discovering Resilient Pathways for South African Water Management: Two Frameworks for a Vision,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2008,Bohensky
1,KCG,FALSE,Disentangling trade-offs and synergies around ecosystem services with the influence network framework: illustration from a consultative process over the French Alps,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2016,Crouzat
1,TK,FALSE,Disturbance and landscape dynamics in a changing world,NA,NA,NA,review,Is this a review?,2,ECOLOGY,2010,Turner
1,GV,FALSE,"Diversified Farming Systems: An Agroecological, Systems-based Alternative to Modern Industrial Agriculture",GV: special issue intro,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2012,Kremen
1,AK,FALSE,Does ecosystem quality matter for cultural ecosystem services?,NA,NA,NA,review,Is this a review?,2,JOURNAL FOR NATURE CONSERVATION,2018,Irvine
1,KCG,FALSE,Does the biogeographic origin of species matter? Ecological effects of native and non-native species and the use of origin to guide management,NA,NA,NA,review,Is this a review?,2,JOURNAL OF ECOLOGY,2016,Buckley
1,TK,FALSE,Dynamic properties of complex adaptive ecosystems: implications for the sustainability of service provision,NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2010,Dawson
1,AK,FALSE,Eco-intensification through soil carbon sequestration: Harnessing ecosystem services and advancing sustainable development goals,NA,NA,NA,review,Is this a review?,2,JOURNAL OF SOIL AND WATER CONSERVATION,2019,Lal
1,LB,FALSE,Ecohealth and resilience thinking: a dialog from experiences in research and practice,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2014,Berbes-Blazquez
1,KCG,FALSE,"Ecohydrology, floodplain water bodies, European legal provisions and the future",NA,NA,NA,review,Is this a review?,2,ECOHYDROLOGY & HYDROBIOLOGY,2016,Janauer
1,TM,FALSE,Ecological design for urban waterfronts,NA,NA,NA,review,Is this a review?,2,URBAN ECOSYSTEMS,2015,Dyson
1,GV,FALSE,Ecological engineers ahead of their time: The functioning of pre-Columbian raised-field agriculture and its potential contributions to sustainability today,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2012,Renard
1,TM,FALSE,"Ecological restoration as objective, target, and tool in international biodiversity policy",NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2015,Jorgensen
1,TM,FALSE,Ecosystem assessment and management as key tools for sustainable landscape development: A case study of the Ore Mountains region in Central Europe,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL MODELLING,2015,Grunewald
1,GV,FALSE,Ecosystem health and ecological engineering,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2012,Costanza
1,JL,FALSE,Ecosystem restoration: recent advances in theory and practice,NA,NA,NA,review,Is this a review?,2,RANGELAND JOURNAL,2017,Jones
1,TK,FALSE,Ecosystem services and biodiversity conservation: concepts and a glossary,NA,NA,NA,review,Is this a review?,2,BIODIVERSITY AND CONSERVATION,2010,Harrington
1,LB,FALSE,Ecosystem services by paddy fields as substitutes of natural wetlands in Japan,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2013,Natuhara
1,TK,FALSE,"Ecosystem Services in Biologically Diversified versus Conventional Farming Systems: Benefits, Externalities, and Trade-Offs",TK: Review of ESs in agroecosystems.,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2012,Kremen
1,TM,FALSE,Ecosystem services in pen-urban landscapes: The effects of agricultural landscape change on ecosystem services in Taiwan's western coastal plain,NA,NA,NA,review,Is this a review?,2,LANDSCAPE AND URBAN PLANNING,2015,Lee
1,LD,FALSE,Ecosystem services must tackle anthropized ecosystems andecological engineering,LD: Opinion/review - put in useful papers but excluded,NA,NA,review,Is this a review?,2,ECOLOGICAL ENGINEERING,2017,Barot
1,KCG,FALSE,Ecosystem services research in contrasting socio-ecological contexts of Argentina: Critical assessment and future directions,NA,NA,NA,review,Is this a review?,2,ECOSYSTEM SERVICES,2015,Enrique Mastrangelo
1,LB,FALSE,Effects of two traits of the ecological state equation on our understanding of species coexistence and ecosystem services,NA,NA,NA,review,Is this a review?,2,ECOLOGICAL MODELLING,2013,Rodriguez
1,KCG,FALSE,Elasticity in ecosystem services: exploring the variable relationship between ecosystems and human well-being,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2016,Daw
1,CK,FALSE,Embracing diverse worldviews to share planet Earth,NA,NA,NA,review,Is this a review?,2,CONSERVATION BIOLOGY,2019,Kohler
1,TM,FALSE,Emergent Properties Delineate Marine Ecosystem Perturbation and Recovery,NA,NA,NA,review,Is this a review?,2,TRENDS IN ECOLOGY & EVOLUTION,2015,Link
1,GV,FALSE,Emerging perspectives in the restoration of biodiversity-based ecosystem services,NA,NA,NA,review,Is this a review?,2,TRENDS IN ECOLOGY & EVOLUTION,2012,Montoya
1,TK,FALSE,"Evidence, Perceptions, and Trade-offs Associated with Invasive Alien Plant Control in the Table Mountain National Park, South Africa",TK: Pro/Con of alien plant removal in cape town.,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2012,van Wilgen
1,CK,FALSE,Evolution of interdisciplinarity in biodiversity science,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND EVOLUTION,2019,Craven
1,JL,FALSE,Expanding marine protected areas to include degraded coral reefs,NA,NA,NA,review,Is this a review?,2,CONSERVATION BIOLOGY,2016,Abelson
1,AIS,FALSE,Exploring ecosystem-change and society through a landscape lens: recent progress in European landscape research,NA,NA,NA,review,Is this a review?,2,ECOLOGY AND SOCIETY,2015,Plieninger
1,KCG,FALSE,Facilitation and sustainable agriculture: a mechanistic approach to reconciling crop production and conservation,NA,NA,NA,review,Is this a review?,2,FUNCTIONAL ECOLOGY,2016,Brooker
1,GV,FALSE,Faustian bargains? Restoration realities in the context of biodiversity offset policies,NA,NA,NA,review,Is this a review?,2,BIOLOGICAL CONSERVATION,2012,Maron
