Title,doublerev,review_LD,exclude_LD,Reason_LD,exclusion_reason,count_reasons
"Differences in macrobenthic faunal communities in mangrove wetland habitats (Zhanjiang, China) invaded and non-invaded by exotic cordgrass Spartina alterniflora",FALSE,FALSE,NA,NA,BiodivOnly,1
Dominance structure of assemblages is regulated over a period of rapid environmental change,FALSE,FALSE,NA,NA,ReviewOnly,1
Ecological consequences of invasive lake trout on river otters in Yellowstone National Park,FALSE,TRUE,TRUE,Q1,BiodivOnly,1
Ecological contributions to human health in cities,FALSE,FALSE,NA,NA,ReviewOnly,1
"Ecosystem and Social Construction: an Interdisciplinary Case Study of the Shurkul Lake Landscape in Khorezm, Uzbekistan",FALSE,FALSE,NA,NA,SocialOnly,1
Ecosystem service delivery of agri-environment measures: A synthesis for hedgerows and grass strips on arable land,FALSE,FALSE,NA,NA,ReviewOnly,1
Ecosystem Services and Abrupt Transformations in a Coastal Wetland Social-Ecological System: Tubul-Raqui after the 2010 Earthquake in Chile,FALSE,FALSE,NA,NA,SocialOnly,1
Effect of the conversion of conventional pasture to intensive silvopastoral systems on edaphic bacterial and ammonia oxidizer communities in Colombia,FALSE,FALSE,NA,NA,BiodivOnly,1
Effects of dams on downstream molluscan predator–prey interactions in the Colorado River estuary,FALSE,FALSE,NA,NA,BiodivOnly,1
Enhancing bioassessment approaches: development of a river services assessment framework,FALSE,FALSE,NA,NA,ReviewOnly,1
Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,TRUE,TRUE,TRUE,NA,BiodivOnly,1
Exploring Current and Future Situation of Mediterranean Silvopastoral Systems: Case Study in Southern Spain,FALSE,FALSE,NA,NA,SocialOnly,1
Exploring subjective well-being and ecosystem services perception along a rural-urban gradient in the high Andes of Ecuador,FALSE,FALSE,NA,NA,SocialOnly,1
Farmers show complex and contrasting perceptions on ecosystem services and their management,FALSE,FALSE,NA,NA,SocialOnly,1
Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh,FALSE,TRUE,TRUE,Q1,BiodivOnly,1
Flattening of Caribbean coral reefs: region-wide declines in architectural complexity,FALSE,TRUE,TRUE,Q3 - Nick et al. review,ReviewOnly,1
Forest Landscape Restoration in the Drylands of Latin America,FALSE,FALSE,NA,NA,ReviewOnly,1
From species to communities: the signature of recreational use on a tropical river ecosystem,TRUE,FALSE,NA,NA,BiodivOnly,1
Functional ecology and imperfect detection of species,FALSE,FALSE,NA,NA,ReviewOnly,1
"Functional importance of sacred forest patches in the altered landscape of Palakkad region, Kerala, India",FALSE,FALSE,NA,NA,BiodivOnly,1
Genetic diversity of reintroduced tree populations in restoration plantations of the Brazilian Atlantic Forest,TRUE,FALSE,NA,NA,BiodivOnly,1
Geographic extent and variation of a coral reef trophic cascade,FALSE,FALSE,NA,NA,BiodivOnly,1
Grass shrimp (Palaemonetes spp.) play a pivotal trophic role in enhancing Ruppia maritima,FALSE,FALSE,NA,NA,BiodivOnly,1
Habitat connectivity for pollinator beetles using surface metrics,FALSE,TRUE,TRUE,Q3-Methods,ReviewOnly,1
"High microhabitat heterogeneity drives high functional traits in forest birds in five protected forest areas in the urban mosaic of Durban, South Africa",TRUE,FALSE,NA,NA,BiodivOnly,1
How good are tropical forest patches for ecosystem services provisioning?,TRUE,TRUE,TRUE,Q1,BiodivOnly,1
"Human impacts on the fire regime of interior Alaska: Interactions among fuels, ignition sources, and fire suppression",FALSE,FALSE,NA,NA,BiodivOnly,1
Hurricane disturbance and forest dynamics in east Caribbean mangroves,FALSE,FALSE,NA,NA,BiodivOnly,1
Impacts to ecosystem services from aquatic acidification: using FEGS-CS to understand the impacts of air pollution,TRUE,FALSE,NA,NA,ReviewOnly,1
Increasing antagonistic interactions cause bacterial communities to collapse at high diversity,FALSE,FALSE,NA,NA,BiodivOnly,1
Increasing ecological multifunctionality during early plant succession,FALSE,FALSE,NA,NA,BiodivOnly,1
Integrating ecology into green roof research,FALSE,FALSE,NA,NA,ReviewOnly,1
Integrating estimates of ecosystem services from conservation programs and practices into models for decision makers,FALSE,FALSE,NA,NA,ReviewOnly,1
Invisible barriers: Differential sanitary regulations constrain vulture movements across country borders,FALSE,FALSE,NA,NA,BiodivOnly,1
Landscape change in an agricultural watershed in the US Midwest,FALSE,FALSE,NA,NA,BiodivOnly,1
Linking changes in species-trait relationships and ecosystem function using a network analysis of traits,FALSE,FALSE,NA,NA,BiodivOnly,1
Linking landscape futures with biodiversity conservation strategies in northwest Iberia - A simulation study combining surrogates with a spatio-temporal modelling approach,FALSE,FALSE,NA,NA,BiodivOnly,1
Major histocompatibility complex diversity is positively associated with stream water temperatures in proximate populations of sockeye salmon,FALSE,FALSE,NA,NA,BiodivOnly,1
Mechanisms mediating the contribution of ecosystem services to human well-being and resilience,FALSE,FALSE,NA,NA,SocialOnly,1
Microbial ecological response of the intestinal flora of Peromyscus maniculatus and P. leucopus to heavy metal contamination,FALSE,FALSE,NA,NA,BiodivOnly,1
"Modeling and predicting the growth of the mussel, Mytilus edulis: implications for planning of aquaculture and eutrophication mitigation",FALSE,TRUE,TRUE,Q1,BiodivOnly,1
Modelling ecological and other risk factors influencing the outcome of the 2004 tsunami in Sri Lanka,FALSE,FALSE,NA,NA,SocialOnly,1
"Models of Coupled Settlement and Habitat Networks for Biodiversity Conservation: Conceptual Framework, Implementation and Potential Applications",TRUE,FALSE,NA,NA,BiodivOnly,2
"Models of Coupled Settlement and Habitat Networks for Biodiversity Conservation: Conceptual Framework, Implementation and Potential Applications",TRUE,FALSE,NA,NA,ReviewOnly,2
MtDNA metagenomics reveals large-scale invasion of belowground arthropod communities by introduced species,FALSE,FALSE,NA,NA,BiodivOnly,1
Multi-scale vulnerability of natural capital in a panarchy of social-ecological landscapes,FALSE,FALSE,NA,NA,SocialOnly,1
Multifunctionality of floodplain landscapes: relating management options to ecosystem services,FALSE,TRUE,TRUE,Q3-Methods,ReviewOnly,1
Nitrogen-induced terrestrial eutrophication: cascading effects and impacts on ecosystem services,TRUE,TRUE,TRUE,Framework,ReviewOnly,1
Not all data are equal: Influence of data type and amount in spatial conservation prioritisation,TRUE,FALSE,NA,NA,SocialOnly,2
Not all data are equal: Influence of data type and amount in spatial conservation prioritisation,TRUE,FALSE,NA,NA,BiodivOnly,2
On the other side of the ditch: exploring contrasting ecosystem service coproduction between smallholder and commercial agriculture,FALSE,FALSE,NA,NA,SocialOnly,1
"Optimizing agri-environment schemes for biodiversity, ecosystem services or both?",TRUE,TRUE,TRUE,Q3- framework,ReviewOnly,1
Optimizing intermediate ecosystem services in agriculture using rules based on landscape composition and configuration indices,FALSE,TRUE,TRUE,Q2,SocialOnly,1
Past and future landscape dynamics in pasture-woodlands of the Swiss Jura Mountains under climate change,FALSE,FALSE,NA,NA,BiodivOnly,1
"Patterns of earthworm, enchytraeid and nematode diversity and community structure in urban soils of different ages",FALSE,FALSE,NA,NA,BiodivOnly,1
Patterns of Vegetation Dynamics across Mild Disturbance Gradient in a Freshwater Wetland System in Southern India,TRUE,FALSE,NA,NA,BiodivOnly,1
People or place? An exploration of social and ecological drivers of urban forest species composition,FALSE,FALSE,NA,NA,BiodivOnly,1
Perceptions of cultural ecosystem services from urban green,TRUE,FALSE,NA,NA,SocialOnly,1
Plant diversity and generation of ecosystem services at the landscape scale: expert knowledge assessment,FALSE,FALSE,NA,NA,SocialOnly,1
"Plant species, functional assemblages and partitioning of diversity in a Mediterranean agricultural mosaic landscape",FALSE,FALSE,NA,NA,BiodivOnly,1
Policy interpretations and manifestation of biocultural diversity in urbanized Europe: conservation of lived biodiversity,TRUE,FALSE,NA,NA,SocialOnly,1
Predicting effects of large-scale reforestation on native and exotic birds,FALSE,FALSE,NA,NA,BiodivOnly,1
Preference of an insular flying fox for seed figs enhances seed dispersal of a dioecious species,FALSE,TRUE,TRUE,Q2,SocialOnly,1
Privatizing the commons: impact on ecosystem services in Bangalore's lakes,FALSE,FALSE,NA,NA,SocialOnly,1
Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,FALSE,TRUE,TRUE,Q3-Methods,ReviewOnly,1
"Provision of ecosystem services by the Aysen watershed, Chilean Patagonia, to rural households",FALSE,FALSE,NA,NA,SocialOnly,1
Quantifying wave attenuation to inform coastal habitat conservation,FALSE,FALSE,NA,NA,ReviewOnly,1
Recreational demand for clean water: evidence from geotagged photographs by visitors to lakes,TRUE,TRUE,TRUE,value only,SocialOnly,1
"Regional trends and local variability in monsoon precipitation in the northern Chihuahuan Desert, USA",FALSE,FALSE,NA,NA,ReviewOnly,1
Reprint of: Environmental justice and ecosystem services: A disaggregated analysis of community access to forest benefits in Nepal,TRUE,FALSE,NA,NA,SocialOnly,1
Resilience and stability of a pelagic marine ecosystem,FALSE,TRUE,TRUE,Q1,BiodivOnly,1
Science synthesis for management as a way to advance ecosystem restoration: evaluation of restoration scenarios for the Florida Everglades,FALSE,FALSE,NA,NA,ReviewOnly,1
"Sea otters, social justice, and ecosystem-service perceptions in Clayoquot Sound, Canada",FALSE,FALSE,NA,NA,SocialOnly,1
Seasonality in recreation supply and demand in an urban lake ecosystem in Finland,FALSE,FALSE,NA,NA,SocialOnly,1
Soils Determine Early Revegetation Establishment with and without Cover Crops in Northern Mixed Grass Prairie after Energy Development,TRUE,TRUE,TRUE,by Q3,BiodivOnly,1
Species' thermal ranges predict changes in reef fish community structure during 8 years of extreme temperature variation,TRUE,FALSE,NA,NA,BiodivOnly,1
Temporal changes in the abiotic/biotic drivers of selfpurification in a temperate river,FALSE,FALSE,NA,NA,ReviewOnly,1
Temporal Dynamics of Ecosystem Services,FALSE,FALSE,NA,NA,SocialOnly,1
The effects of oil palm plantations on the functional diversity of Amazonian birds,TRUE,FALSE,NA,NA,BiodivOnly,1
The forgotten flies: the importance of non-syrphid Diptera as pollinators,FALSE,FALSE,NA,NA,ReviewOnly,1
The role of ruminants in reducing agriculture's carbon footprint in North America,FALSE,FALSE,NA,NA,ReviewOnly,1
Things are different now: Farmer perceptions of cultural ecosystem services of traditional rice landscapes in Vietnam and the Philippines,TRUE,FALSE,NA,NA,SocialOnly,1
Traditional ecological knowledge and medicinal plant diversity in Ecuadorian Amazon home gardens,TRUE,TRUE,TRUE,value/social,SocialOnly,1
Tree communities rapidly alter soil microbial resistance and resilience to drought,FALSE,TRUE,TRUE,Q1,BiodivOnly,1
Tropical tree diversity mediates foraging and predatory effects of insectivorous birds,FALSE,FALSE,NA,NA,BiodivOnly,1
Using visual stimuli to explore the social perceptions of ecosystem services in cultural landscapes: the case of transhumance in Mediterranean Spain,FALSE,FALSE,NA,NA,SocialOnly,1
Wetland ecosystem services and coupled socioeconomic benefits through conservation practices in the Appalachian Region,FALSE,FALSE,NA,NA,SocialOnly,1
What will the neighbors think? Cultural norms and ecological design,FALSE,FALSE,NA,NA,SocialOnly,1
