Round2_reviewer,Round1_reviewer,Round1_comments,FirstAuthor,AuthorsFull,Title,SourcePublication,PublicationYear,Abstract
Kathryn,Grant,,Norkko,"Norkko, Joanna; Reed, Daniel C.; Timmermann, Karen; Norkko, Alf; Gustafsson, Bo G.; Bonsdorff, Erik; Slomp, Caroline P.; Carstensen, Jacob; Conley, Daniel J.",A welcome can of worms? Hypoxia mitigation by an invasive species,GLOBAL CHANGE BIOLOGY,2012,"Invasive species and bottom-water hypoxia both constitute major global threats to the diversity and integrity of marine ecosystems. These stressors may interact with unexpected consequences, as invasive species that require an initial environmental disturbance to become established can subsequently become important drivers of ecological change. There is recent evidence that improved bottom-water oxygen conditions in coastal areas of the northern Baltic Sea coincide with increased abundances of the invasive polychaetes Marenzelleria spp. Using a reactive-transport model, we demonstrate that the long-term bioirrigation activities of dense Marenzelleria populations have a major impact on sedimentary phosphorus dynamics. This may facilitate the switch from a seasonally hypoxic system back to a normoxic system by reducing the potential for sediment-induced eutrophication in the upper water column. In contrast to short-term laboratory experiments, our simulations, which cover a 10-year period, show that Marenzelleria has the potential to enhance long-term phosphorus retention in muddy sediments. Over time bioirrigation leads to a substantial increase in the iron-bound phosphorus content of sediments while reducing the concentration of labile organic carbon. As surface sediments are maintained oxic, iron oxyhydroxides are able to persist and age into more refractory forms. The model illustrates mechanisms through which Marenzelleria can act as a driver of ecological change, although hypoxic disturbance or natural population declines in native species may be needed for them to initially become established. Invasive species are generally considered to have a negative impact; however, we show here that one of the main recent invaders in the Baltic Sea may provide important ecosystem services. This may be of particular importance in low-diversity systems, where disturbances may dramatically alter ecosystem services due to low functional redundancy. Thus, an environmental problem in one region may be either exacerbated or alleviated by a single species from another region, with potentially ecosystem-wide consequences."
Kathryn,Laurel,,Pinsky,"Pinsky, Malin L.; Guannel, Greg; Arkema, Katie K.",Quantifying wave attenuation to inform coastal habitat conservation,ECOSPHERE,2013,"Coastal vegetation can protect people and property from erosion and flooding, potentially providing a win-win solution for conservation and development. However, the conditions under which natural habitats provide protection have been controversial, partly because the geomorphic, ecological, and hydrodynamic factors that determine wave attenuation vary greatly among locations, times, and studies. We re-analyzed existing wave attenuation studies in kelp, mangrove, marsh and seagrass habitats and found that much of the variation in wave attenuation can be explained by differences in vegetation characteristics and by the change in bulk drag with flow conditions. We found that vegetation can exert substantial drag on passing waves, but that the bulk drag coefficient declines in flow conditions characterized by high Reynolds numbers. This decline is important because storm conditions are highly turbulent (typical Reynolds numbers are greater than 10 4), and we lack empirical measurements of bulk drag coefficients from such conditions. Failing to account for the decline can over-estimate wave attenuation in storms by 19% to 1600%. These results suggest that larger habitat areas will need to be set aside for coastal protection than previously thought. Our approach provides predictions for designing practical habitat conservation and restoration plans that also protect humans and property from flooding and erosion."
Kathryn,Isabel,,Rusch,"Rusch, Adrien; Delbac, Lionel; Thiery, Denis",Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control,JOURNAL OF APPLIED ECOLOGY,2017,"1. Biological control of crop pests is a major ecosystem service affected by several variables acting at multiple spatial scales. Among these variables, heterogeneity at the habitat and landscape scales are known key drivers of trophic interactions and pest density in agroecosystems. However, studies that try to disentangle their relative effects in perennial cropping systems are scarce and nothing is known about their impacts on insect pest density and pesticide applications. 2. We examined the effect of heterogeneity at these two scales on grape moths, one of the most damaging insect pests in European vineyards, and their biological control in 20 vineyards during three consecutive years. We used local vegetation management and the proportion of semi-natural habitats in the surrounding landscape as proxies of heterogeneity at the habitat and landscape scales. Grape moth density was measured over time, as well as biological control services provided by different groups: birds, invertebrate predators, parasitoids and entomopathogenic fungi. 3. Over the 3 years, grape moth density was mainly determined by local heterogeneity, with significantly fewer larvae of the first generation established in vineyards with full compared to partial grass cover. 4. Despite these effects, biological control of grape moths was not primarily affected by local vegetation management but by landscape heterogeneity, and the direction of this effect varied over time. Notably, predation by birds increased with landscape heterogeneity in spring, depending on local vegetation management, while attacks by pathogenic fungi decreased with landscape heterogeneity during winter. 5. Synthesis and applications. Our results suggest that bottom-up processes related to habitat heterogeneity drive grape moth occurrence much more than top-down processes. These results have important implications for the ecological intensification of vineyard landscapes. We found that maintaining full grass cover within vineyards reduced grape moth density to a level below common intervention thresholds. Landscape heterogeneity in the close vicinity of vineyards contributed to improved biological pest control by birds, but depended on local vegetation management. Moreover, opposing effects of landscape management on biological pest control services over time revealed that strategies based only on manipulating landscape heterogeneity might not be the optimal option to limit grape moth density in vineyards."
Kathryn,Isabel,,Tromeur,"Tromeur, Eric; Loeuille, Nicolas",Balancing yield with resilience and conservation objectives in harvested predator-prey communities,OIKOS,2017,"The global overexploitation of fish stocks is endangering many marine food webs. Scientists and managers now call for an ecosystem-based fisheries management, able to take into account the complexity of marine ecosystems and the multiple ecosystem services they provide. By contrast, many fishery management plans only focus on maximizing the productivity of harvested stocks. Such practices are suggested to affect other ecosystem services, altering the integrity and resilience of natural communities. Here we show that while yield-maximizing policies can allow for coexistence and resilience in predator-prey communities, they are not optimal in a multi-objective context. We find that although total prey and predator maximum yields are higher with a prey-oriented harvest, focusing on the predator improves species coexistence. Also, moderate harvesting of the predator can enhance resilience. Furthermore, increasing maximum yields by changing catchabilities improves resilience in predator-oriented systems, but reduces it in prey-oriented systems. In a multi-objective context, optimal harvesting strategies involve a general tradeoff between yield and resilience. Resilience-maximizing strategies are however compatible with quite high yields, and should often be favored. Our results further suggest that balancing harvest between trophic levels is often best at maintaining simultaneously species coexistence, resilience and yield."
Kathryn,Grant,tsunami protection,Venkatachalam,"Venkatachalam, A. J.; Kaler, J.; Price, A. R. G.",Modelling ecological and other risk factors influencing the outcome of the 2004 tsunami in Sri Lanka,ECOSPHERE,2012,"The 2004 Asian tsunami caused widespread devastation across the Indian Ocean. Damage from the waves was influenced by complex interplay of many factors. Using regression models incorporating different impact indicators (occurrence of inundation, inundation distance, and human deaths), we examined factors that significantly influenced tsunami damage in southern Sri Lanka. Land elevation (which is positively correlated with forest presence), sand dunes and coastal convexity (which deflects waves), were protective factors, in terms of whether the tsunami wave inundated within an arbitrary distance of 15 m inland. Water bodies, saltpans and built-up areas (e. g., roads, development) increased wave inundation distance, while beaches and sand dunes were ameliorative. Built-up areas also increased death toll. Bathymetry, a proxy for wave height and force, was the only significant factor in all three multivariable models. Coastal areas with a steeper seaward bathymetric slope gradient were less prone to inundation and human fatalities, which is consistent other tsunami research. The presence of coral reefs was highly correlated with bathymetric slope gradient, implying a potentially protective role by coral reefs. Many factors showing greatest protective effect against tsunami damage are geographical features that cannot easily be modified. However, some defence factors identified, such as sand dunes, could potentially be protected. Given the wide-ranging ecosystem services, unrelated to tsunami protection, ongoing loss/degradation of natural systems including mangroves (not a significant factor in the multivariable models), could be damaging. This might impede certain future coastal development options in post-tsunami Sri Lanka."
Kathryn,Sierra,,Walker,"Walker, Emily A.; Lundholm, Jeremy T.",Designed habitat heterogeneity on green roofs increases seedling survival but not plant species diversity,JOURNAL OF APPLIED ECOLOGY,2018,"1. Urban areas benefit from the ecosystem services provided by low input green roofs. However, limited substrate depth on these green roofs creates challenging conditions for plant establishment and survival, leading to industry reliance on non-native succulents. 2. Through a green roof and glasshouse study, we assessed the impact of simple design modifications to the green roof surface, including redistribution of substrate and addition of logs and pebble piles, on both substrate temperature and moisture content. We added seeds of 26 native species and quantified seedling density, species richness and composition over a single growing season. Overall effects of microsite heterogeneity on species diversity were assessed using species accumulation curves. 3. The modifications altered substrate temperature and moisture. Deep substrate (10-12 cm) and the presence of surface features reduced the temperature by 14.6 degrees C and, while surface features had mixed effects on substrate moisture on the green roof, pebble piles slowed moisture loss during a 6-week drought in the glasshouse. 4. Following drought conditions, seedling density and species richness were greatest, relative to seeded controls, where substrate was deep on the green roof and where pebbles were present in glasshouse modules, despite high mortality overall. Design modifications did not result in differentiation of seedling communities among different microsite types. Species accumulation curves showed no difference in species richness between aggregates of modified vs. unaltered microsites. 5. Synthesis and applications. Redistribution of green roof substrate and the addition of logs and pebble piles altered microsite conditions and created habitat heterogeneity on a green roof. These design modifications represent a minimalist strategy to ameliorate growing conditions, improve seedling survival and decrease species loss on shallow substrate green roofs."
Kathryn,Sierra,,Weijerman,"Weijerman, Mariska; Gove, Jamison M.; Williams, Ivor D.; Walsh, William J.; Minton, Dwayne; Polovina, Jeffrey J.",Evaluating management strategies to optimise coral reef ecosystem services,JOURNAL OF APPLIED ECOLOGY,2018,"1. Earlier declines in marine resources, combined with current fishing pressures and devastating coral mortality in 2015, have resulted in a degraded coral reef ecosystem state at Puako in West Hawai'i. Changes to resource management are needed to facilitate recovery of ecosystem functions and services. 2. We developed a customised ecosystem model to evaluate the performance of alternative management scenarios at Puako in the provisioning of ecosystem services to human users (marine tourists, recreational fishers) and enhancing the reef's ability to recover from pressures (resilience). 3. Outcomes of the continuation of current management plus five alternative management scenarios were compared under both high and low coral-bleaching related mortality over a 15-year time span. 4. Current management is not adequate to prevent further declines in marine resources. Fishing effort is already above the multispecies sustainable yield, and, at its current level, will likely lead to a shift to algal-dominated reefs and greater abundance of undesirable fish species. Scenarios banning all gears other than line fishing, or prohibiting take of herbivorous fishes, were most effective at enhancing reef structure and resilience, dive tourism, and the recreational fishery. Allowing only line fishing generated the most balanced trade-off between stakeholders, with positive gains in both ecosystem resilience and dive tourism, while only moderately decreasing fishery value within the area. 5. Synthesis and applications. Our customised ecosystem model projects the impacts of multiple, simultaneous pressures on a reef ecosystem. Trade-offs of alternative approaches identified by local managers were quantified based on indicators for different ecosystem services (e.g. ecosystem resilience, recreation, food). This approach informs managers of potential conflicts among stakeholders and provides guidance on approaches that better balance conservation objectives and stake-holders' interests. Our results indicate that a combination of reducing land-based pollution and allowing only line fishing generated the most balanced trade-off between stakeholders and will enhance reef recovery from the detrimental effects of coral bleaching events that are expected over the next 15 years."
Kathryn,Aislyn,,Yates,"Yates, Adam G.; Culp, Joseph M.; Armanini, David G.; Baird, Donald J.; Jardine, Timothy D.; Orlofske, Jessica M.",Enhancing bioassessment approaches: development of a river services assessment framework,FRESHWATER SCIENCE,2019,"There has been a trend toward increasing anthropocentrism in definitions of river health through the explicit inclusion of societal valuation of ecosystem services provided by rivers. New frameworks and associated indicators of river health are therefore required to centralize ecosystem services within river assessment and management activities. Here, we adopt an anthropocentric conceptualization of rivers to focus on a river's ability to maintain ecological function and structure that support ecosystem services valued by society. We apply this approach to further existing conceptual models of river assessment by identifying how benthic indicators can be linked to valued ecosystem services in a river services assessment framework. This approach extends bioassessment from a focus on assessing departure from reference condition to also include the evaluation of rivers based on their delivery of ecosystem services. Indicators based on benthic processes and assemblages are widely used in river health assessments; thus, these are reviewed to identify those indicators most closely linked with the provision of river ecosystem services. Finally, we illustrate how our approach can be applied to management through contrasting watershed examples, including a highly modified agricultural region and relatively pristine Arctic watersheds. The proposed approach supports an explicit connection between valued ecosystem services and benthic indicators, providing more targeted assessment results for use in river management decision-making."
Kathryn,Laura,,Nyirambangutse,"Nyirambangutse, Brigitte; Zibera, Etienne; Uwizeye, Felicien K.; Nsabimana, Donat; Bizuru, Elias; Pleijel, Hakan; Uddling, Johan; Wallin, Goran",Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,BIOGEOSCIENCES,2017,"As a result of different types of disturbance, forests are a mixture of stands at different stages of ecological succession. Successional stage is likely to influence forest productivity and carbon storage, linking the degree of forest disturbance to the global carbon cycle and climate. Although tropical montane forests are an important part of tropical forest ecosystems (ca. 8 %, elevation > 1000m a.s.l.), there are still significant knowledge gaps regarding the carbon dynamics and stocks of these forests, and how these differ between early (ES) and late successional (LS) stages. This study examines the carbon (C) stock, relative growth rate (RGR) and net primary production (NPP) of ES and LS forest stands in an Afromontane tropical rainforest using data from inventories of quantitatively important ecosystem compartments in fifteen 0.5 ha plots in Nyungwe National Park in Rwanda. The total C stock was 35% larger in LS compared to ES plots due to significantly larger above-ground biomass (AGB; 185 and 76MgC ha(-1) in LS and ES plots), while the soil and root C stock (down to 45 cm depth in the mineral soil) did not significantly differ between the two successional stages (178 and 204MgC ha(-1) in LS and ES plots). The main reasons for the difference in AGB were that ES trees had significantly lower stature and wood density compared to LS trees. However, ES and LS stands had similar total NPP (canopy, wood and roots of all plots similar to 9.4MgC ha(-1)) due to counterbalancing effects of differences in AGB (higher in LS stands) and RGR (higher in ES stands). The AGB in the LS plots was considerably higher than the average value reported for old-growth tropical montane forest of south-east Asia and Central and South America at similar elevations and temperatures, and of the same magnitude as in tropical lowland forest of these regions. The results of this study highlight the importance of accounting for disturbance regimes and differences in wood density and allometry of tree species dominating at different successional stages in an attempt to quantify the C stock and sink strength of tropical montane forests and how they may differ among continents."
Kathryn,Travis,,Orford,"Orford, Katherine A.; Vaughan, Ian P.; Memmott, Jane",The forgotten flies: the importance of non-syrphid Diptera as pollinators,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,"Bees, hoverflies and butterflies are taxa frequently studied as pollinators in agricultural and conservation contexts. Although there are many records of non-syrphid Diptera visiting flowers, they are generally not regarded as important pollinators. We use data from 30 pollen-transport networks and 71 pollinator-visitation networks to compare the importance of various flower-visiting taxa as pollen-vectors. We specifically compare non-syrphid Diptera and Syrphidae to determine whether neglect of the former in the literature is justified. We found no significant difference in pollen-loads between the syrphid and non-syrphid Diptera. Moreover, there was no significant difference in the level of specialization between the two groups in the pollen-transport networks, though the Syrphidae had significantly greater visitation evenness. Flower visitation data from 33 farms showed that non-syrphid Diptera made up the majority of the flower-visiting Diptera in the agricultural studies (on average 82% abundance and 73% species richness), and we estimate that non-syrphid Diptera carry 84% of total pollen carried by farmland Diptera. As important pollinators, such as bees, have suffered serious declines, it would be prudent to improve our understanding of the role of non-syrphid Diptera as pollinators."
Kathryn,Isabel,model of ES seems more like a conceptual framework,Penaluna,"Penaluna, Brooke E.; Olson, Deanna H.; Flitcroft, Rebecca L.; Weber, Matthew A.; Bellmore, J. Ryan; Wondzell, Steven M.; Dunham, Jason B.; Johnson, Sherri L.; Reeves, Gordon H.",Aquatic biodiversity in forests: a weak link in ecosystem services resilience,BIODIVERSITY AND CONSERVATION,2017,"The diversity of aquatic ecosystems is being quickly reduced on many continents, warranting a closer examination of the consequences for ecological integrity and ecosystem services. Here we describe intermediate and final ecosystem services derived from aquatic biodiversity in forests. We include a summary of the factors framing the assembly of aquatic biodiversity in forests in natural systems and how they change with a variety of natural disturbances and human-derived stressors. We consider forested aquatic ecosystems as a multi-state portfolio, with diverse assemblages and life-history strategies occurring at local scales as a consequence of a mosaic of habitat conditions and past disturbances and stressors. Maintaining this multi-state portfolio of assemblages requires a broad perspective of ecosystem structure, various functions, services, and management implications relative to contemporary stressors. Because aquatic biodiversity provides multiple ecosystem services to forests, activities that compromise aquatic ecosystems and biodiversity could be an issue for maintaining forest ecosystem integrity. We illustrate these concepts with examples of aquatic biodiversity and ecosystem services in forests of northwestern North America, also known as Northeast Pacific Rim. Encouraging management planning at broad as well as local spatial scales to recognize multi-state ecosystem management goals has promise for maintaining valuable ecosystem services. Ultimately, integration of information from socio-ecological ecosystems will be needed to maintain ecosystem services derived directly and indirectly from forest aquatic biota."
