"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"63","Green roof plant species diversity improves ecosystem multifunctionality","No","25m","0","Sites","145 plantar trays each 360 mm x 360 mm x 120 mm","experimental manipulation of plants for green roofs, measured ecosystem service provision over 4 years","SDJ","Experimental",NA,"experimental manipulation of plants for green roofs, measured ecosystem service provision over 4 years"
"64","How good are tropical forest patches for ecosystem services provisioning?","No","10km;100km","1","Sites","16km2 plots subdivided into 1km2 subplots","","TK",NA,NA,NA
"65","Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile","Yes","1km;100Mgm","1","","Study area (1 only) extends over 13,175 km2, located in Central Chile. They subsampled the study area using a regular grid at 1000m distance, yielding 12,888 subsamples. Pixel res is 30m... so counting ""plot"" (unit of rep) as 12,800 plots at 900m2 size. Authors subsample (use regular grid) to avoid spatial autocorrelation, and use spatial pattern analysis to analyze structural connectors and spatial pattern of forest fragments. Use 30m for edge effects in spatial pattern analysis, and 100m for corridor network analysis.","Use combo of published landcover maps to delineate binary forest, non-forest in study area; use different remote sensing datasets (30m res, and WorldClim) to extract predictor variables; used INVEST model to project 2 types of ES's (carbon seq, erosion potential) and 3-step combo of models to project habitat suitability. Lots of data processing in this paper (goal is to demo a new approach to ID forest areas for restoration and regeneration).  They do use land cover maps from three different time points, but to project likely forest recovery without intervention. Not assessing temporal trends as part of study questions.","CW","Model/Data Simulation,Observational",NA,"Use combo of published landcover maps to delineate binary forest, non-forest in study area; use different remote sensing datasets (30m res, and WorldClim) to extract predictor variables; used INVEST model to project 2 types of ES's (carbon seq, erosion potential) and 3-step combo of models to project habitat suitability. Lots of data processing in this paper (goal is to demo a new approach to ID forest areas for restoration and regeneration).  They do use land cover maps from three different time points, but to project likely forest recovery without intervention. Not assessing temporal trends as part of study questions."
"66","Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems","No","25m;1km","0","","","*** THIS STUDY DID NOT TAKE PLACE IN AUSTRALIA. It was in New Zealand (Oceania)","NBD","Experimental,Observational",NA,"*** THIS STUDY DID NOT TAKE PLACE IN AUSTRALIA. It was in New Zealand (Oceania)"
"67","Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system","No","500m;1km","0","","3 experimental blocks (separated ""hundreds of meters apart), each containing 3 10x10m experimental units (used fencing to exclude unwanted grazers)","Test effects of three different grazing treatments on 12 biophysical variables as proxies for ES. Grazing treatments are full (pony, cow, and rabbit grazers present), rabbit-only, and abandoned (no grazers)","CW","Experimental",NA,"Test effects of three different grazing treatments on 12 biophysical variables as proxies for ES. Grazing treatments are full (pony, cow, and rabbit grazers present), rabbit-only, and abandoned (no grazers)"
"68","Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests","No","25m","0","Sites","119 sites with 20x1m vacuum samples of insects taken","","GV","Observational",NA,NA
"69","Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","No","500m;10km","0","","30 sites (data for each compiled from a 1km radius around the site (3.14km2)); within each site, 1 transect ('plot') was approx. 100m x 2m (200m2)","Uses pre-existing gradient of landscape heterogeneity and farms that are either conventional or have been organic for different amounts of time.","JL","Observational",NA,"Uses pre-existing gradient of landscape heterogeneity and farms that are either conventional or have been organic for different amounts of time."
"70","Landscape structure influences urban vegetation vertical structure","No","10km","0","Plots","they assess 1 km2 and 1 ha resolutions for LiDar data across all much of Brisbane","assessment of vegetation vertical structure in urban systems and the drivers of vertical structure heterogeneity in Brisbane at two spatial scales","SDJ","Observational,Other","LiDAR and previously measured/observed explanatory variables","assessment of vegetation vertical structure in urban systems and the drivers of vertical structure heterogeneity in Brisbane at two spatial scales"
"71","Local and broadscale landscape structure differentially impact predation of two potato pests","Yes","1km","1","","Eggs were placed into potato fields and their vegetated margins. There are 50 unique fields (sites), but that seems to be their smallest unit (plot) as well","","LB","Observational",NA,NA
"72","Mammal diversity influences the carbon cycle through trophic interactions in the Amazon","No","1km;100Mgm","0","","Unit of replication is 4 km long transects not plots","Unit of replication is transects, not plots","KCG",NA,NA,NA
"73","Managing ecosystems without prior knowledge: pathological outcomes of lake liming","No","1km","0","Sites","12 lakes, most of which were <1 sq. km, but some were larger","","GV",NA,NA,NA
"74","Managing ecosystems without prior knowledge: pathological outcomes of lake liming","No","25m","0","Plots","12 lakes analyzed of 4 different types (n=3)","","SDJ","Observational",NA,NA
"75","Modeling and predicting the growth of the mussel, Mytilus edulis: implications for planning of aquaculture and eutrophication mitigation","No","25m;1000km","1","","""Plots"" correspond to point location where mussels measured, but ultimately model maps to subset of Swedish coastline. No replication of coastlines modeled. Authors don't state area of coastlines mapped, but eyeballing scale bar and diffing boundary coordinates, is at least 200km^2","Paper is primarily a modeling study. Used experimental data from mussel transplants (data belong to lead author, written up in different study) as mussel growth data for model.","CW","Model/Data Simulation",NA,"Paper is primarily a modeling study. Used experimental data from mussel transplants (data belong to lead author, written up in different study) as mussel growth data for model."
"76","More is more? Forest management allocation at different spatial scales to mitigate conflicts between ecosystem services","Yes","10km;100Mgm","1","","Forest plots at different groupings of scale: 1 region 43000 ha, 16 watersheds 2700 ha, 228 Large Holdings 192 ha, 2537 Small Holdings 17 ha, 28886 stands 1.5 ha. Above stands = plots, site = region","","GV","Observational",NA,NA
"77","Perennial, species-rich wildflower strips enhance pest control and crop yield","Yes","1km","1","","See fig 2 caption Fig. 2. Effects of wildflower strips and wheat density on agronomic wheat yield (seed weight per m2 ). Wheat yield assessed on 5 m and 10 m from winter wheat fields adjacent to wildflower strips (filled squares; n = 10 fields) and winter wheat fields adjacent to control crops (empty points; n = 10 fields) in response to wheat density. Lines represent model-predicted yield and grey areas represent standard error intervals for fields adjacent to wildflower strips (solid line) and for fields adjacent to control crops (dashed line) based on the minimum adequate model containing flower strip treatment and wheat density as fixed effects.","Field experiments were conducted between April and July 2014. Twenty winter wheat fields (hereafter focal fields) were selected in the central Swiss plateau (cantons Zurich and Aargau) within an area representative of the typical agricultural landscape of the Swiss lowlands, characterized by a small-scaled mosaic of arable crops, grasslands and forest fragments. Focal fields (average size: 1.31 ha  0.14 ha) were selected in pairs, with similar agricultural management based on farmer interviews and similar landscape composition. ","LD","Experimental",NA,"Field experiments were conducted between April and July 2014. Twenty winter wheat fields (hereafter focal fields) were selected in the central Swiss plateau (cantons Zurich and Aargau) within an area representative of the typical agricultural landscape of the Swiss lowlands, characterized by a small-scaled mosaic of arable crops, grasslands and forest fragments. Focal fields (average size: 1.31 ha  0.14 ha) were selected in pairs, with similar agricultural management based on farmer interviews and similar landscape composition. "
"78","Performance of salmon fishery portfolios across western North America","Yes","100Mgm;100Gm","1","Plots","Confusing to report via table; there were originally 18 total sites between 2000 and 280000km2; For 13 of these chinook sites, they then aggregated sites spatially into six larger sites (70000 - 670000km2) and looked at both the smaller and larger scales.","","JL","Observational",NA,NA
"79","Preference of an insular flying fox for seed figs enhances seed dispersal of a dioecious species","No","100m;10km","0","","'Plots' were used for vegetation surveys; Separately, the authors repeatedly collected any samples found on a network of approx. 6km of trails across a 2.9km2 island (does not fit neatly into Q9)","","JL","Observational",NA,NA
"80","Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach","No","100Mgm","0","Plots","one region of the Flemish Region was modeled","using a cascade model, the authors quantify and value 16 ecosystem services for NATURA 2000 in Belgium","SDJ","Model/Data Simulation",NA,"using a cascade model, the authors quantify and value 16 ecosystem services for NATURA 2000 in Belgium"
"81","Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands","No","25m","0","Sites","150 grasslands, each with a 2x2m subplot from which soil was sampled","","GV","Observational",NA,NA
"82","Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method","Yes","101Gm","1","Plots","Remote sensing study, meaning there were no 'plots'. The whole landscape was 120 million km2. They compared trends across the landscape to trends in smaller eco-regions (n=4) and land classes (n=3) (area of each likely still over 1 million km2).","","JL","Model/Data Simulation,Observational",NA,NA
"83","Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands","No","1km","0","","27 paired remnant-old field(former ag) pine stands that are 4ha each (0.04km2); within each site there are 4-10 1ha (0.01km2) plots (126 plots total)","","CW","Experimental",NA,NA
