"","X","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"34",66,"Low tolerance of New Caledonian secondary forest species to savanna fires","No","unk",0,"Plots","4 sites across New Caledonia (see fig 1). No indication of plots ","","AIS","Model/Data Simulation,Observational",NA,NA
"35",67,"Machine learning for ecosystem services","No","unk",0,"Plots","Sicily, Italy and the country of South Africa are the two sites (land cover measurements and modelling)","machine learning methods with two case studies (Italy and South Africa)","AIS","Model/Data Simulation,Observational",NA,"machine learning methods with two case studies (Italy and South Africa)"
"36",68,"Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land","No","unk",0,"","said they sampled 5% of the 1502 vacant lots in all 5 boroughs of NYC so 75 lots but reported Ns in tables as 1502; didn't give size of lots/size of area monitored within each lot (so assume they looked at entire lot)","","IS","Observational",NA,NA
"37",69,"Mapping social-ecological vulnerability to inform local decision making","No","unk",1,"","Wall-to-wall map produced for all of French Moorea, at 5m pixel res, but doesn't say how big French Moorea is. Modeled ecological resilience of fisheries at 57 points with fish count data, then used boosted regression tree to extrapolate across all of French Moorea. They considered distance (2km radius) from fishing house in their model so to me that gets at connectivity a bit, but unit of analysis is planning unit (municipality for social vulnerability, n = 5; habitat type for ecological vulnerability, n = 6).. don't state size of municipalities or hab types..","Used a previously published model from the lead author to model fishing effort and ecological exposure around Moorea, collected data on spatially explicit indicators in a 6-month window, and used census data for social component","CW","Model/Data Simulation,Observational",NA,"Used a previously published model from the lead author to model fishing effort and ecological exposure around Moorea, collected data on spatially explicit indicators in a 6-month window, and used census data for social component"
"38",70,"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China","No","unk",0,"Sites","Whole study area is 216,500km2. Although there were no 'plots', where data were sub-divided further for analysis, this happened at the watershed scale (4280 watersheds of unknown size)","","JL","Model/Data Simulation,Observational",NA,NA
"39",72,"Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA)","No","unk",0,"","no watershed scale area listed, nor were plot areas (e.g. for forest inventory plots)","","IS","Experimental",NA,NA
"40",74,"Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models","No","unk",0,"Plots","They modeled over a huge area","Mapping project for urban centers in China looking at loss of soil carbon due to urbanization under three different management scenarios","SDJ","Model/Data Simulation,Other","CLUE0S and InVEST models","Mapping project for urban centers in China looking at loss of soil carbon due to urbanization under three different management scenarios"
"41",75,"Optimizing intermediate ecosystem services in agriculture using rules based on landscape composition and configuration indices","Yes","unk",1,"","These are hypothetical matrix data where the matrix consistent of larger farms (sites, N) and rows x columns of fields within each farm (n x n fields). For the study, authors chose 35 farms (sites) and  each farm is comprised of 5x5 fields (25 ""plots"" per site). No hypothetical area noted for size of sites and fields (not relevant to data exercise).","Study does not take place in any location. Is a hypothetical/conceptual modeling example. Researchers based in Denmark. ","CW","Model/Data Simulation",NA,"Study does not take place in any location. Is a hypothetical/conceptual modeling example. Researchers based in Denmark. "
"42",76,"Organic farming and host density affect parasitism rates of tortricid moths in vineyards","No","unk",0,"Plots","Sampling occurred across 79 vineyards; they sampled 100 plants at each over an unknown area (no real 'plots')","","JL","Observational",NA,NA
"43",77,"Organic farming promotes biotic resistance to foodborne human pathogens","No","unk",0,"","Measured feces removal in broccoli crop rows per farm site, but doesn't say how many rows treated with sentinel feces. One pit trap used per farm site, so assume 1 ""plot"" per site. 70 farm sites in study total. Doesn't specify area of farms or crop area studied at each farm.","Surveyed above and below ground beetle communities at 70 farm sites along US West Coast (WA, OR and CA), paired with complementary lab microcosm experiments to measure pig feces removal rates by beetles collected with organic farm sites vs. conventional farm sites. Can't find how many feces removal microcosm reps used. 4 reps per farm soil treatment (16 farms?) for soil community (bacterial diversity) microcosm experiment. Data collected over two years, but they do not model effect of time (it's more they needed that amount of time to sample all of their sites). Use a geospatial data layer to quantify land cover type (e.g. wetland, grassland, etc.) surrounding each farm.","CW","Experimental,Observational",NA,"Surveyed above and below ground beetle communities at 70 farm sites along US West Coast (WA, OR and CA), paired with complementary lab microcosm experiments to measure pig feces removal rates by beetles collected with organic farm sites vs. conventional farm sites. Can't find how many feces removal microcosm reps used. 4 reps per farm soil treatment (16 farms?) for soil community (bacterial diversity) microcosm experiment. Data collected over two years, but they do not model effect of time (it's more they needed that amount of time to sample all of their sites). Use a geospatial data layer to quantify land cover type (e.g. wetland, grassland, etc.) surrounding each farm."
"44",79,"Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","No","unk",0,"","There were up to 30 plots of unknown size used to collect trait data ","","LB","Model/Data Simulation,Observational",NA,NA
"45",81,"Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills","No","unk",0,"Sites","202 individual ranchers, each presumably with their own ranch of unknown size","Interviews of ranchers about their management and its effectiveness for control of an invasive starthistle","GV","Social survey/Interview",NA,"Interviews of ranchers about their management and its effectiveness for control of an invasive starthistle"
"46",82,"Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape","No","unk",0,"Plots","It's not clear how they collected their data or whether or not there are multiple sites.","","AK","Model/Data Simulation",NA,NA
"47",83,"Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks","No","unk",0,"Plots","Study sites were 19 national parks (of unknown size); Data were collected from multiple points along trails (<500m apart, but no set plots with an associated size). For Q10, some models included park identity as a spatial variable, but this did not reflect connectivity across sites (e.g., closer vs nearer sites)","I said 'no' to time, because although they mentioned that surveys were carried out over time to capture different birds in different seasons, I do not see this being incorporated into models","JL","Observational,Social survey/Interview",NA,"I said 'no' to time, because although they mentioned that surveys were carried out over time to capture different birds in different seasons, I do not see this being incorporated into models"
"48",84,"Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","No","unk",0,"","Each site broken down into 4 blocks with 8 plots in each for a total of 32 plots across 4 sites","","AK","Experimental",NA,NA
"49",85,"Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Yes","unk",1,"","Model ecosystem network for fore reef and lagoon (2 ""plots""? size of each not specified), for entire Moorea Island coral reef ecosystem (coastal waters of island is the ""site"", area not specified)","Used abundance and biomass data on different reef and lagoon species before, during, and after a few disturbances to parameterize ecosystem network analysis models","CW","Model/Data Simulation,Observational",NA,"Used abundance and biomass data on different reef and lagoon species before, during, and after a few disturbances to parameterize ecosystem network analysis models"
"50",86,"Recreational demand for clean water: evidence from geotagged photographs by visitors to lakes","Yes","unk",0,"Plots","They compiled data for over 1000 lakes in Iowa and Minnesota; lake size was accounted for as a variable in the model (hence the 'yes' for Q8), but the range/distribution of lake sizes were not provided","Although they conducted no surveys/interviews, per se, methods were somewhat related as they extracted information from geo-tagged citizen photos onlineof lakes","JL","Observational",NA,"Although they conducted no surveys/interviews, per se, methods were somewhat related as they extracted information from geo-tagged citizen photos onlineof lakes"
"51",87,"Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","No","unk",0,"","Modeled using global data, but did not specify size of the data that was used","","NBD","Model/Data Simulation",NA,NA
"52",90,"Seed dispersal effectiveness by a large-bodied invasive species in defaunated landscapes","No","unk",0,"","145 sampling sites (plots) across 14 study sites (sites)","","AIS","Experimental",NA,NA
"53",92,"Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover","No","unk",0,"","plots here are sampling locations within a 50-125m stretch of a stream","","AK",NA,NA,NA
"54",93,"Shadow conservation and the persistence of sacred church forests in northern Ethiopia","No","unk",0,"","sacred forest areas weren't reported; as for plot # and size, they performed three transects at each sacred forest sites and while transect width was set at 2m,  transect length ranged from 45 m–438 m","","IS","Observational",NA,NA
"55",96,"Stream corridors as indicators of watershed land use: A case study in Istanbul","No","unk",0,"","3 watersheds (sites). 66 sub-watersheds (plots). Watershed area provided, but without units","","AIS","Observational",NA,NA
"56",99,"The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta","No","unk",0,"","48 plant plots (plot) at one experimental site (site)","","AIS","Experimental",NA,NA
"57",103,"Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa","No","unk",0,"","5 landscapes = sites, ""n=640 observations per site"", ""745 plots""","five landscapes in 3 African countries studied for extent of soil erosion, vegetation cover and biomass, functional properties of the woody vegetation, and topsoil chemistry","SDJ","Observational",NA,"five landscapes in 3 African countries studied for extent of soil erosion, vegetation cover and biomass, functional properties of the woody vegetation, and topsoil chemistry"
"58",104,"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","No","unk",0,"","Lake and watershed scale, at least >1200 lakes and >300 watersheds in MN and WI. Large scale but unclear what size the lakes are. Watershed info: Wild rice, with an affinity for flowing water, is most often associated with streams and lakes on flowages, systems that are commonly managed using watershed approaches. ","We report three primary analyses: (1) Regional characteristics: geospatial analysis of the relationships between wild rice lakes, management regimes and wild rice harvest across the study region; (2) Patterns of harvest: analysis of harvester use and spatial rela- tionships to wild rice lakes through case studies, landing site visits and in-depth interviews; (3) Decision making regarding the open- ing of harvest: visits with managers and committees.","LD","Observational,Social survey/Interview",NA,"We report three primary analyses: (1) Regional characteristics: geospatial analysis of the relationships between wild rice lakes, management regimes and wild rice harvest across the study region; (2) Patterns of harvest: analysis of harvester use and spatial rela- tionships to wild rice lakes through case studies, landing site visits and in-depth interviews; (3) Decision making regarding the open- ing of harvest: visits with managers and committees."
