"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"25","Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?","No","25m;unk","0","","eight 18m2 plots at single experimental forest site","","AK","Experimental",NA,NA
"26","Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc","Yes","unk","0","","3 sites, 27 farms total, 5 plots per farm","","NBD","Observational",NA,NA
"27","Ecological consequences of invasive lake trout on river otters in Yellowstone National Park","No","unk;100km;1000km","0","","Two lakes, one 11km2 and the other 341 km2(sites). 4 plots per lake","","AIS","Observational",NA,NA
"28","Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management","Yes","unk;100Mgm","1","","164 municipalities (plots, size not specified) within the Barcelona Metropolitan Region (3244 km2)","","AIS","Model/Data Simulation,Observational",NA,NA
"29","Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","No","unk","0","","25 soil samples were used as base for both experiments, samples taken from 4 sites","","AK","Experimental",NA,NA
"30","Environmental Conservation and Social Benefits of Charcoal Production in Mozambique","No","unk","0","Plots","Study in one village, plots aren't relevant ","participatory process informed Bayesian Belief Network","AK","Model/Data Simulation,Social survey/Interview",NA,"participatory process informed Bayesian Belief Network"
"31","Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams","No","unk","0","","12 streams with 3 sample spots at each...size of sample site not specified. Distance between sites (Q10B) ranges from 67-824 meters, but not square meters! ","","AK","Experimental",NA,NA
"32","Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow","No","unk","0","","3 urban parks (plots) in 1 city (site)","","AIS","Observational",NA,NA
"33","Evidence of sustainable intensification among British farms","No","unk","0","Sites","20 farmers - presumably all farms are different sizes but the sizes are not reported","","CK","Social survey/Interview",NA,NA
"34","Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh","No","25m;unk","0","","four 0.25m2 quadrats were randomly placed in each of four microhabitats (bottom, slope, edge and flat) of a tidal creek","monitored distribution of crab burrows across microtopographic locations","IS","Observational",NA,"monitored distribution of crab burrows across microtopographic locations"
"35","Fishing impacts on the marine inorganic carbon cycle","No","unk","0","Plots","This is a modeling paper that uses some observed fish data from two other datasets (North Sea and Fiji reef), however, there is no information at all on the spatial nature of these observed data","","JL","Model/Data Simulation,Observational",NA,NA
"36","Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA","No","unk","0","","Study area on a dredge spoil island on Cape Fear River, NC(site). One natural reference marsh, 7 constructed marshes, 6 natural marshes (14 plots)","comparison between constructed and natural marshes","AIS","Experimental",NA,"comparison between constructed and natural marshes"
"37","Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand)","No","unk","0","","107 locations (i considered sites) but unclear how long transects were at each location for reporting 'plot' size","","IS","Observational",NA,NA
"38","Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses","No","500m;unk","0","","","modified plots, made observations about them","NBD","Experimental,Observational",NA,"modified plots, made observations about them"
"39","Forest Fire Severity Affects Host Plant Quality and Insect Herbivore Damage","No","unk","0","","","Used natural variation in burned areas to test the effect of fire on plant quality and insect damage","TM","Observational",NA,"Used natural variation in burned areas to test the effect of fire on plant quality and insect damage"
"40","Forest fragments modulate the provision of multiple ecosystem services","No","unk","0","Sites","34 soya bean fields of unclear size, but adjacent to varying sized forest fragments","","GV","Observational",NA,NA
"41","From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Yes","unk;100km","1","","1848 forest plots across 24 wildfire sites in CA. Sites varied in size from 129 to 104131 ha, so I used their average size, 112 km2, in the table above","","AIS","Model/Data Simulation,Observational",NA,NA
"42","Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems","No","100Mgm;unk","0","Plots","The six coffee agroforests chosen for this study were located in the municipality of Puntarenas, in San Luis de Monteverde, Costa Rica (10°17′ N, 84°48′ W) at 925–1100 m elevation. All agroforests were located within a 1-km2 area and each agroforest was 1–2 ha.; no indivation of exclosure size/size of area monitored for paired controls","","IS","Experimental",NA,NA
"43","Functional diversity increases ecological stability in a grazed grassland","No","50m;unk","0","","Eight 10m x 3m plots (plot). University of California Sierra Foothill Research Extension Center (site)","","AIS","Experimental",NA,NA
"44","Global evidence of positive impacts of freshwater biodiversity on fishery yields","No","1000km;100Mgm;unk","0","Plots","","using FAO data combined with IUCN data to calculate species richness; 100 countries - inland freshwater fisheries","LD","Observational",NA,"using FAO data combined with IUCN data to calculate species richness; 100 countries - inland freshwater fisheries"
"45","Global evidence of positive impacts of freshwater biodiversity on fishery yields","No","unk","0","","The analysis is done at the country level. There are 100 countries in the study.","Not sure if I should have checked the model box.","TK",NA,NA,NA
"46","Global warming affects the occurrence of stem borers in ecological engineering-based diversified farming ecosystems","No","unk","0","","Borers are caught in an insecticidal lamp in the reice paddies. Number of lamps not specified, at least 1. Rice paddy size not specified","","AIS","Observational",NA,NA
"47","Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","No","25m;unk","0","","22-40 quadrats in each site, two sites based on vegetation but size not stated","","AK","Observational",NA,NA
"48","Growing the urban forest: tree performance in response to biotic and abiotic land management","Yes","500m;unk","0","","one study sites with 54 x 225m2 plots","","JL","Experimental",NA,NA
"49","Habitat assessment of a restored oyster reef in South Texas","No","25m;unk","0","","had to calculate number of plots as 6 trays per site (total of 18 siteS) = 108; plots (trays) were only 0.44m2 but there is no bin here","created 1.5ha oyster reef complex and monitored oyster production","IS","Observational",NA,"created 1.5ha oyster reef complex and monitored oyster production"
"50","Habitat connectivity for pollinator beetles using surface metrics","No","unk","0","Sites","Unclear size of sample sites for beetles, used statewide Indiana raster layers for land cover","","GV","Observational",NA,NA
"51","Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands","No","25m;unk","0","","Used a survey of 355 sites (unknown size) which each had 5 1m2 plots","","JL","Model/Data Simulation,Observational",NA,NA
"52","How Do Biota Respond to Additional Physical Restoration of Restored Streams?","Yes","unk","0","","10 tributaries each with two reach types (basic and enhanced restoration) studied at each tributary; reaches 100m long each but unclear what riparian area studied at each; different plot numbers per sample type (e.g. ice or fish) so that is why I marked plot size as unclear","","IS","Observational",NA,NA
"53","Hydrological controls of fisheries production in a major Amazonian tributary","No","unk","0","Plots","Madeira river ","Dynamic factor analysis ","AK","Model/Data Simulation",NA,"Dynamic factor analysis "
"54","Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards","No","25m;unk","0","","Plot size is less than 1m^2!! (quadrat is only 25x50cm = 0.125m^2). 800 plots in total, across 5 sites. Doesn't state how big each site is. Although there are multiple sites, site is more categorical than of interest for scaling effects.","Sampled from 5 vineyards in Southern Okanogan Valley in BC, Canada. Recorded veg composition in 25x50cm quadrats (16 per mgmt type at site, or used blocked design to get to 16 to get equal number replicates per treatment across sites) and took 3 soil samples per quadrat. Soil samples pooled and homogenized for soil chemical analysis, and 0.5g per homogenized sample subsampled for DNA extraction (for fungi of interest). Used PCR to quantify fungi (interested in 2 groups)  ","CW","Observational",NA,"Sampled from 5 vineyards in Southern Okanogan Valley in BC, Canada. Recorded veg composition in 25x50cm quadrats (16 per mgmt type at site, or used blocked design to get to 16 to get equal number replicates per treatment across sites) and took 3 soil samples per quadrat. Soil samples pooled and homogenized for soil chemical analysis, and 0.5g per homogenized sample subsampled for DNA extraction (for fungi of interest). Used PCR to quantify fungi (interested in 2 groups)  "
"55","Influence of land use on water quality in a tropical landscape: a multi-scale analysis","Yes","unk","1","Sites","for plots, I'm referring to the number of places they collected water quality data, may not be true plots","","AK","Observational",NA,NA
"56","Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil","No","100m;unk","0","","18 10x10m plots across 1 study site (a reserve in SE amazon in Brazil, doesn't say how large reserve is)","Use allometric relationships and biomass models from other studies to estimate aboveground and root biomass for trees; in field measures = tree DBH, site slope and altitude, recorded plant cover, and collected soil samples at three depths","CW","Model/Data Simulation,Observational",NA,"Use allometric relationships and biomass models from other studies to estimate aboveground and root biomass for trees; in field measures = tree DBH, site slope and altitude, recorded plant cover, and collected soil samples at three depths"
"57","Intra- and interspecific differences in nutrient recycling by European freshwater fish","No","unk","0","Sites","4 rivers were sampled","","CK","Observational",NA,NA
"58","Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index","No","unk","0","Plots","unit of replication was a US county. 256 counties in 15 US states. ","modeled life satisfaction over time in counties affected by Emerald Ash Borer","SDJ","Observational,Other","quasi experimental","modeled life satisfaction over time in counties affected by Emerald Ash Borer"
"59","Land use affects dung beetle communities and their ecosystem service in forests and grasslands","No","unk;100Mgm","0","","3 regions each with 50 grasslands, 50 in forests, each 10,000m2 in size; used some transects to do pitfall traps but unclear what length/area those covered in terms of the plot # question","","IS","Observational",NA,NA
"60","Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","No","unk","0","Plots","Used 18 agricultural fields but does not specify how the range in sizes","","TM","Experimental",NA,NA
"61","Landscape structure influences bee community and coffee pollination at different spatial scales","Yes","500m;unk;100m","1","","need to update this bc cant unselect . These three radii (2 km, 1 km and 300 m) were considered three different spatial scales in order to cover the “scales of effect” of bees with different foraging distances","Pollinator exclusion experiments were performed in all 15 of them, while we collected floral visitors on 10","LD","Experimental",NA,"Pollinator exclusion experiments were performed in all 15 of them, while we collected floral visitors on 10"
"62","Large frugivorous birds facilitate functional connectivity of fragmented landscapes","Yes","unk","1","","1 study site (Oribi Gorge Nature Reserve), but doesn't say how big it is. I am considering ""patch"" as a plot, but patch size is variable (min = 0.0016 km2, max = 74.29 km2, mean = 2.16 km2) and was drawn after seeing where birds went. There were 103 total patches deliniated.","Monitored flight pathways of frugivores to track seed dispersal across different habitat types using remote sensing data (for habitat types) and male bird daytime migrations using GPS (mist netted bird, banded with GPS units to record location every 15min), downloaded GPS data via VHF receivers. Study in South Africa. Tracked 30 birds (9 in breeding season, 21 in non-breeding season) for 543 days ","CW","Observational",NA,"Monitored flight pathways of frugivores to track seed dispersal across different habitat types using remote sensing data (for habitat types) and male bird daytime migrations using GPS (mist netted bird, banded with GPS units to record location every 15min), downloaded GPS data via VHF receivers. Study in South Africa. Tracked 30 birds (9 in breeding season, 21 in non-breeding season) for 543 days "
"63","Larger Area Facilitates Richness-Function Effects in Experimental Microcosms","Yes","25m;unk","0","","listed number of dish sizes as site number; number of microcosms unclear","","IS","Experimental",NA,NA
"64","Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests","No","25m;unk","0","","8 replicate 1 m2 quatrats (plots) at each of 3 sites per region. 4 regions","","AIS","Observational",NA,NA
"65","Low tolerance of New Caledonian secondary forest species to savanna fires","No","unk","0","Plots","4 sites across New Caledonia (see fig 1). No indication of plots ","","AIS","Model/Data Simulation,Observational",NA,NA
"66","Machine learning for ecosystem services","No","unk","0","Plots","Sicily, Italy and the country of South Africa are the two sites (land cover measurements and modelling)","machine learning methods with two case studies (Italy and South Africa)","AIS","Model/Data Simulation,Observational",NA,"machine learning methods with two case studies (Italy and South Africa)"
"67","Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land","No","unk","0","","said they sampled 5% of the 1502 vacant lots in all 5 boroughs of NYC so 75 lots but reported Ns in tables as 1502; didn't give size of lots/size of area monitored within each lot (so assume they looked at entire lot)","","IS","Observational",NA,NA
"68","Mapping social-ecological vulnerability to inform local decision making","No","unk","1","","Wall-to-wall map produced for all of French Moorea, at 5m pixel res, but doesn't say how big French Moorea is. Modeled ecological resilience of fisheries at 57 points with fish count data, then used boosted regression tree to extrapolate across all of French Moorea. They considered distance (2km radius) from fishing house in their model so to me that gets at connectivity a bit, but unit of analysis is planning unit (municipality for social vulnerability, n = 5; habitat type for ecological vulnerability, n = 6).. don't state size of municipalities or hab types..","Used a previously published model from the lead author to model fishing effort and ecological exposure around Moorea, collected data on spatially explicit indicators in a 6-month window, and used census data for social component","CW","Model/Data Simulation,Observational",NA,"Used a previously published model from the lead author to model fishing effort and ecological exposure around Moorea, collected data on spatially explicit indicators in a 6-month window, and used census data for social component"
"69","Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China","No","unk","0","Sites","Whole study area is 216,500km2. Although there were no 'plots', where data were sub-divided further for analysis, this happened at the watershed scale (4280 watersheds of unknown size)","","JL","Model/Data Simulation,Observational",NA,NA
"70","Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","No","unk;100Mgm","0","","Using remote sensing data at multiple scales for different variables, such that NDVI was and 1km X 1km scale whereas land use and elevation was at 30m x 30m scale","","TM","Observational",NA,NA
"71","Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA)","No","unk","0","","no watershed scale area listed, nor were plot areas (e.g. for forest inventory plots)","","IS","Experimental",NA,NA
"72","Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures","No","25m;unk","0","","3 wood-pasture sites, n=4 for each microhabitat for a total of 12 samples for each type","in agroforestry there are 5 microhabitat types (with low-intensity management). They looked at differences by microsite in soil chemical fertility (5 main measurements) and decomposition food webs (4 main groups of soil fauna). Goal was to inform management decisions to continue as is ... more heterogeneous mosaic is better","SDJ","Observational",NA,"in agroforestry there are 5 microhabitat types (with low-intensity management). They looked at differences by microsite in soil chemical fertility (5 main measurements) and decomposition food webs (4 main groups of soil fauna). Goal was to inform management decisions to continue as is ... more heterogeneous mosaic is better"
"73","Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models","No","unk","0","Plots","They modeled over a huge area","Mapping project for urban centers in China looking at loss of soil carbon due to urbanization under three different management scenarios","SDJ","Model/Data Simulation,Other","CLUE0S and InVEST models","Mapping project for urban centers in China looking at loss of soil carbon due to urbanization under three different management scenarios"
"74","Optimizing intermediate ecosystem services in agriculture using rules based on landscape composition and configuration indices","Yes","unk","1","","These are hypothetical matrix data where the matrix consistent of larger farms (sites, N) and rows x columns of fields within each farm (n x n fields). For the study, authors chose 35 farms (sites) and  each farm is comprised of 5x5 fields (25 ""plots"" per site). No hypothetical area noted for size of sites and fields (not relevant to data exercise).","Study does not take place in any location. Is a hypothetical/conceptual modeling example. Researchers based in Denmark. ","CW","Model/Data Simulation",NA,"Study does not take place in any location. Is a hypothetical/conceptual modeling example. Researchers based in Denmark. "
"75","Organic farming and host density affect parasitism rates of tortricid moths in vineyards","No","unk","0","Plots","Sampling occurred across 79 vineyards; they sampled 100 plants at each over an unknown area (no real 'plots')","","JL","Observational",NA,NA
"76","Organic farming promotes biotic resistance to foodborne human pathogens","No","unk","0","","Measured feces removal in broccoli crop rows per farm site, but doesn't say how many rows treated with sentinel feces. One pit trap used per farm site, so assume 1 ""plot"" per site. 70 farm sites in study total. Doesn't specify area of farms or crop area studied at each farm.","Surveyed above and below ground beetle communities at 70 farm sites along US West Coast (WA, OR and CA), paired with complementary lab microcosm experiments to measure pig feces removal rates by beetles collected with organic farm sites vs. conventional farm sites. Can't find how many feces removal microcosm reps used. 4 reps per farm soil treatment (16 farms?) for soil community (bacterial diversity) microcosm experiment. Data collected over two years, but they do not model effect of time (it's more they needed that amount of time to sample all of their sites). Use a geospatial data layer to quantify land cover type (e.g. wetland, grassland, etc.) surrounding each farm.","CW","Experimental,Observational",NA,"Surveyed above and below ground beetle communities at 70 farm sites along US West Coast (WA, OR and CA), paired with complementary lab microcosm experiments to measure pig feces removal rates by beetles collected with organic farm sites vs. conventional farm sites. Can't find how many feces removal microcosm reps used. 4 reps per farm soil treatment (16 farms?) for soil community (bacterial diversity) microcosm experiment. Data collected over two years, but they do not model effect of time (it's more they needed that amount of time to sample all of their sites). Use a geospatial data layer to quantify land cover type (e.g. wetland, grassland, etc.) surrounding each farm."
"77","Partitioning spatial, environmental, and community drivers of ecosystem functioning","Yes","unk;100Gm","1","","36 stream sampling locations (""plots""), across 3 regions (""sites""). 2 regions had 10 stream sampling locations, and 1 region had 16. I looked in the supplement for info on area, not clear for either how long their sampling reach was, nor the area of the region.. although looking at the scale bar on their map in the supplement, would guess each region is somewhere between 120km^2 and 150km^2, so that puts the regions in the 100,000 km^2 - 1,000,000 km2 bin","Sampled 36 stream sites across 3 regions in Sweden, no manipulations applied to streams, site selected based on location and quality (reference vs. more human influenced), selected for environmental gradients within each of 3 regions, but anthro activity within each region varied; use trait data from online databases or other published studies; used Moran's Eigenvector Maps (MEM) to model spatial structuring of collected EF data, and then applied variance partitioning to assess how much spatial location, environ variables, and spp community explains variability in data, both within and between 3 regions","CW","Model/Data Simulation,Observational",NA,"Sampled 36 stream sites across 3 regions in Sweden, no manipulations applied to streams, site selected based on location and quality (reference vs. more human influenced), selected for environmental gradients within each of 3 regions, but anthro activity within each region varied; use trait data from online databases or other published studies; used Moran's Eigenvector Maps (MEM) to model spatial structuring of collected EF data, and then applied variance partitioning to assess how much spatial location, environ variables, and spp community explains variability in data, both within and between 3 regions"
"78","Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change","No","unk","0","","There were up to 30 plots of unknown size used to collect trait data ","","LB","Model/Data Simulation,Observational",NA,NA
"79","Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function","No","500m;unk","0","","36–1.6km2 for land survey and FIA is maybe less. Current forested carbon storage was approximately 5 TgC, or 2% of historical carbon storage, based on 30,000 ha of forested land. The restora- tion potential from about 50,000 ha of marginal agricultural land currently in crops combined would result in total forested carbon storage of 23 TgC, an increase of about five-fold, after trees have matured and soil has developed moderate carbon capacity.","uses USDA Forest Inventory and United States General Land Office (GLO) surveys. We used the latest cycles from Arkansas during 2006–2010 (63% of trees), Mis- sissippi during 2009–2011 (20% of trees), and Missouri during 2004–2008 (8% of trees), as well as four other states","LD","Model/Data Simulation,Observational",NA,"uses USDA Forest Inventory and United States General Land Office (GLO) surveys. We used the latest cycles from Arkansas during 2006–2010 (63% of trees), Mis- sissippi during 2009–2011 (20% of trees), and Missouri during 2004–2008 (8% of trees), as well as four other states"
"80","Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills","No","unk","0","Sites","202 individual ranchers, each presumably with their own ranch of unknown size","Interviews of ranchers about their management and its effectiveness for control of an invasive starthistle","GV","Social survey/Interview",NA,"Interviews of ranchers about their management and its effectiveness for control of an invasive starthistle"
"81","Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape","No","unk","0","Plots","It's not clear how they collected their data or whether or not there are multiple sites.","","AK","Model/Data Simulation",NA,NA
"82","Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks","No","unk","0","Plots","Study sites were 19 national parks (of unknown size); Data were collected from multiple points along trails (<500m apart, but no set plots with an associated size). For Q10, some models included park identity as a spatial variable, but this did not reflect connectivity across sites (e.g., closer vs nearer sites)","I said 'no' to time, because although they mentioned that surveys were carried out over time to capture different birds in different seasons, I do not see this being incorporated into models","JL","Observational,Social survey/Interview",NA,"I said 'no' to time, because although they mentioned that surveys were carried out over time to capture different birds in different seasons, I do not see this being incorporated into models"
"83","Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management","No","unk","0","","Each site broken down into 4 blocks with 8 plots in each for a total of 32 plots across 4 sites","","AK","Experimental",NA,NA
"84","Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches","Yes","unk","1","","Model ecosystem network for fore reef and lagoon (2 ""plots""? size of each not specified), for entire Moorea Island coral reef ecosystem (coastal waters of island is the ""site"", area not specified)","Used abundance and biomass data on different reef and lagoon species before, during, and after a few disturbances to parameterize ecosystem network analysis models","CW","Model/Data Simulation,Observational",NA,"Used abundance and biomass data on different reef and lagoon species before, during, and after a few disturbances to parameterize ecosystem network analysis models"
