"Round2_reviewer","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Aislyn",548,0,"Isabel",NA,"Clements","Manager strategies and user demands: Determinants of cultural ecosystem service bundles on private protected areas","Clements, Hayley S.; Cumming, Graeme S.","ECOSYSTEM SERVICES","There has been limited consideration of the dynamic interactions between ecosystem service supply and demand. For self-funded private protected areas (PPAs), managers' abilities to provide cultural ecosystem services (CESs) for which tourists are willing to pay may be critical to their sustainability. We predicted that a PPA's management strategy would reflect the CES preferences of its visitors. Four CES bundles were identified across 21 South African PPAs: ""safari experience"", ""sense of place"", ""natural history"", and ""recreation"". Patterns in visitor preference for these bundles were strongly aligned with patterns in PPA management attributes. Preference for safari experience was documented on large PPAs with many game species and expensive, guided activities. Sense of place PPAs were small with few game species and cheap, self-guided activities. Natural history PPAs provided guided ecotourism to high quantities of day and overnight visitors, while recreation PPAs offered consumptive activities like hunting and fishing to small numbers of overnight visitors. Through their demand for specific CESs, PPA visitors both influence and respond to the management of PPAs' ecological and socioeconomic attributes. Dynamic interactions between the demands of users and the strategies managers adopt to meet these demands can be important drivers of ecosystem service provision. (C) 2017 Elsevier B.V. All rights reserved.","DEC",2017
"Aislyn",1050,1,"Travis",NA,"Elands","Policy interpretations and manifestation of biocultural diversity in urbanized Europe: conservation of lived biodiversity","Elands, Birgit H. M.; Wiersum, K. Freerk; Buijs, Arjen E.; Vierikko, Kati","BIODIVERSITY AND CONSERVATION","Biocultural diversity, which refers to the inextricable link between biodiversity and cultural diversity, has been predominantly associated with the traditional ways in which indigenous people in tropical countries interact with the natural environment. But it does not have to be restricted to these circumstances. Biocultural diversity may also be regarded as an interesting concept for understanding how people in industrialized and globalized societies deal with nature. This paper explores biocultural diversity in 20 European cities by considering (i) how biocultural diversity is interpreted in urban planning and governance, and (ii) what actual manifestations of biocultural diversity are present in these cities. Despite the fact that the concept of biocultural diversity was hardly recognized by city authorities, interviewees gave many examples of how biodiversity and cultural diversity are taken into account in (in) formal city policies. The research revealed two main manifestations of biocultural diversity within urban Europe: biocultural diversity grounded in ecological features, and cultural values as a basic foundation for biocultural diversity. Consequently, urban biocultural diversity was found to have two spatial levels: the city level and the site level. The former is the domain of governmental policy makers who discuss biocultural diversity in 'green space networks' in a rather static way. The latter is the domain where citizens participate in decisionmaking and the management of green spaces; it is here that cultural dynamics are most acknowledged.","DEC",2015
"Aislyn",670,1,"Laura",NA,"Forbes","Oecophylla smaragdina ants provide pest control in Australian cacao","Forbes, Samantha J.; Northfield, Tobin D.","BIOTROPICA","Ecosystem service-driven methods of agricultural production that make optimal use of an ecosystem's natural services are often effective in smallholder crops, leading increases in habitat heterogeneity at large spatial scales that encourage beneficial species. Pollination services in cacao farms can be enhanced through efforts to conserve pollinator habitats, such as adding cacao fruit husks underneath trees to provide habitat and food resources for midge pollinators. However, it remains unclear how this habitat manipulation affects pest densities or biological control. Here, we evaluated the effects of the predaceous ant Oecophylla smaragdina on three major pests of Australian cacao (Helopeltis spp., Amblypelta spp., and Rhyparida nitida) in an Australian cacao farm, in the presence and absence of cacao fruit husks. We also evaluated the effect of O.smaragdina on their potentially plant-damaging, mutualistic mealybug (Pseudococcidae) partners in the presence and absence of cacao fruit husks. Oecophylla smaragdina reduced the combined densities of Helopeltis spp. and Amblypelta spp., regardless of cacao fruit husk addition. The ants also reduced the densities of R.nitida in the absence of cacao fruit husks, but R.nitida densities were naturally low in the experimental plots that received the addition of cacao fruit husks, regardless of ant presence. In contrast, ants generally increased the densities of mealybugs. These data suggest that O.smaragdina ants provide pest control services for three major insect pests in Australian cacao farms. Furthermore, this control may be compatible with habitat manipulations (i.e., the addition of cacao fruit husks) to improve pollinator habitat.","MAY",2017
"Aislyn",836,0,"Julie","In theory, links land management type to forest composition and richness, and then to provisioning and other ES's; statistical assessment may be strongest for the first linkage","Franco de Souza","Ecological outcomes and livelihood benefits of community-managed agroforests and second growth forests in Southeast Brazil","Franco de Souza, Saulo E. X.; Vidal, Edson; Chagas, Germano de Freitas; Elgar, Amelia T.; Brancalion, Pedro H. S.","BIOTROPICA","The Forest and Landscape Restoration movement has emerged as an approach to reconcile biodiversity conservation, ecosystem services provisioning and human well-being in degraded landscapes, but little is known so far about the potential of different reforestation methods to achieve these objectives. Based on this gap, we assessed the ecological outcomes and local livelihood benefits of community-managed agroforests and second growth forests to assist natural regeneration in the coastal Atlantic Forest of Brazil. We investigated and compared agroforests and secondary forests according to their structure and floristic composition in 51 circular plots of 314 m(2), their role in supporting local livelihoods (45 semi-structured interviews) and the use and cultural importance of plant species (61 interviews). Agroforests and, more remarkably, managed secondary forests (1) re-established a well-developed forest structure, with a higher density of tree-sized individuals and similar basal area compared to nearby old growth forests; (2) were composed by a rich array of native species, including five threatened species, but had lower species richness than old growth remnants; and (3) improved local livelihoods by supplying market valuable and culturally important plants, including 231 native ethnospecies. Overall, local production systems showed remarkable potential to engage smallholders of developing tropical countries in Forest and Landscape Restoration and contribute to achieve its overall goals. We advocate the promotion of these systems as effective Forest and Landscape Restoration approaches in multi-scale programs and policies. Abstract in Portuguese is available with online material.","NOV",2016
"Aislyn",1576,0,"Grant",NA,"Garcia","Species richness matters for the quality of ecosystem services: a test using seed dispersal by frugivorous birds","Garcia, Daniel; Martinez, Daniel","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","The positive link between biodiversity and ecosystem functioning is a current paradigm in ecological science. However, little is known of how different attributes of species assemblages condition the quality of many services in real ecosystems affected by human impact. We explore the links between the attributes of a frugivore assemblage and the quantitative and qualitative components of its derived ecosystem service, seed dispersal, along a landscape-scale gradient of anthropogenic forest loss. Both the number and the richness of seeds being dispersed were positively related to frugivore abundance and richness. Seed dispersal quality, determined by the fine-scale spatial patterns of seed deposition, mostly depended on frugivore richness. In fact, richness was the only attribute of the frugivore assemblage affecting the probability of seed dispersal into deforested areas of the landscape. The positive relationships between frugivore richness per se (i.e. independent of frugivore abundance and composition) and all components of seed dispersal suggest the existence of functional complementarity and/or facilitation between frugivores. These links also point to the whole assemblage of frugivores as a conservation target, if we aim to preserve a complete seed dispersal service and, hence, the potential for vegetation regeneration and recovery, in human-impacted landscapes.","43684",2012
"Aislyn",1789,1,"Nick",NA,"Glover","Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Glover, Jerry D.; Culman, Steve W.; DuPont, S. Tianna; Broussard, Whitney; Young, Lauren; Mangan, Margaret E.; Mai, John G.; Crews, Timothy E.; DeHaan, Lee R.; Buckley, Daniel H.; Ferris, Howard; Turner, R. Eugene; Reynolds, Heather L.; Wyse, Donald L.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Perennial vegetation can provide multiple ecosystem services essential for sustainable production more effectively than production systems based on annual crops. However, the ability of annually harvested, unfertilized perennial systems to sustain long-term yields while also maintaining ecosystem services has not been widely studied. Here we compare the impacts of harvested perennial grass and annual crop fields on ecosystem functioning in KS, USA. Despite the lack of mineral fertilizer applications, the aboveground harvests of perennial fields yielded similar levels of N compared to those of conventional high-input wheat (Triticum aestivum) fields and at only 8% of the in-field energy costs. Their 75-yr cumulative N yield per ha was approximately 23% greater than that from the region's wheat fields. In terms of aboveground food webs, perennial fields harboured greater numbers and/or diversity of insect pollinators, herbivores and detritivores. Belowground, perennial grass fields maintained 43 Mg ha(-1) more soil carbon and 4 Mg ha(-1) more soil nitrogen than annual crop fields in the surface 1 m. Soil food webs in perennial fields, as indicated by nematode communities, exhibited greater food web complexity and stability than did those in annual crop fields. In surrounding watersheds, increased annual cropland was correlated with higher riverine nitrate-nitrogen levels. Given their benefits, harvested perennial grasslands provide valuable ecological benchmarks for agricultural sustainability. (C) 2009 Elsevier B.V. All rights reserved.","43570",2010
"Aislyn",814,1,"Julie","They attempt to go beyond community diversity to functional diversity, which appears to be inferred as a proxy for resilience to change.","Grossmann","Trade-off between taxon diversity and functional diversity in European lake ecosystems","Grossmann, Lars; Beisser, Daniela; Bock, Christina; Chatzinotas, Antonis; Jensen, Manfred; Preisfeld, Angelika; Psenner, Roland; Rahmann, Sven; Wodniok, Sabina; Boenigk, Jens","MOLECULAR ECOLOGY","Inferring ecosystem functioning and ecosystem services through inspections of the species inventory is a major aspect of ecological field studies. Ecosystem functions are often stable despite considerable species turnover. Using metatranscriptome analyses, we analyse a thus-far unparalleled freshwater data set which comprises 21 mainland European freshwater lakes from the Sierra Nevada (Spain) to the Carpathian Mountains (Romania) and from northern Germany to the Apennines (Italy) and covers an altitudinal range from 38 m above sea level (a.s.l) to 3110 m a.s.l. The dominant taxa were Chlorophyta and streptophytic algae, Ciliophora, Bacillariophyta and Chrysophyta. Metatranscriptomics provided insights into differences in community composition and into functional diversity via the relative share of taxa to the overall read abundance of distinct functional genes on the ecosystem level. The dominant metabolic pathways in terms of the fraction of expressed sequences in the cDNA libraries were affiliated with primary metabolism, specifically oxidative phosphorylation, photosynthesis and the TCA cycle. Our analyses indicate that community composition is a good first proxy for the analysis of ecosystem functions. However, differential gene regulation modifies the relative importance of taxa in distinct pathways. Whereas taxon composition varies considerably between lakes, the relative importance of distinct metabolic pathways is much more stable, indicating that ecosystem functioning is buffered against shifts in community composition through a functional redundancy of taxa.","DEC",2016
"Aislyn",645,1,"Laura",NA,"Han","Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Han, Huiqing; Dong, Yuxiang","TROPICAL ECOLOGY","Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services.","JUL",2017
"Aislyn",722,1,"Caitlin","Counts of insect predators as proxy for biological control on crop herbivore pests (ES)","Heimoana","Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests","Heimoana, Viliami; Pilkington, Leigh J.; Raman, A.; Mitchell, Andrew; Nicol, Helen I.; Johnson, Anne C.; Gurr, Geoff M.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","There is mounting evidence that non-crop vegetation can promote natural enemies of crop pests but most studies use only one or a few approaches to explore key processes. Here we integrate field sampling, insect marking, insecticide disruption, and molecular gut content analysis to explore the potential value of non-crop habitats to predators of brassica pests in temperate Australia. Twelve monthly surveys of 13 farms established that an exotic ladybird (Hippodamia variegata) and a native lacewing (Micromus tasmaniae) were numerically dominant predatory arthropod species in brassica crops and present in adjacent perennial pasture, bushland and riparian vegetation. We applied dye to non-crop vegetation on three sites and subsequently sampled predators from adjacent brassica crops. Relatively large proportions of H. variegata and M. tasmaniae were marked, especially close to the non-crop vegetation though also extending 100 m into the crop, indicating predator immigration into the crop. In a third study, predators were monitored in three brassica crops after the host farmers sprayed insecticide to control what they considered to be excessive pest densities. Within two days, H. variegata and M. tasmaniae adults were present in the crops and numbers increased significantly over 12 days showing rapid crop recolonisation. Finally, molecular gut analysis indicated large proportions of both predator species sampled from non-crop (non-brassica) vegetation contained DNA of brassica-specialist herbivores suggesting predator movement from crop to non-crop vegetation, possibly to access nectar. Findings demonstrate H. variegata and M. tasmaniae are likely to be important predators of brassica pests in the region and expand our understanding of the significance of non-crop vegetation for coccinellids and lacewings. (C) 2017 Elsevier B.V. All rights reserved.","43511",2017
"Aislyn",1367,1,"Laurel",NA,"Holdaway","Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing","Holdaway, Robert J.; Rose, Alan B.; Newell, Claire L.; Carswell, Fiona E.","NEW ZEALAND JOURNAL OF ECOLOGY","Many of New Zealand's natural and induced tussock grasslands are in a degraded low-biomass state due to a combination of fire, overgrazing and weed invasion. The capacity of degraded grasslands to recover biomass is uncertain because legacies of degradation can strongly influence the demographic processes controlling ecosystem recovery. We develop a conceptual framework for understanding biomass carbon (C) flux in degraded perennial grassland based on demographic processes of growth, mortality and recruitment. We apply this framework to 22 years of data from Chionochloa- and Festuca-dominated perennial tussock grassland in the South Island high country, sampling two grazed sites and two sites retired from domestic grazing. Total biomass C stocks were assessed at site level using 174 temporary plots measured in 1989 and 2011. Long-term demographics were monitored using 24 permanent plots in which 7213 individual tussocks were tagged and monitored every 1-5 years from 1989 to 2011. Although biomass C stocks were generally low (2159 +/- 494 kg C ha(-1)), there was a significant increase in total biomass C over the 22-year period at the north-facing retired site of 92 +/- 47 kg C ha(-1) year(-1). Increases in total biomass C were generally due to recruitment and growth of tall tussock (Chionochloa spp.) and/or woody shrubs. Biomass C stock in grazed sites, and the retired south-facing site, declined by up to 65 kg C ha(-1) year(-1) or remained constant. Declines were due to dieback of the dominant short tussock (Festucanovae-zelandiae) across all treatments, and a lack of recruitment of tall tussock and shrub species. Our results suggest that retirement from grazing was not sufficient to ensure total biomass C gains after 22 years, and highlight the roles of recruitment limitation, shrub establishment and management history in controlling ecosystem recovery.",NA,2014
