"Round2_reviewer1","Round2_reviewer2","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Aislyn","Grant",733,2,"Laura",NA,"Graca","Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables","Graca, Marisa S.; Goncalves, Joao F.; Alves, Paulo J. M.; Nowak, David J.; Hoehn, Robert; Ellis, Alexis; Farinha-Marques, Paulo; Cunha, Mario","ECOSYSTEM SERVICES","Knowledge regarding Ecosystem Services (ES) delivery and the socio-ecological factors that influence their proficiency is essential to allow cities to adopt policies that lead to resource-efficient planning and greater resilience. As one of the matrix elements of urban ecological structure, vegetation may play a major role in promoting ES proficiency through planting design. This research addresses the heterogeneity of ES delivered by the urban vegetation of Porto, a Portuguese city. A methodology is proposed to investigate associations between socioeconomic indicators and structural variables of the urban forest, and also which structural variables of the urban forest, if any, differ along a socioeconomic gradient. Our results reveal that before setting planning and management goals, it is crucial to understand local patterns of ES and their relationships with socioeconomic patterns, which can be affected by variables such as building age. This should be followed by the identification of structural variables of the urban forest that better explain the differences, in order to target these through planning and management goals. The conceptual framework adopted in this research can guide adaptation of our methodology to other cities, providing insights for planning and management suitable to site-specific conditions and directly usable by stakeholders.","FEB",2017
"Aislyn","Grant",1855,0,"Nick",NA,"Hyvonen","Arable weeds as indicators of agricultural intensity - A case study from Finland","Hyvonen, Terho; Huusela-Veistola, Erja","BIOLOGICAL CONSERVATION","The study aimed at developing an agro-biodiversity indicator based on trophic interactions between 25 common arable weeds and individual groups of farmland birds, pollinators (wild bees), phytophagous insects and insect pests. Each weed species was weighted based on the number of reported linkages with each animal group. Four biodiversity indices based on these weights were constructed and applied to exploring the ecological consequences of long-term changes in weed populations in Finland. Data were used from weed surveys of Finnish spring cereal fields conducted in the 1960s, 1980s and 1990s. The relative importance of weed species varied according to animal groups. Annual weed species able to produce numerous seeds were important for the farmland birds and some perennial weed species were important for the pollinators. The highest number of linkages was established between weed species and phytophagous insects. The number of harmful pest species associated with broad-leaved weeds was low for all species. The general pattern of changes in values of indices over recent decades was similar: there was a marked decline in the values between the 1960s and the 1980s, and a slight increase between the 1980s and the 1990s. These changes were regarded as being a consequence of changes in the intensity of agricultural practices. The slowest recovery of the values was for pollinators. The results suggest that the ecological consequences of changes in the intensity of agriculture can be explored with the aid of a biodiversity indicator based on species interactions. Owing to the differences in the importance of weed species for different animal groups, maintaining weed species richness is necessary to ensure ecosystem services are provided for the higher trophic levels in farmland. (c) 2008 Elsevier Ltd. All rights reserved.","NOV",2008
"Aislyn","Anna",647,1,"Laura/Caitlin","Paper in part is presenting a new modeling tool, but in doing that quantifies multiple services","Johnston","An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","Johnston, John M.; Barber, M. Craig; Wolfe, Kurt; Galvin, Mike; Cyterski, Mike; Parmar, Rajbir","ECOLOGICAL MODELLING","We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V.","43640",2017
"Aislyn","Grant",543,0,"Isabel",NA,"Leite Lima","Hydrological controls of fisheries production in a major Amazonian tributary","Leite Lima, Maria Alice; Kaplan, David Andrew; da Costa Doria, Carolina Rodrigues","ECOHYDROLOGY","Amazonian rivers are characterized by a strongly seasonal flood pulse, which is being altered by ongoing and planned hydropower development across the basin. Changes in hydrology have a cascade of physical, ecological, and social effects, and some ecohydrological changes in the Amazon are expected to be irreversible. To better understand these linkages, we investigated shared trends and causal factors driving fish catch in a major Amazonian tributary before dam construction to derive relationships between catch and natural hydrologic dynamics that can be used to assess likely post-dam fisheries impacts. We applied a time series-based dimension reduction technique (dynamic factor analysis) to investigate dynamics in fish catch across 10 commercially important species using daily fish landings and hydrological data. We found a 4-trend dynamic factor model to best fit the observed data, with fitted trends exhibiting variation representative of seasonal and longer-term hydrologic variation. We next considered 11 candidate explanatory time series and found the best dynamic factor model used 4 explanatory variables: maximum water level, flooding duration, previous year's flow, and rate of change in flow; however, each species showed a unique response to this set of hydrological variables. Species-specific responses suggested that future dam operating rules need to closely mimic the natural hydrologic regime in order to maintain the biological dynamics of this and similarly diverse systems. In particular, high flows associated with increased catch the following year are important to maintain, but may be difficult to achieve in the context of reservoir regulation and energy production goals.","DEC",2017
"Aislyn","Anna",427,1,"Sierra",NA,"Mauda","Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas","Mauda, Evans V.; Joseph, Grant S.; Seymour, Colleen L.; Munyai, Thinandavha C.; Foord, Stefan H.","BIODIVERSITY AND CONSERVATION","Africa's savannas are undergoing rapid conversion from rangelands into villages and croplands. Despite limited research, and evidence of deleterious effects to biodiversity, international organisations have earmarked this system for cropland. Invertebrates, and ants in particular, are sensitive indicators of habitat fragmentation, and contribute to ecosystem services at a range of scales. We investigated how rangelands, villages and croplands differ in ant species and functional diversity, and assemblage composition. We sampled ants using pitfall traps at 42 sites (14 replicates each in rangeland, cropland, and village) in northern South African savannas. We investigated the impact of landuse, season, and multiple soil and vegetation habitat variables on ant species diversity, assemblages and functional diversity. Rangelands had the greatest ant species richness, particularly in the wet season. Richness declined with increasing soil clay content. Ant assemblages were distinctly different between landuse types. Rangeland harboured the widest diversity of indicator species, and contained greatest functional diversity. Rangelands accommodated more scavengers, granivores, and plant-matter feeders than cropland, and representation of these groups varied with season. Ants play essential roles in soil nutrient cycling, plant and seedling recruitment, and impact other arthropods through predation and aphidoculous behaviour that in turn influences entire food webs. Thus, the reduced species richness, changes in assemblage composition and the loss of functional groups in ant assemblages found in cropland and villages is potentially problematic. Left unchallenged, these new forms of landuse threaten to characterise the entire African savanna system, impacting not only future ecological, but possibly also human wellbeing.","MAR",2018
"Aislyn","Anna",846,1,"Julie","Effect of biotic driver (invasive species) on EF (dung beetle activity i.e. decomposition)","Milligan","An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","Milligan, Patrick D.; Prior, Kirsten M.; Palmer, Todd M.","ECOSPHERE","Understanding the consequences of anthropogenic biodiversity decline has become an increasingly urgent priority for ecologists. Biological invasions are a common result of anthropogenic habitat change, and numerous studies have established the negative impact of invasions on the diversity and abundance of native species. But fewer studies have directly examined the effect of biological invasions on ecosystem functions and services. We leveraged a recent invasion by the big-headed ant (Pheidole megacephala) in an East African savanna to evaluate the impact of invasion on arthropod diversity, and on dung-decomposition, an ecosystem function provided by a subset of these arthropods. We found that invaded sites had lower overall arthropod diversity, but these diversity changes did not extend to a functional group of detritivorous insects (e.g., dung beetles and termites), which play key roles in dung-decomposition. In a manipulative experiment, we found that rates of dung pile decomposition did not differ significantly in invaded vs. non-invaded sites. Our study provides evidence that these invaded savannas are undergoing large changes in arthropod diversity, while maintaining resilience in decomposition function, suggesting that diversity alone may be an insufficient impact assessment tool. By monitoring functional guilds and their attendant services, we may better understand the broader structural and functional consequences of invasion.","OCT",2016
"Aislyn","Grant",1822,1,"Nick",NA,"Nassauer","What will the neighbors think? Cultural norms and ecological design","Nassauer, Joan Iverson; Wang, Zhifang; Dayrell, Erik","LANDSCAPE AND URBAN PLANNING","Cultural norms for landscape appearance may affect preferences for and adoption of ecological design in exurban residential landscapes, a rapidly growing land use that covers a larger area than all other urban land uses in America combined. We conducted an image-based web survey of 494 southeast Michigan exurban homeowners to investigate the influence of implicit neighborhood norms as well as broader cultural norms on individual preferences for six alternative front yard designs ranging from conventional yards dominated by mown turf to mature native woodlands and native prairie garden designs. Respondents were randomly assigned to see images of one of three types of nearby neighbors' yards: all conventional, all ecologically innovative, or a mix. They rated front yard design alternatives in one of these three neighborhood contexts. Both broad cultural norms for conventional front yards and neighborhood norms significantly affected homeowners' preference for their own yards. However, neighborhood norms most dramatically affected preference: the rank of the most conventional and most ecologically beneficial front yard designs was reversed depending upon the design of nearby neigh bors' yards. We conclude that efforts to introduce ecologically innovative designs to metropolitan residential landscapes should approach change at the neighborhood scale in order to enhance initial success and long term cultural sustainability. We also note that individuals who innovate on their own properties may want to enlist nearby neighbors in similar innovations to create a threshold of cultural sustainability. (C) 2009 Elsevier B.V. All rights reserved.","43738",2009
"Aislyn","Anna",992,0,"Kathryn",NA,"Ouyang","Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","Ouyang, Fang; Hui, Cang; Men, XinYuan; Zhang, YongSheng; Fan, Lipeng; Shi, Peijian; Zhao, Zihua; Ge, Feng","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Understanding and predicting the impact of climate change on population demography, biotic Interactions and ecosystem service is central to ecology. Long-term time series analysis of insect populations is crucial for analyzing the 'effect of climate change on plant-insect interactions in agro-ecological systems; yet such data are often lacking. Here, based on field experiments and the long-term time series of the overwintering adult cotton bollworm Helicoverpa armigera (Hubner) (Lepidoptera: Noctuidae) collected since 1975, we investigate the dynamic trend of H. armigera, as well as its driving forces and effects on the recruitment of H. armigera and crop yield. Results illustrated a shift to early eclosion of diapausing pupae due to global warming, extending the duration and abundance of adults in the overwintering generation. This then led to more larvae recruited in the first generation, and consequently damages the wheat at early growing stages. Our results suggest that the asynchronous effects of rising global surface temperature on the relative growth rate of spring crops and insect pests could intensify in the future, causing accentuated crop yield loss. To mitigate the adverse herbivore-mediated effect on crop yield in a warming climate, efficient cultivation measures and pest management are necessary, such as planting precocious crops with short growth period and timely control of insect pests. (C) 2015 Elsevier B.V. All rights reserved.","43497",2016
"Aislyn","Grant",1165,1,"Travis",NA,"Petrie","Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert","Petrie, M. D.; Collins, S. L.; Swann, A. M.; Ford, P. L.; Litvak, M. E.","GLOBAL CHANGE BIOLOGY","The replacement of native C-4-dominated grassland by C-3-dominated shrubland is considered an ecological state transition where different ecological communities can exist under similar environmental conditions. These state transitions are occurring globally, and may be exacerbated by climate change. One consequence of the global increase in woody vegetation may be enhanced ecosystem carbon sequestration, although the responses of arid and semiarid ecosystems may be highly variable. During a drier than average period from 2007 to 2011 in the northern Chihuahuan Desert, we found established shrubland to sequester 49g Cm(-2)yr(-1) on average, while nearby native C-4 grassland was a net source of 31g Cm(-2)yr(-1) over this same period. Differences in C exchange between these ecosystems were pronounced - grassland had similar productivity compared to shrubland but experienced higher C efflux via ecosystem respiration, while shrubland was a consistent C sink because of a longer growing season and lower ecosystem respiration. At daily timescales, rates of carbon exchange were more sensitive to soil moisture variation in grassland than shrubland, such that grassland had a net uptake of C when wet but lost C when dry. Thus, even under unfavorable, drier than average climate conditions, the state transition from grassland to shrubland resulted in a substantial increase in terrestrial C sequestration. These results illustrate the inherent tradeoffs in quantifying ecosystem services that result from ecological state transitions, such as shrub encroachment. In this case, the deleterious changes to ecosystem services often linked to grassland to shrubland state transitions may at least be partially offset by increased ecosystem carbon sequestration.","MAR",2015
"Aislyn","Anna",55,0,"Claire",NA,"Reisinger","Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover","Reisinger, Alexander J.; Doody, Thomas R.; Groffman, Peter M.; Kaushal, Sujay S.; Rosi, Emma J.","ECOLOGICAL APPLICATIONS","The continually increasing global population residing in urban landscapes impacts numerous ecosystem functions and services provided by urban streams. Urban stream restoration is often employed to offset these impacts and conserve or enhance the various functions and services these streams provide. Despite the assumption that ""if you build it, [the function] will come,"" current understanding of the effects of urban stream restoration on stream ecosystem functions are based on short term studies that may not capture variation in restoration effectiveness over time. We quantified the impact of stream restoration on nutrient and energy dynamics of urban streams by studying 10 urban stream reaches (five restored, five unrestored) in the Baltimore, Maryland, USA, region over a two-year period. We measured gross primary production (GPP) and ecosystem respiration (ER) at the whole-stream scale continuously throughout the study and nitrate (NO3--N) spiraling rates seasonally (spring, summer, autumn) across all reaches. There was no significant restoration effect on NO3--N spiraling across reaches. However, there was a significant canopy cover effect on NO3--N spiraling, and directly comparing paired sets of unrestored-restored reaches showed that restoration does affect NO3--N spiraling after accounting for other environmental variation. Furthermore, there was a change in GPP : ER seasonality, with restored and open-canopied reaches exhibiting higher GPP : ER during summer. The restoration effect, though, appears contingent upon altered canopy cover, which is likely to be a temporary effect of restoration and is a driver of multiple ecosystem services, e.g., habitat, riparian nutrient processing. Our results suggest that decision-making about stream restoration, including evaluations of nutrient benefits, clearly needs to consider spatial and temporal dynamics of canopy cover and trade-offs among multiple ecosystem services.","SEP",2019
