id,fullquestion,abbr,order,ES,Group,ESnum
Q25.1_5_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organ... - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH] - DO NOT USE Response 2",Response,,OceanReg,,5
Q25.1_6_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,freshWQReg,,6
Q25.1_6_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - DO NOT USE Response 2",Response,,freshWQReg,,6
Q25.1_7_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - Response 1: Separate by commas",Response,,coastWQReg,,7
Q25.1_7_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - DO NOT USE Response 2",Response,,coastWQReg,,7
Q25.1_8_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,SoilProtect,,8
Q25.1_8_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - DO NOT USE Response 2",Response,,SoilProtect,,8
Q25.1_9_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of hazards and extreme events [e.g. amelioration of floods, wind... - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion] - Response 1: Separate by commas",Response,,Hazards,,9
Q25.1_9_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of hazards and extreme events [e.g. amelioration of floods, wind... - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion] - DO NOT USE Response 2",Response,,Hazards,,9
Q25.1_10_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,PestPath,,10
Q25.1_10_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2",Response,,PestPath,,10
Q25.1_11_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fue... - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood] - Response 1: Separate by commas",Response,,Energy,,11
Q25.1_11_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fue... - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood] - DO NOT USE Response 2",Response,,Energy,,11
Q25.1_12_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,Food,,12
Q25.1_12_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Food and feed - DO NOT USE Response 2",Response,,Food,,12
Q25.1_13_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pe... - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders] - Response 1: Separate by commas",Response,,Materials,,13
Q25.1_13_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pe... - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders] - DO NOT USE Response 2",Response,,Materials,,13
Q25.1_14_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Medicinal, biochemical, and genetic resources [e.g. plant and animal breedi... - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes] - Response 1: Separate by commas",Response,,MedGen,,14
Q25.1_14_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Medicinal, biochemical, and genetic resources [e.g. plant and animal breedi... - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes] - DO NOT USE Response 2",Response,,MedGen,,14
Q25.1_15_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Maintenance of options [e.g. benefits (including those of future generation... - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes] - Response 1: Separate by commas",Response,,MaintainOpts,,15
Q25.1_15_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Maintenance of options [e.g. benefits (including those of future generation... - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes] - DO NOT USE Response 2",Response,,MaintainOpts,,15
Q25.1_16_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Cultural Services, including Physical and psychological experiences ##do we... - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking] - Response 1: Separate by commas",Response,,CulturePsych,,16
Q25.1_16_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Cultural Services, including Physical and psychological experiences ##do we... - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking] - DO NOT USE Response 2",Response,,CulturePsych,,16
Q25.2_1,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Habitat creation and maintenance,Driver,,,Env,
Q25.2_2,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Pollination and dispersal of seeds or other propagules,Driver,,,Env,
Q25.2_3,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Driver,,,Env,
Q25.2_4,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,,,Env,
Q25.2_5,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Driver,,,Env,
Q25.2_6,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,,,Env,
Q25.2_7,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,,,Env,
Q25.2_8,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,,,Env,
Q25.2_9,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Driver,,,Env,
Q25.2_10,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,,,Env,
Q25.2_11,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Driver,,,Env,
Q25.2_12,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Food and feed,Driver,,,Env,
Q25.2_13,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Driver,,,Env,
Q25.2_14,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Driver,,,Env,
Q25.2_15,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,,,Env,
Q25.2_16,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,,,Env,
Q25.3_1,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,,,Anth,
Q25.3_2,Q12: Which Ecosystem Services were considered?  - Human Driver - Pollination and dispersal of seeds or other propagules,Driver,,,Anth,
Q25.3_3,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Driver,,,Anth,
Q25.3_4,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,,,Anth,
Q25.3_5,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Driver,,,Anth,
Q25.3_6,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,,,Anth,
Q25.3_7,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,,,Anth,
Q25.3_8,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,,,Anth,
Q25.3_9,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Driver,,,Anth,
Q25.3_10,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,,,Anth,
Q25.3_11,"Q12: Which Ecosystem Services were considered?  - Human Driver - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Driver,,,Anth,
Q25.3_12,Q12: Which Ecosystem Services were considered?  - Human Driver - Food and feed,Driver,,,Anth,
Q25.3_13,"Q12: Which Ecosystem Services were considered?  - Human Driver - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Driver,,,Anth,
Q25.3_14,"Q12: Which Ecosystem Services were considered?  - Human Driver - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Driver,,,Anth,
Q25.3_15,"Q12: Which Ecosystem Services were considered?  - Human Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,,,Anth,
Q25.3_16,"Q12: Which Ecosystem Services were considered?  - Human Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,,,Anth,
Q25.4_1,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Habitat creation and maintenance,Driver,,,Bio,
Q25.4_2,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Pollination and dispersal of seeds or other propagules,Driver,,,Bio,
Q25.4_3,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Driver,,,Bio,
Q25.4_4,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,,,Bio,
Q25.4_5,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Driver,,,Bio,
Q25.4_6,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,,,Bio,
Q25.4_7,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,,,Bio,
Q25.4_8,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,,,Bio,
Q25.4_9,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Driver,,,Bio,
Q25.4_10,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,,,Bio,
Q25.4_11,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Driver,,,Bio,
Q25.4_12,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Food and feed,Driver,,,Bio,
Q25.4_13,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Driver,,,Bio,
Q25.4_14,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Driver,,,Bio,
Q25.4_15,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,,,Bio,
Q25.4_16,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,,,Bio,
Q25.5_1,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Habitat creation and maintenance,Yclass,,,,
Q25.5_2,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Pollination and dispersal of seeds or other propagules,Yclass,,,,
Q25.5_3,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Yclass,,,,
Q25.5_4,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Yclass,,,,
Q25.5_5,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",Yclass,,,,
Q25.5_6,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Yclass,,,,
Q25.5_7,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Yclass,,,,
Q25.5_8,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,,
Q25.5_9,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Yclass,,,,
Q25.5_10,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,,
Q25.5_11,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Yclass,,,,
Q25.5_12,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Food and feed,Yclass,,,,
Q25.5_13,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Yclass,,,,
Q25.5_14,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Yclass,,,,
Q25.5_15,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Yclass,,,,
Q25.5_16,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Yclass,,,,
Q25.6_1,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Habitat creation and maintenance,EffectDirect,,,Env,
Q25.6_2,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,,,Env,
Q25.6_3,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",EffectDirect,,,Env,
Q25.6_4,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],EffectDirect,,,Env,
Q25.6_5,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]",EffectDirect,,,Env,
Q25.6_6,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,,,Env,
Q25.6_7,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",EffectDirect,,,Env,
Q25.6_8,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,,,Env,
Q25.6_9,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",EffectDirect,,,Env,
Q25.6_10,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,,,Env,
